grade_5,native_american_1,missing_race_ethnicity_data
0,0.002,11
0,0.009,3
106,0.008,0
0,0.006,7
0,0.011,16
53,0.0,1
0,0.011,4
29,0.006,1
32,0.005,1
0,0.018,15
23,0.004,0
116,0.0,0
0,0.004,0
0,0.007,2
58,0.0,0
0,0.012,7
0,0.008,0
0,0.0,5
27,0.0,0
0,0.0,0
86,0.002,0
0,0.004,2
81,0.002,1
0,0.003,2
27,0.01,0
0,0.0,3
0,0.007,26
0,0.01,0
0,0.01,3
58,0.0,0
0,0.004,7
36,0.03,0
25,0.015,0
0,0.015,2
0,0.016,6
0,0.007,1
0,0.005,5
0,0.0,2
0,0.012,0
0,0.004,0
45,0.013,1
0,0.004,14
93,0.003,0
0,0.0,1
0,0.007,2
0,0.026,2
58,0.001,0
0,0.004,11
0,0.0,22
0,0.0,0
0,0.003,5
41,0.005,3
0,0.025,0
33,0.008,0
0,0.017,0
0,0.018,4
0,0.006,0
0,0.008,0
78,0.002,1
52,0.006,2
0,0.004,19
0,0.003,5
0,0.003,0
138,0.001,0
0,0.009,0
0,0.0,0
0,0.005,5
0,0.003,2
96,0.01,0
0,0.023,0
0,0.005,0
0,0.006,0
0,0.008,1
0,0.019,12
0,0.007,6
98,0.004,0
0,0.004,109
0,0.004,7
57,0.0,0
93,0.0,0
0,0.011,8
83,0.002,1
0,0.005,5
0,0.045,0
0,0.0,1
0,0.027,10
58,0.008,1
58,0.005,0
0,0.005,2
37,0.003,0
0,0.0,0
50,0.0,0
0,0.006,6
43,0.0,0
0,0.051,2
0,0.004,4
93,0.001,0
51,0.0,1
0,0.002,0
0,0.008,0
15,0.01,19
0,0.007,6
0,0.007,14
0,0.008,7
0,0.003,1
29,0.005,0
63,0.003,1
0,0.0,21
0,0.014,10
0,0.009,7
0,0.006,10
0,0.007,19
42,0.009,0
97,0.003,0
0,0.003,0
78,0.005,0
0,0.011,8
0,0.009,15
0,0.013,4
0,0.003,5
0,0.0,1
0,0.007,10
89,0.0,0
0,0.011,0
49,0.006,0
0,0.019,5
0,0.009,117
0,0.01,17
82,0.002,0
0,0.02,7
0,0.009,2
66,0.002,0
136,0.003,5
0,0.009,6
50,0.006,0
86,0.003,3
69,0.013,0
0,0.0,2
0,0.005,2
0,0.004,0
76,0.0,0
43,0.004,0
0,0.0,2
0,0.012,16
0,0.002,2
0,0.007,3
0,0.015,0
183,0.001,1
0,0.0,2
0,0.005,0
0,0.009,0
0,0.0,13
0,0.005,0
0,0.0,1
0,0.004,163
48,0.002,0
0,0.009,10
0,0.002,0
0,0.004,4
25,0.005,0
96,0.001,0
51,0.004,2
68,0.003,1
0,0.007,15
65,0.007,1
0,0.006,3
0,0.011,2
0,0.009,13
0,0.002,9
42,0.004,0
0,0.009,7
0,0.007,1
0,0.008,76
0,0.0,0
0,0.004,8
60,0.0,0
0,0.0,0
139,0.0,0
0,0.01,9
0,0.005,1
57,0.0,0
54,0.002,0
57,0.003,0
61,0.003,0
0,0.004,9
0,0.003,3
