grade_k,students_with_disabilities,multi_racial_1,black_1,english_language_learners_1,grade_12,asian,grade_8,year,poverty,white_1
0,99,0.062,0.021,0.006,109,109,0,2020-21,153,0.555
0,103,0.005,0.229,0.102,143,35,0,2017-18,460,0.035
139,127,0.05,0.028,0.048,0,94,0,2017-18,97,0.72
0,198,0.04,0.075,0.041,0,382,388,2017-18,511,0.347
0,101,0.027,0.122,0.005,104,91,0,2020-21,177,0.35
89,61,0.027,0.01,0.046,0,52,0,2018-19,56,0.732
0,52,0.011,0.211,0.042,72,23,0,2020-21,211,0.08
29,23,0.128,0.0,0.039,0,48,0,2020-21,19,0.483
28,58,0.009,0.182,0.018,0,7,0,2020-21,201,0.041
0,85,0.024,0.028,0.0,134,82,0,2019-20,101,0.66
19,107,0.004,0.381,0.062,0,7,44,2020-21,Above 95%,0.029
110,119,0.13,0.014,0.016,0,51,0,2018-19,50,0.692
0,82,0.004,0.165,0.14,117,187,0,2019-20,431,0.045
0,59,0.004,0.295,0.05,55,18,0,2017-18,230,0.032
87,87,0.133,0.063,0.017,0,79,0,2019-20,69,0.496
0,72,0.035,0.263,0.026,0,22,110,2016-17,167,0.234
0,159,0.0,0.272,0.118,81,2,0,2017-18,Above 95%,0.04
0,83,0.061,0.018,0.011,0,281,174,2016-17,164,0.335
40,67,0.039,0.182,0.01,0,6,0,2017-18,166,0.118
0,22,0.0,0.038,0.743,42,8,0,2016-17,272,0.024
114,98,0.062,0.022,0.027,0,68,0,2017-18,74,0.719
0,66,0.004,0.252,0.068,56,23,0,2018-19,255,0.047
110,117,0.054,0.071,0.069,0,27,0,2018-19,249,0.507
0,163,0.029,0.256,0.033,75,66,60,2019-20,417,0.15
17,73,0.01,0.739,0.129,0,3,50,2020-21,Above 95%,0.04
0,23,0.005,0.012,0.196,98,366,0,2020-21,340,0.032
0,339,0.005,0.296,0.041,292,72,0,2020-21,1362,0.051
0,103,0.0,0.343,0.089,104,8,0,2020-21,277,0.044
0,59,0.003,0.201,0.07,52,31,0,2020-21,280,0.051
50,29,0.117,0.003,0.0,0,118,0,2018-19,42,0.506
0,63,0.012,0.294,0.078,61,10,0,2017-18,227,0.031
45,72,0.069,0.16,0.012,0,26,11,2019-20,106,0.367
12,55,0.01,0.547,0.128,0,13,31,2020-21,185,0.034
0,77,0.027,0.125,0.017,0,21,129,2016-17,95,0.489
0,71,0.003,0.527,0.029,46,2,23,2018-19,257,0.019
0,89,0.005,0.237,0.09,158,28,0,2018-19,346,0.034
0,181,0.041,0.075,0.048,0,389,377,2018-19,484,0.349
0,39,0.0,0.004,0.464,65,1,0,2018-19,466,0.002
0,0,0.0,0.26,0.915,33,86,0,2020-21,226,0.069
0,109,0.0,0.286,0.098,0,22,90,2016-17,205,0.047
68,123,0.091,0.039,0.025,0,92,61,2018-19,99,0.532
0,92,0.004,0.297,0.034,115,47,0,2016-17,262,0.041
126,119,0.1,0.028,0.038,0,70,0,2016-17,54,0.618
0,83,0.0,0.453,0.073,98,7,0,2019-20,186,0.043
0,82,0.0,0.258,0.103,75,10,0,2020-21,257,0.05
0,54,0.007,0.375,0.053,0,2,55,2019-20,113,0.059
58,145,0.025,0.099,0.177,0,471,110,2016-17,630,0.078
0,115,0.013,0.21,0.024,110,30,0,2018-19,310,0.184
0,105,0.002,0.334,0.03,121,26,0,2018-19,454,0.038
0,30,0.014,0.297,0.041,28,2,0,2016-17,60,0.081
71,125,0.042,0.045,0.162,0,468,79,2016-17,461,0.085
67,92,0.051,0.16,0.074,0,41,0,2020-21,242,0.248
125,154,0.073,0.045,0.027,0,132,0,2018-19,114,0.628
0,57,0.0,0.199,0.141,119,102,0,2017-18,259,0.046
83,87,0.076,0.169,0.061,0,154,0,2020-21,274,0.2
17,45,0.0,0.537,0.172,0,4,0,2017-18,124,0.09
0,78,0.003,0.228,0.116,81,17,0,2018-19,246,0.026
0,68,0.005,0.206,0.073,78,50,0,2017-18,342,0.06
0,84,0.051,0.212,0.002,126,37,33,2017-18,214,0.427
66,125,0.015,0.266,0.099,0,5,0,2019-20,282,0.187
31,148,0.0,0.319,0.091,0,15,92,2017-18,405,0.018
0,88,0.027,0.022,0.0,134,90,0,2020-21,93,0.65
74,63,0.06,0.015,0.033,0,47,0,2020-21,36,0.683
55,168,0.003,0.161,0.104,0,17,86,2018-19,568,0.023
6,34,0.01,0.546,0.155,0,3,0,2019-20,Above 95%,0.072
0,91,0.051,0.02,0.014,0,305,181,2017-18,215,0.3
0,74,0.002,0.387,0.052,88,20,0,2016-17,318,0.018
0,81,0.003,0.333,0.066,73,11,0,2017-18,309,0.026
23,83,0.033,0.193,0.042,0,13,0,2020-21,151,0.08
68,91,0.02,0.524,0.032,0,5,0,2019-20,272,0.101
117,90,0.082,0.02,0.063,0,130,0,2020-21,45,0.579
25,94,0.034,0.208,0.034,0,11,0,2019-20,176,0.081
0,104,0.017,0.262,0.024,98,22,0,2019-20,324,0.052
0,129,0.037,0.094,0.034,0,48,0,2018-19,164,0.544
0,58,0.023,0.053,0.053,0,135,91,2020-21,145,0.209
30,71,0.0,0.3,0.146,0,12,0,2017-18,196,0.023
100,89,0.137,0.041,0.017,0,74,0,2018-19,64,0.532
56,52,0.047,0.615,0.034,0,5,0,2016-17,200,0.051
101,114,0.084,0.048,0.024,0,52,0,2017-18,133,0.601
63,154,0.002,0.139,0.119,0,16,82,2017-18,566,0.027
0,100,0.03,0.13,0.019,0,78,120,2018-19,244,0.21
64,115,0.016,0.146,0.107,0,59,0,2019-20,242,0.194
0,90,0.054,0.1,0.002,609,559,0,2017-18,832,0.449
26,42,0.022,0.434,0.044,0,0,0,2016-17,151,0.016
38,70,0.029,0.441,0.066,0,4,0,2020-21,220,0.04
0,100,0.052,0.086,0.011,0,94,282,2017-18,202,0.577
0,85,0.0,0.242,0.104,88,18,0,2017-18,308,0.014
0,74,0.0,0.333,0.055,88,10,0,2018-19,269,0.024
18,98,0.052,0.212,0.197,0,7,21,2018-19,133,0.259
153,127,0.065,0.02,0.044,0,103,0,2019-20,81,0.699
0,103,0.0,0.254,0.092,83,24,0,2020-21,393,0.039
0,72,0.033,0.035,0.008,115,163,0,2019-20,186,0.431
59,111,0.015,0.248,0.112,0,4,0,2018-19,309,0.153
0,124,0.007,0.291,0.091,104,38,21,2017-18,475,0.033
10,42,0.097,0.074,0.01,45,43,12,2020-21,66,0.456
0,66,0.052,0.11,0.001,641,525,0,2016-17,783,0.438
0,111,0.002,0.35,0.068,87,3,0,2019-20,325,0.021
0,116,0.009,0.23,0.061,108,18,0,2020-21,298,0.083
51,70,0.076,0.099,0.039,0,33,0,2020-21,158,0.319
25,124,0.0,0.318,0.075,0,11,58,2017-18,Above 95%,0.027
82,75,0.015,0.012,0.04,0,42,0,2016-17,24,0.781
83,88,0.14,0.052,0.057,0,65,0,2020-21,71,0.522
0,51,0.004,0.309,0.153,0,58,0,2016-17,222,0.027
0,110,0.0,0.253,0.044,99,42,0,2016-17,335,0.103
24,117,0.0,0.361,0.057,0,7,48,2019-20,Above 95%,0.027
0,174,0.069,0.083,0.028,0,94,272,2020-21,226,0.516
0,82,0.004,0.195,0.147,93,178,0,2018-19,421,0.046
0,122,0.0,0.252,0.088,115,30,0,2018-19,387,0.029
50,50,0.115,0.025,0.0,0,163,59,2019-20,64,0.46
127,117,0.105,0.015,0.031,0,80,0,2017-18,67,0.617
0,39,0.017,0.586,0.052,52,6,0,2017-18,195,0.026
0,50,0.008,0.216,0.033,68,15,0,2018-19,196,0.073
0,37,0.034,0.303,0.096,0,4,48,2020-21,110,0.348
0,31,0.0,0.104,0.704,145,318,0,2017-18,431,0.018
83,77,0.024,0.1,0.034,0,62,0,2019-20,87,0.544
100,170,0.093,0.04,0.032,0,172,91,2018-19,137,0.527
0,22,0.11,0.069,0.0,0,73,0,2016-17,41,0.454
0,44,0.103,0.054,0.0,0,102,0,2018-19,47,0.505
102,99,0.08,0.173,0.074,0,148,0,2019-20,291,0.214
0,237,0.003,0.147,0.043,407,418,0,2019-20,1405,0.085
0,41,0.03,0.312,0.0,51,3,0,2019-20,163,0.215
128,116,0.092,0.071,0.029,0,138,0,2020-21,258,0.424
0,86,0.003,0.352,0.111,67,6,0,2017-18,316,0.019
0,105,0.031,0.123,0.012,116,40,0,2020-21,215,0.446
32,107,0.086,0.198,0.259,0,6,10,2017-18,123,0.254
66,126,0.082,0.034,0.027,0,91,60,2019-20,107,0.547
0,61,0.018,0.163,0.0,103,120,0,2018-19,263,0.209
0,89,0.0,0.246,0.149,76,5,0,2017-18,316,0.016
35,69,0.004,0.358,0.111,0,8,0,2016-17,212,0.022
0,45,0.009,0.276,0.04,48,14,0,2016-17,172,0.084
72,152,0.024,0.093,0.167,0,487,113,2017-18,627,0.079
0,99,0.003,0.276,0.092,78,19,0,2018-19,344,0.018
0,59,0.021,0.071,0.017,0,15,0,2016-17,53,0.6
0,32,0.014,0.399,0.112,0,1,41,2019-20,98,0.273
147,172,0.091,0.031,0.03,0,70,0,2018-19,91,0.65
78,106,0.078,0.047,0.041,0,47,0,2020-21,100,0.568
29,143,0.003,0.201,0.093,0,55,0,2016-17,319,0.028
39,81,0.113,0.124,0.027,0,19,0,2020-21,161,0.292
68,127,0.0,0.126,0.079,0,8,0,2017-18,Above 95%,0.003
0,42,0.026,0.093,0.031,0,17,0,2017-18,59,0.601
35,85,0.007,0.18,0.19,0,147,0,2018-19,229,0.024
0,294,0.023,0.198,0.011,256,107,0,2016-17,955,0.144
64,48,0.026,0.098,0.037,0,64,0,2017-18,237,0.261
0,278,0.002,0.304,0.032,317,86,0,2019-20,1333,0.053
0,61,0.079,0.02,0.003,0,72,131,2018-19,58,0.619
0,217,0.002,0.165,0.077,334,159,0,2016-17,975,0.064
0,84,0.005,0.261,0.123,91,8,0,2018-19,343,0.051
76,117,0.064,0.034,0.14,0,498,91,2019-20,469,0.074
0,38,0.0,0.243,0.143,34,21,0,2016-17,128,0.05
0,60,0.007,0.221,0.037,65,24,0,2020-21,232,0.044
126,157,0.045,0.057,0.032,0,65,0,2017-18,165,0.667
0,91,0.009,0.197,0.05,0,16,75,2019-20,181,0.092
0,162,0.095,0.112,0.007,111,150,105,2018-19,329,0.347
0,13,0.0,0.266,0.874,89,32,0,2019-20,347,0.077
0,106,0.0,0.276,0.069,53,25,0,2018-19,220,0.028
13,34,0.083,0.121,0.01,45,45,16,2017-18,68,0.436
125,120,0.1,0.017,0.025,0,86,0,2018-19,86,0.62
0,103,0.044,0.224,0.002,72,24,72,2020-21,150,0.442
0,29,0.004,0.343,0.025,80,9,0,2016-17,185,0.054
100,107,0.052,0.08,0.004,178,579,121,2016-17,441,0.413
0,100,0.004,0.196,0.022,89,22,0,2016-17,265,0.261
118,73,0.098,0.041,0.021,0,95,0,2019-20,91,0.565
0,91,0.0,0.255,0.11,77,4,0,2018-19,301,0.022
0,27,0.0,0.188,0.063,25,1,0,2017-18,59,0.094
0,60,0.077,0.023,0.003,0,72,127,2016-17,42,0.61
0,73,0.008,0.295,0.088,57,10,0,2016-17,238,0.031
0,64,0.0,0.383,0.044,1,1,0,2017-18,232,0.027
119,108,0.115,0.013,0.016,0,54,0,2017-18,65,0.69
63,109,0.058,0.04,0.146,0,468,85,2018-19,461,0.075
0,58,0.0,0.362,0.081,36,5,0,2020-21,132,0.034
109,113,0.017,0.02,0.022,0,126,0,2019-20,57,0.687
0,37,0.0,0.481,0.021,40,5,0,2018-19,162,0.011
15,49,0.047,0.6,0.035,0,1,0,2017-18,152,0.018
102,96,0.041,0.024,0.048,0,98,0,2017-18,65,0.68
0,98,0.006,0.319,0.024,92,43,0,2016-17,379,0.026
