multi_racial,asian_1,school_name,total_enrollment,grade_9,female_1
30,0.226,N.Y.C. Lab School for Collaborative Studies,483,109,0.476
3,0.062,Jacqueline Kennedy Onassis High School,567,92,0.557
40,0.119,P.S. 158 Bayard Taylor,793,0,0.479
45,0.337,J.H.S. 104 Simon Baruch,1134,0,0.466
12,0.205,N.Y.C. Museum School,443,125,0.499
11,0.126,"East Side Elementary School, PS 267",414,0,0.493
3,0.088,Humanities Preparatory Academy,261,61,0.556
23,0.267,P.S. 150,180,0,0.467
2,0.032,P.S. 064 Robert Simon,220,0,0.441
13,0.152,Eleanor Roosevelt High School,541,137,0.59
1,0.026,P.S. 034 Franklin D. Roosevelt,273,0,0.462
90,0.073,P.S. 041 Greenwich Village,694,0,0.512
2,0.38,University Neighborhood High School,492,130,0.474
1,0.064,The Urban Assembly School for Emergency Management,281,91,0.495
61,0.172,The Peck Slip School,458,0,0.539
12,0.064,Mott Hall II,342,0,0.491
0,0.004,Edward A. Reynolds West Side High School,500,11,0.478
33,0.519,New York City Lab Middle School for Collaborative,541,0,0.392
8,0.03,The STAR Academy - P.S.63,203,0,0.493
0,0.028,Manhattan Academy For Arts & Language,288,87,0.458
39,0.108,P.S. 290 Manhattan New School,631,0,0.526
1,0.083,Unity Center for Urban Technologies,278,100,0.317
36,0.041,P.S. 084 Lillian Weber,663,0,0.544
17,0.114,Quest to Learn,581,128,0.427
3,0.01,P.S. 076 A. Philip Randolph,303,0,0.498
2,0.908,High School for Dual Language and Asian Studies,403,116,0.578
9,0.043,The High School of Fashion Industries,1667,513,0.887
0,0.025,Independence High School,315,57,0.46
1,0.099,Unity Center for Urban Technologies,314,104,0.328
42,0.328,P.S. 77 Lower Lab School,360,0,0.483
3,0.039,Unity Center for Urban Technologies,255,73,0.294
23,0.078,Ella Baker School,332,0,0.458
2,0.064,P.S. 149 Sojourner Truth,203,0,0.498
11,0.052,M.S. M245 The Computer School,401,0,0.581
1,0.006,Wadleigh Secondary School for the Performing & Vis,313,76,0.684
2,0.063,Jacqueline Kennedy Onassis High School,443,52,0.542
46,0.349,J.H.S. 104 Simon Baruch,1116,0,0.484
0,0.002,Manhattan Bridges High School,532,200,0.526
0,0.35,Emma Lazarus High School,246,134,0.431
0,0.094,University Neighborhood Middle School,234,0,0.436
51,0.164,Spruce Street School,560,0,0.489
2,0.1,Urban Assembly Gateway School for Technology,468,118,0.229
65,0.108,P.S. 040 Augustus Saint-Gaudens,650,0,0.517
0,0.03,"James Baldwin School, The: A School for Expedition",234,35,0.521
0,0.033,The Urban Assembly School for Green Careers,302,67,0.377
1,0.013,M.S. 250 West Side Collaborative Middle School,152,0,0.559
20,0.595,P.S. 126 Jacob August Riis,791,0,0.468
6,0.066,Harvest Collegiate High School,457,113,0.586
1,0.045,Pace High School,572,155,0.566
1,0.027,Harvey Milk High School,74,8,0.595
29,0.068,Institute for Collaborative Education,486,65,0.5
56,0.125,P.S. 527 - East Side School for Social Action,480,0,0.5
2,0.043,Richard R. Green High School of Teaching,352,81,0.659
11,0.069,Neighborhood School,306,0,0.474
2,0.011,West Prep Academy,183,0,0.426
22,0.081,Beacon High School,1304,362,0.644
4,0.087,Urban Assembly Maker Academy,484,146,0.306
0,0.058,City Knoll Middle School,154,0,0.429
33,0.6,New York City Lab Middle School for Collaborative,603,0,0.499
0,0.021,P.S. 149 Sojourner Truth,235,0,0.502
1,0.105,P.S. 015 Roberto Clemente,190,0,0.521
8,0.117,High School for Environmental Studies,1133,282,0.516
3,0.008,P.S. 076 A. Philip Randolph,371,0,0.539
8,0.183,P.S. 110 Florence Nightingale,383,0,0.467
3,0.056,Vanguard High School,427,115,0.515
62,0.195,School of the Future High School,717,112,0.48
86,0.074,P.S. 087 William Sherman,877,0,0.504
1,0.019,"Urban Assembly School for Media Studies, The",372,72,0.505
0,0.112,Chelsea Career and Technical Education High School,437,158,0.334
59,0.291,The Anderson School,522,0,0.479
0,0.013,Community Action School - MS 258,223,0,0.471
8,0.44,Lower Manhattan Community Middle School,386,0,0.518
1,0.129,Chelsea Career and Technical Education High School,449,139,0.272
59,0.109,J.H.S. 054 Booker T. Washington,825,0,0.516
68,0.074,P.S. 087 William Sherman,705,0,0.533
6,0.203,P.S. 198 Isador E. Ida Straus,468,0,0.479
65,0.149,P.S. 199 Jessie Isador Straus,884,0,0.497
1,0.057,The Urban Assembly School for Emergency Management,315,93,0.54
17,0.038,High School M560 - City As School,554,0,0.54
25,0.091,Sixth Avenue Elementary School,208,0,0.543
2,0.08,Pace High School,537,155,0.579
93,0.075,P.S. 041 Greenwich Village,668,0,0.485
1,0.036,"Urban Assembly Academy of Government and Law, The",307,101,0.541
2,0.021,Independence High School,334,40,0.491
1,0.032,The Maxine Greene HS for Imaginative Inquiry,341,77,0.522
53,0.27,The Anderson School,537,0,0.495
28,0.025,P.S. 084 Lillian Weber,609,0,0.553
14,0.13,P.S. 006 Lillie D. Blake,683,0,0.483
3,0.844,High School for Dual Language and Asian Studies,397,109,0.602
1,0.085,Murry Bergtraum High School for Business Careers,130,80,0.585
33,0.864,P.S. 130 Hernando De Soto,749,0,0.486
5,0.081,Essex Street Academy,370,104,0.576
0,0.02,P.S. 149 Sojourner Truth,256,0,0.484
0,0.011,Innovation Diploma Plus,175,0,0.463
24,0.883,P.S. 130 Hernando De Soto,962,0,0.492
0,0.018,P.S. 188 The Island School,433,0,0.427
15,0.026,The 47 American Sign Language & English Lower Scho,195,0,0.497
15,0.437,Lower Manhattan Community Middle School,378,0,0.516
2,0.047,"High School for Law, Advocacy and Community Justic",429,141,0.585
38,0.196,P.S. 89,454,0,0.471
0,0.014,Business Of Sports School,426,130,0.418
0,0.047,P.S. 140 Nathan Straus,382,0,0.476
7,0.257,Bard High School Early College,548,140,0.617
2,0.604,P.S. 376,101,0,0.515
14,0.058,Ella Baker School,311,0,0.505
0,0.121,High School for Environmental Studies,1194,299,0.509
14,0.066,Urban Assembly New York Harbor School,513,137,0.326
38,0.094,P.S. 003 Charrette School,731,0,0.488
58,0.095,P.S. 234 Independence School,642,0,0.495
0,0.016,"Facing History School, The",431,166,0.487
2,0.866,P.S. 042 Benjamin Altman,574,0,0.483
74,0.228,Battery Park City School,791,0,0.491
4,0.023,"P.S. 145, The Bloomingdale School",391,0,0.524
9,0.075,Urban Assembly New York Harbor School,533,152,0.347
4,0.076,School for Global Leaders,185,0,0.438
15,0.077,M.S. M245 The Computer School,403,0,0.536
5,0.486,I.S. 289,284,0,0.44
5,0.056,Gramercy Arts High School,449,143,0.682
1,0.037,P.S. 142 Amalia Castro,353,0,0.433
50,0.086,Sixth Avenue Elementary School,339,0,0.487
1,0.242,The High School For Language And Diplomacy,302,102,0.543
0,0.029,P.S. 38 Roberto Clemente,206,0,0.515
19,0.658,P.S. 126 Jacob August Riis,714,0,0.492
6,0.011,"P.S. 145, The Bloomingdale School",370,0,0.541
3,0.003,"Facing History School, The",350,109,0.477
1,0.024,The Global Learning Collaborative,464,131,0.483
5,0.049,P.S. 007 Samuel Stern,366,0,0.462
9,0.104,Yorkville East Middle School,240,0,0.475
2,0.027,"James Baldwin School, The: A School for Expedition",258,16,0.516
27,0.357,Tag Young Scholars,569,0,0.489
21,0.08,Yorkville Community School,425,0,0.485
70,0.098,Art and Design High School,1507,437,0.668
19,0.126,The Clinton School,604,122,0.682
