pops_number,bin,building_location,developer,borocode,tax_block,council_district,borough_name,xcoordinate,:@computed_region_yeji_bk3q
M060028,1036233.0,North side of East 48th Street between Third and Lexington Avenues,"William Zeckendorf, Jr.",1,1303.0,4,Manhattan,991885,4
M080056,1049931.0,Northwest corner of First Avenue and East 83rd Street,,1,1546.0,5,Manhattan,997849,4
M060082,1022057.0,"Entire block bounded by FDR Drive, First Avenue, East 34th Street, and East 35th Street",,1,966.0,4,Manhattan,991860,4
M060017,1020361.0,South side of East 39th Street between Second and Third Avenues,,1,919.0,4,Manhattan,991219,4
M080006,1042760.0,Southeast corner of Park Avenue and East 71st Street,733 Park Ave. Co.,1,1405.0,4,Manhattan,994184,4
M080019,1044249.0,Southeast corner of Second Avenue and East 62nd Street,"Empire Realty Group, Inc.",1,1436.0,5,Manhattan,994558,4
M060039,1037547.0,South side of East 42nd Street between Second and Third Avenues,Harry B. Helmsley,1,1315.0,4,Manhattan,991459,4
M050055,1080824.0,Full blockfront on west side of Sixth Avenue between West 43rd and 44th Streets,The Durst Organization,1,996.0,4,Manhattan,988720,4
M070006,1030373.0,Full blockfront on west side of Broadway between West 70th and 71st Streets,First Lincoln Development Corporation,1,1162.0,6,Manhattan,989017,4
M060012,1019782.0,Southeast corner of East 24th Street and Third Avenue,,1,904.0,2,Manhattan,989096,4
M050038,1024812.0,West side of Broadway between West 50th and 51st Streets,Percy & Harold Uris,1,1022.0,3,Manhattan,988488,4
M080039,1047704.0,Northwest corner of Third Avenue and East 84th Street,Legent Realty Co.,1,1513.0,4,Manhattan,996649,4
M080098,1045832.0,"South side of East 72nd Street between First and York Avenues. Original BBL: 1466/29, 31, 1001-1208.",,1,1466.0,5,Manhattan,996708,4
M110004,1090333.0,,,1,1791.0,8,Manhattan,1002461,4
M050071,1015318.0,Southwest corner of West 16th Street Fifth Avenue,,1,817.0,3,Manhattan,986178,4
M050047,1022678.0,West side of Sixth Avenue between West 47th and 48th Streets,Rockefeller Center Inc,1,1000.0,4,Manhattan,989126,4
