latitude,longitude,tax_lot,ycoordinate,geocoded_column,building_name,year_completed
40.755138,-73.972442,7501.0,214395,"{'type': 'Point', 'coordinates': [-73.972442, 40.755138]}",Cosmopolitan,1985.0
40.775349,-73.9509,23.0,221761,"{'type': 'Point', 'coordinates': [-73.9509, 40.775349]}",,1968.0
40.743838,-73.972537,1.0,210278,"{'type': 'Point', 'coordinates': [-73.972537, 40.743838]}",Rivergate,1985.0
40.748203,-73.974848,42.0,211868,"{'type': 'Point', 'coordinates': [-73.974848, 40.748203]}",The Nash,1972.0
40.770092,-73.964136,72.0,219844,"{'type': 'Point', 'coordinates': [-73.964136, 40.770092]}",,1970.0
40.762203,-73.96279,7501.0,216970,"{'type': 'Point', 'coordinates': [-73.96279, 40.762203]}",Paladin,1985.0
40.750107,-73.973982,44.0,212562,"{'type': 'Point', 'coordinates': [-73.973982, 40.750107]}",New York Helmsley Hotel,1980.0
40.756057,-73.983866,29.0,214729,"{'type': 'Point', 'coordinates': [-73.983866, 40.756057]}",,1969.0
40.777798,-73.982788,29.0,222650,"{'type': 'Point', 'coordinates': [-73.982788, 40.777798]}",One Sherman Square,1971.0
40.739149,-73.982513,50.0,208569,"{'type': 'Point', 'coordinates': [-73.982513, 40.739149]}",Crystal House,1972.0
40.762107,-73.984702,43.0,216933,"{'type': 'Point', 'coordinates': [-73.984702, 40.762107]}",Paramount Plaza,1971.0
40.777876,-73.955231,7501.0,222681,"{'type': 'Point', 'coordinates': [-73.955231, 40.777876]}",Evans Tower,1986.0
40.766853,-73.955026,7501.0,218665,"{'type': 'Point', 'coordinates': [-73.955026, 40.766853]}",Oxford,1990.0
40.804311,-73.93422,1.0,232316,"{'type': 'Point', 'coordinates': [-73.93422, 40.804311]}",East Harlem MECC,
40.737289,-73.993043,7501.0,207891,"{'type': 'Point', 'coordinates': [-73.993043, 40.737289]}",,1986.0
40.758664,-73.982399,29.0,215679,"{'type': 'Point', 'coordinates': [-73.982399, 40.758664]}",1211 Avenue of the Americas,1973.0
40.751263,-73.992374,70.0,212982,"{'type': 'Point', 'coordinates': [-73.992374, 40.751263]}",One Penn Plaza,1972.0
40.753272,-73.971659,7506.0,213715,"{'type': 'Point', 'coordinates': [-73.971659, 40.753272]}",L'Ecole,1979.0
40.785712,-73.949629,33.0,225537,"{'type': 'Point', 'coordinates': [-73.949629, 40.785712]}",Monterey,1992.0
40.761387,-73.969367,15.0,216672,"{'type': 'Point', 'coordinates': [-73.969367, 40.761387]}",,1987.0
40.751588,-73.981752,7501.0,213101,"{'type': 'Point', 'coordinates': [-73.981752, 40.751588]}",Fifth Avenue Tower,1985.0
40.769943,-73.983711,1.0,219788,"{'type': 'Point', 'coordinates': [-73.983711, 40.769943]}",Regent,1982.0
40.752562,-73.96782,7501.0,213457,"{'type': 'Point', 'coordinates': [-73.96782, 40.752562]}",Trump World Tower,2000.0
40.730068,-73.990168,35.0,205260,"{'type': 'Point', 'coordinates': [-73.990168, 40.730068]}",,2012.0
40.710451,-74.00597,7501.0,198113,"{'type': 'Point', 'coordinates': [-74.00597, 40.710451]}",,2016.0
40.698099,-73.986566,7501.0,193613,"{'type': 'Point', 'coordinates': [-73.986566, 40.698099]}",,0.0
40.6053,-73.753265,7501.0,159900,"{'type': 'Point', 'coordinates': [-73.753265, 40.6053]}",Rockaway Village,
40.712776,-74.009036,7502.0,198960,"{'type': 'Point', 'coordinates': [-74.009036, 40.712776]}",30 Park Place,2017.0
40.763016,-73.965078,7501.0,217266,"{'type': 'Point', 'coordinates': [-73.965078, 40.763016]}",Wellington Estates,1966.0
40.740247,-73.97964,25.0,208969,"{'type': 'Point', 'coordinates': [-73.97964, 40.740247]}",Parc East Tower Apartments,1977.0
40.764499,-73.964843,7501.0,217806,"{'type': 'Point', 'coordinates': [-73.964843, 40.764499]}",Royale,1987.0
40.747329,-73.98486,7503.0,211549,"{'type': 'Point', 'coordinates': [-73.98486, 40.747329]}",,2005.0
40.753494,-73.970226,22.0,213796,"{'type': 'Point', 'coordinates': [-73.970226, 40.753494]}",1 Dag Hammarskjold Plaza,1972.0
40.702153,-74.012021,7501.0,195090,"{'type': 'Point', 'coordinates': [-74.012021, 40.702153]}",,1967.0
40.761271,-74.000466,1.0,216628,"{'type': 'Point', 'coordinates': [-74.000466, 40.761271]}",River Place,1999.0
40.754712,-73.971092,1.0,214240,"{'type': 'Point', 'coordinates': [-73.971092, 40.754712]}",,1963.0
40.757929,-73.986439,36.0,215411,"{'type': 'Point', 'coordinates': [-73.986439, 40.757929]}",One Astor Place,1971.0
40.743374,-73.983627,1.0,210108,"{'type': 'Point', 'coordinates': [-73.983627, 40.743374]}",Ascot,1984.0
40.833607,-73.884159,7502.0,243004,"{'type': 'Point', 'coordinates': [-73.884159, 40.833607]}",,
40.707363,-74.008195,22.0,196988,"{'type': 'Point', 'coordinates': [-74.008195, 40.707363]}",Liberty Tower,2002.0
40.754626,-73.974723,1.0,214208,"{'type': 'Point', 'coordinates': [-73.974723, 40.754626]}",,1966.0
40.77681,-73.982543,7502.0,222290,"{'type': 'Point', 'coordinates': [-73.982543, 40.77681]}",Nevada Towers,1974.0
40.74854,-73.973654,7501.0,211991,"{'type': 'Point', 'coordinates': [-73.973654, 40.74854]}",Highpoint,1988.0
40.773206,-73.951638,1.0,220980,"{'type': 'Point', 'coordinates': [-73.951638, 40.773206]}",,1980.0
40.763253,-73.965768,33.0,217352,"{'type': 'Point', 'coordinates': [-73.965768, 40.763253]}",Trump Plaza,1983.0
40.775905,-73.955688,45.0,221963,"{'type': 'Point', 'coordinates': [-73.955688, 40.775905]}",Wimbledon,1980.0
40.764339,-73.964081,45.0,217748,"{'type': 'Point', 'coordinates': [-73.964081, 40.764339]}",Carlton Towers,1969.0
40.756014,-73.974138,1.0,214714,"{'type': 'Point', 'coordinates': [-73.974138, 40.756014]}",Westvaco,1967.0
40.769989,-73.983295,7501.0,219805,"{'type': 'Point', 'coordinates': [-73.983295, 40.769989]}",Beaumont,1983.0
40.782975,-73.947598,7502.0,224540,"{'type': 'Point', 'coordinates': [-73.947598, 40.782975]}",Marmara Manhattan,1989.0
40.715408,-74.012593,7503.0,199919,"{'type': 'Point', 'coordinates': [-74.012593, 40.715408]}",One Eleven Murray Street,
40.782916,-73.978901,7501.0,224515,"{'type': 'Point', 'coordinates': [-73.978901, 40.782916]}",Gloucester,1975.0
40.742964,-73.98057,42.0,209959,"{'type': 'Point', 'coordinates': [-73.98057, 40.742964]}",Biltmore Plaza,1981.0
40.765474,-73.98147,17.0,218160,"{'type': 'Point', 'coordinates': [-73.98147, 40.765474]}",Carnegie Mews,1976.0
40.763512,-73.982272,25.0,217445,"{'type': 'Point', 'coordinates': [-73.982272, 40.763512]}",,1968.0
40.748093,-73.976866,41.0,211828,"{'type': 'Point', 'coordinates': [-73.976866, 40.748093]}",Murray Hill Mews,1974.0
40.705269,-74.005515,23.0,196225,"{'type': 'Point', 'coordinates': [-74.005515, 40.705269]}",,1982.0
40.752087,-73.997957,7505.0,213282,"{'type': 'Point', 'coordinates': [-73.997957, 40.752087]}",Hudson Yards / Manhattan West (Subarea B2),
40.771028,-73.948828,14.0,220187,"{'type': 'Point', 'coordinates': [-73.948828, 40.771028]}",Austen House,1982.0
40.709216,-74.011257,7501.0,197663,"{'type': 'Point', 'coordinates': [-74.011257, 40.709216]}",One Liberty Plaza,1972.0
40.759813,-73.975317,7.0,216098,"{'type': 'Point', 'coordinates': [-73.975317, 40.759813]}",HarperCollins,1971.0
40.764263,-73.978481,19.0,217719,"{'type': 'Point', 'coordinates': [-73.978481, 40.764263]}",Le Parker Meridien Hotel,1979.0
40.775988,-73.950441,23.0,221994,"{'type': 'Point', 'coordinates': [-73.950441, 40.775988]}",Adams Tower,1969.0
40.762046,-73.980893,7501.0,216911,"{'type': 'Point', 'coordinates': [-73.980893, 40.762046]}",Flatotel,1985.0
40.729513,-73.991236,7502.0,205058,"{'type': 'Point', 'coordinates': [-73.991236, 40.729513]}",Astor Place,2005.0
40.748002,-73.972838,7501.0,211795,"{'type': 'Point', 'coordinates': [-73.972838, 40.748002]}",Churchill,1966.0
40.78099,-73.951976,3.0,223816,"{'type': 'Point', 'coordinates': [-73.951976, 40.78099]}",,1974.0
40.76052,-73.982843,1.0,216355,"{'type': 'Point', 'coordinates': [-73.982843, 40.76052]}",,1999.0
40.751336,-73.969239,7502.0,213010,"{'type': 'Point', 'coordinates': [-73.969239, 40.751336]}",Lausanne,1974.0
40.704569,-74.008858,1.0,195970,"{'type': 'Point', 'coordinates': [-74.008858, 40.704569]}",10 Hanover Square,1971.0
40.751775,-73.970372,7501.0,213170,"{'type': 'Point', 'coordinates': [-73.970372, 40.751775]}",Delegate,1979.0
40.78426,-73.948251,21.0,225008,"{'type': 'Point', 'coordinates': [-73.948251, 40.78426]}",Normandie Court,1986.0
40.761495,-73.971328,37.0,216711,"{'type': 'Point', 'coordinates': [-73.971328, 40.761495]}",,1971.0
40.768013,-73.953411,21.0,219088,"{'type': 'Point', 'coordinates': [-73.953411, 40.768013]}",Stratford,1969.0
40.7615,-73.971797,7502.0,216713,"{'type': 'Point', 'coordinates': [-73.971797, 40.7615]}",432 Park Avenue,2017.0
40.703809,-74.007693,1.0,195693,"{'type': 'Point', 'coordinates': [-74.007693, 40.703809]}",Financial Square,1987.0
40.776864,-73.952051,49.0,222313,"{'type': 'Point', 'coordinates': [-73.952051, 40.776864]}",America,1987.0
40.772677,-73.991804,157.0,220784,"{'type': 'Point', 'coordinates': [-73.991804, 40.772677]}",Riverside Center,
40.755388,-73.97054,47.0,214486,"{'type': 'Point', 'coordinates': [-73.97054, 40.755388]}",Crystal Pavilion,1982.0
40.763976,-73.961461,7501.0,217616,"{'type': 'Point', 'coordinates': [-73.961461, 40.763976]}",Rio,1987.0
40.755982,-73.97599,21.0,214702,"{'type': 'Point', 'coordinates': [-73.97599, 40.755982]}",,
