dbn,school_name,asian_2,grade_5,grade_2,grade_12,english_language_learners_1,poverty,year,grade_8,male_1,english_language_learners_2,grade_pk,hispanic_2,grade_6,grade_9,male_2
11X509,High School of Language and Innovation,16.3,0.0,0,96.0,276.0,352,2015-16,0.0,181.0,76.5,0.0,59.6,0.0,72.0,50.1
20K127,P.S. 127 Mckinley Park,31.4,80.0,70,0.0,159.0,426,2015-16,0.0,290.0,30.1,0.0,21.6,0.0,0.0,54.8
02M507,Urban Assembly Gateway School for Technology,10.8,0.0,0,115.0,14.0,472,2015-16,0.0,373.0,3.0,0.0,51.5,0.0,131.0,79.0
10X319,Providing Urban Learners Success In Education High,0.0,0.0,0,56.0,23.0,187,2015-16,0.0,116.0,10.1,0.0,61.7,0.0,31.0,51.1
03M247,M.S. M247 Dual Language Middle School,0.0,0.0,0,0.0,61.0,175,2015-16,64.0,82.0,31.3,0.0,99.0,59.0,0.0,42.1
17K722,New Heights Middle School,,0.0,0,0.0,14.0,213,2015-16,92.0,139.0,5.4,0.0,10.7,64.0,0.0,53.3
10X086,P.S. 086 Kingsbridge Heights,4.2,240.0,245,0.0,509.0,1692,2015-16,0.0,848.0,30.1,40.0,85.5,213.0,0.0,50.1
19K345,P.S. 345 Patrolman Robert Bolden,6.7,100.0,105,0.0,100.0,644,2015-16,0.0,340.0,15.5,35.0,50.8,0.0,0.0,52.8
03M199,P.S. 199 Jessie Isador Straus,14.4,133.0,158,0.0,26.0,63,2015-16,0.0,441.0,2.9,0.0,12.6,0.0,0.0,48.8
02M316,Urban Assembly School of Business for Young Women,3.3,0.0,0,84.0,18.0,295,2015-16,0.0,0.0,5.0,0.0,35.4,0.0,117.0,0.0
13K270,P.S. 270 Johann DeKalb,,21.0,18,0.0,13.0,133,2015-16,0.0,73.0,9.4,20.0,24.5,0.0,0.0,52.5
14K257,P.S. 257 John F. Hylan,,84.0,115,0.0,82.0,666,2015-16,0.0,315.0,12.3,62.0,75.8,0.0,0.0,47.3
03M299,"High School for Arts, Imagination and Inquiry",,0.0,0,78.0,53.0,340,2015-16,0.0,194.0,12.4,0.0,58.7,0.0,153.0,45.5
09X517,Frederick Douglass Academy III Secondary School,,0.0,0,66.0,52.0,351,2015-16,0.0,229.0,12.4,0.0,51.4,0.0,135.0,54.5
02M116,P.S. 116 Mary Lindley Murray,19.7,124.0,89,0.0,69.0,217,2015-16,0.0,326.0,10.8,47.0,21.6,0.0,0.0,51.1
10X015,P.S. X015 Institute for Environmental Learning,,50.0,56,0.0,35.0,497,2015-16,54.0,249.0,7.0,0.0,84.7,62.0,0.0,50.1
02M294,Essex Street Academy,5.9,0.0,0,81.0,14.0,252,2015-16,0.0,176.0,3.9,0.0,43.3,0.0,87.0,49.4
02M544,Independence High School,4.8,0.0,0,122.0,14.0,259,2015-16,0.0,162.0,4.5,0.0,54.8,0.0,0.0,51.6
