school_name,grade_4,grade_7,grade_11,students_with_disabilities_1,asian_1,female_1,poverty_2,female_2,white_2,other_1,hispanic_1,other_2
Belmont Preparatory High School,0.0,0.0,97.0,79.0,,230.0,87.7,54.4,,,275.0,
Business Of Sports School,0.0,0.0,101.0,104.0,,155.0,100.0,34.6,,,287.0,
P.S. 038 The Pacific,76.0,0.0,0.0,90.0,73.0,273.0,59.2,49.3,20.6,16.0,146.0,2.9
High School of Graphic Communication Arts,0.0,0.0,16.0,40.0,,72.0,100.0,50.0,,,76.0,
Young Women's Leadership School,0.0,54.0,83.0,98.0,44.0,491.0,79.8,100.0,3.7,12.0,296.0,2.4
P.S. 042 Benjamin Altman,132.0,0.0,0.0,112.0,686.0,341.0,100.0,46.3,2.0,,30.0,
P.S. 003 Charrette School,156.0,0.0,0.0,141.0,56.0,375.0,16.5,47.5,70.1,41.0,97.0,5.2
Highland Park Community School,0.0,102.0,0.0,42.0,,88.0,91.1,43.3,,,159.0,
"P.S./M.S. 20 P.O.George J. Werdann, III",135.0,83.0,0.0,275.0,101.0,526.0,93.0,47.6,7.5,19.0,810.0,1.7
Women's Academy of Excellence,0.0,0.0,83.0,74.0,23.0,338.0,89.6,100.0,3.8,11.0,137.0,3.3
East Fordham Academy for the Arts,0.0,101.0,0.0,88.0,,171.0,95.0,52.9,,,272.0,
Bronx Community High School,0.0,0.0,46.0,23.0,,103.0,100.0,58.5,,,101.0,
Pelham Lab High School,0.0,0.0,90.0,87.0,23.0,143.0,100.0,42.8,7.5,,190.0,
I.S. M286 Renaissance Leadership Academy,0.0,64.0,0.0,58.0,0.0,66.0,91.6,42.9,,,60.0,
The Angelo Patri Middle School,0.0,170.0,0.0,144.0,,234.0,100.0,45.3,,,371.0,
P.S. 083 Luis Munoz Rivera,70.0,0.0,0.0,87.0,56.0,214.0,90.2,48.7,2.7,,280.0,
The Bronx Mathematics Preparatory School,0.0,84.0,0.0,66.0,,107.0,96.8,42.6,0.0,,159.0,
Young Leaders Elementary School,27.0,0.0,0.0,78.0,0.0,120.0,99.2,47.4,,0.0,206.0,0.0
Art and Design High School,0.0,0.0,309.0,252.0,115.0,847.0,65.1,58.7,12.1,39.0,804.0,2.7
P.S. 001 Alfred E. Smith,70.0,0.0,0.0,90.0,257.0,189.0,100.0,47.2,,,87.0,
Academy for Scholarship and Entrepreneurship: A College Board School,0.0,0.0,92.0,88.0,13.0,181.0,74.0,47.5,,,119.0,
P.S. 250 George H. Lindsay,114.0,0.0,0.0,76.0,88.0,312.0,100.0,49.3,,,461.0,
Manhattan Bridges High School,0.0,0.0,110.0,20.0,0.0,262.0,100.0,51.4,,,507.0,
George Westinghouse Career and Technical Education,0.0,0.0,130.0,117.0,15.0,171.0,77.9,27.6,2.6,,128.0,
"Bronx School for Law, Government and Justice",0.0,99.0,117.0,163.0,,424.0,90.2,54.9,,15.0,549.0,1.9
The School for Inquiry and Social Justice,0.0,189.0,0.0,128.0,17.0,234.0,100.0,49.3,,,322.0,
KAPPA IV,0.0,46.0,0.0,46.0,,69.0,92.9,44.5,,,61.0,
P.S. 110 Florence Nightingale,54.0,0.0,0.0,63.0,63.0,188.0,52.3,47.7,26.9,16.0,170.0,4.1
P.S. 110 Theodore Schoenfeld,67.0,0.0,0.0,109.0,0.0,235.0,96.6,49.4,4.6,,248.0,
P.S. 153 Adam Clayton Powell,116.0,0.0,0.0,120.0,17.0,379.0,84.0,51.0,2.6,,550.0,
Academy of Hospitality and Tourism,0.0,0.0,25.0,59.0,,125.0,83.0,55.8,,,25.0,
Bronx Studio School for Writers and Artists,0.0,88.0,46.0,155.0,,314.0,100.0,53.4,,,444.0,
E.S.M.T- I.S. 190,0.0,77.0,0.0,63.0,,119.0,87.9,49.8,,,170.0,
World View High School,0.0,0.0,76.0,64.0,,141.0,79.9,48.8,,,197.0,
I.S. 289,0.0,100.0,0.0,53.0,111.0,158.0,41.9,54.7,38.1,,37.0,
Academy For Personal Leadership And Excellence,0.0,156.0,0.0,107.0,,210.0,94.1,46.2,,,385.0,
"M.S. 267 Math, Science & Technology",0.0,66.0,0.0,59.0,,82.0,84.6,45.1,,13.0,45.0,7.1
I.S. 340,0.0,73.0,0.0,30.0,,119.0,81.3,58.6,,,26.0,
