ind2,nyc_poverty_rate,ind2definition,indexscore,ind4outcome,ind7definition
Jobs With Health Insurance,0.264,Percentage of the population that has health insurance coverage through their current or former employer or through their union,2.433739036,24816.70508,Percentage of eligible Tax Units claiming EITC
Bank / Credit Union Density,0.152,"Number of bank and credit union branches per 10,000 residents",1.919035719,Asian 6.23%; Black or African American (non-Hispanic or Latino) 5.99%; Hispanic or Latino 17.96%; Other/No Information 23.82%; White (non-Hispanic or Latino) 46.01%,Estimated percentage of residents that used mobile banking in past twelve months
Neighborhood Tenure,0.163,Percentage of residents who have lived in their homes for 10 or more years,5.833415227,3.01:1,Percentage of eligible residents casting a vote in most recent participatory budgeting cycle
Jobs With Health Insurance,0.214,Percentage of the population that has health insurance coverage through their current or former employer or through their union,3.955710823,33792.96094,Percentage of eligible Tax Units claiming EITC
Bank / Credit Union Density,0.221,"Number of bank and credit union branches per 10,000 residents",2.085338923,Asian 9.33%; Black or African American (non-Hispanic or Latino) 7.47%; Hispanic or Latino 4.20%; Other/No Information 19.60%; White (non-Hispanic or Latino) 59.41%,Estimated percentage of residents that used mobile banking in past twelve months
Bank / Credit Union Density,0.235,"Number of bank and credit union branches per 10,000 residents",0.173236124,Asian 9.88%; Black or African American (non-Hispanic or Latino) 7.47%; Hispanic or Latino 5.06%; Other/No Information 25.54%; White (non-Hispanic or Latino) 52.05%,Estimated percentage of residents that used mobile banking in past twelve months
Neighborhood Tenure,0.073,Percentage of residents who have lived in their homes for 10 or more years,5.804530594,5.01:1,Percentage of eligible residents casting a vote in most recent participatory budgeting cycle
Neighborhood Tenure,0.09,Percentage of residents who have lived in their homes for 10 or more years,6.909261698,5.01:1,Percentage of eligible residents casting a vote in most recent participatory budgeting cycle
Bank / Credit Union Density,0.19,"Number of bank and credit union branches per 10,000 residents",4.488325238,Asian 30.67%; Black or African American (non-Hispanic or Latino) 0.49%; Hispanic or Latino 3.68%; Other/No Information 17.79%; White (non-Hispanic or Latino) 47.36%,Estimated percentage of residents that used mobile banking in past twelve months
Bank / Credit Union Density,0.344,"Number of bank and credit union branches per 10,000 residents",3.125508772,Asian 5.56%; Black or African American (non-Hispanic or Latino) 12.96%; Hispanic or Latino 26.85%; Other/No Information 45.37%; White (non-Hispanic or Latino) 9.26%,Estimated percentage of residents that used mobile banking in past twelve months
"Goal 2: Access to Affordable, High-Quality Goods & Services",0.132,,3.680972235,,
Child Care Capacity,0.135,Percentage of 3- and 4-year-olds enrolled in early education programs,7.045904251,792.495,
Jobs With Health Insurance,0.226,Percentage of the population that has health insurance coverage through their current or former employer or through their union,2.601014925,30670.25977,Percentage of eligible Tax Units claiming EITC
Neighborhood Tenure,0.221,Percentage of residents who have lived in their homes for 10 or more years,3.766236934,2.12:1,Percentage of eligible residents casting a vote in most recent participatory budgeting cycle
Neighborhood Tenure,0.088,Percentage of residents who have lived in their homes for 10 or more years,5.626511329,1.33:1,Percentage of eligible residents casting a vote in most recent participatory budgeting cycle
Bank / Credit Union Density,0.121,"Number of bank and credit union branches per 10,000 residents",3.856805712,Asian 11.63%; Black or African American (non-Hispanic or Latino) 5.69%; Hispanic or Latino 3.00%; Other/No Information 24.91%; White (non-Hispanic or Latino) 54.77%,Estimated percentage of residents that used mobile banking in past twelve months
Child Care Capacity,0.09,Percentage of 3- and 4-year-olds enrolled in early education programs,7.592773855,1242.91,
,0.108,,,,
"Goal 2: Access to Affordable, High-Quality Goods & Services",0.114,,5.54297091,,
,0.221,,,,
Jobs With Health Insurance,0.132,Percentage of the population that has health insurance coverage through their current or former employer or through their union,4.255353532,39542.72266,Percentage of eligible Tax Units claiming EITC
Bank / Credit Union Density,0.212,"Number of bank and credit union branches per 10,000 residents",3.758084346,Asian 22.00%; Black or African American (non-Hispanic or Latino) 7.53%; Hispanic or Latino 13.67%; Other/No Information 12.19%; White (non-Hispanic or Latino) 44.60%,Estimated percentage of residents that used mobile banking in past twelve months
Housing Stability,0.344,Percentage of rental housing units that are under regulatory protection,0.0,0.688,"Full-Time Equivalent Financial Counselors per 100,000 residents aged 18-64 years"
Housing Stability,0.298,Percentage of rental housing units that are under regulatory protection,2.410916541,0.576,"Full-Time Equivalent Financial Counselors per 100,000 residents aged 18-64 years"
Jobs With Health Insurance,0.14,Percentage of the population that has health insurance coverage through their current or former employer or through their union,3.993143129,43603.14063,Percentage of eligible Tax Units claiming EITC
Jobs With Health Insurance,0.283,Percentage of the population that has health insurance coverage through their current or former employer or through their union,1.661410176,23513.86523,Percentage of eligible Tax Units claiming EITC
"Goal 2: Access to Affordable, High-Quality Goods & Services",0.204,,3.162262769,,
Jobs With Health Insurance,0.219,Percentage of the population that has health insurance coverage through their current or former employer or through their union,3.097412331,31692.60156,Percentage of eligible Tax Units claiming EITC
,0.204,,,,
Housing Stability,0.232,Percentage of rental housing units that are under regulatory protection,1.049708111,0.598,"Full-Time Equivalent Financial Counselors per 100,000 residents aged 18-64 years"
Neighborhood Tenure,0.152,Percentage of residents who have lived in their homes for 10 or more years,5.184720365,3.59:1,Percentage of eligible residents casting a vote in most recent participatory budgeting cycle
,0.199,,,,
Child Care Capacity,0.186,Percentage of 3- and 4-year-olds enrolled in early education programs,4.116770743,605.455,
