ind1definition,ind5definition,ind1outcome,ind3rank
"Number of job training and placement programs per 10,000 unemployed residents",Percentage of high school students who graduate on time (within 4 years),3.565264738,22.0
Ratio of banks & credit unions to check cashers & pawnshops,Percentage of residents with a bank or credit union account,0.125694444,28.0
Percentage of housing units that are owner-occupied,"Number of community and public institutions per 10,000 residents",0.449,29.0
"Number of job training and placement programs per 10,000 unemployed residents",Percentage of high school students who graduate on time (within 4 years),2.20576428,13.0
Ratio of banks & credit unions to check cashers & pawnshops,Percentage of residents with a bank or credit union account,1.6:1,22.0
Ratio of banks & credit unions to check cashers & pawnshops,Percentage of residents with a bank or credit union account,0.7:1,28.0
Percentage of housing units that are owner-occupied,"Number of community and public institutions per 10,000 residents",0.349,44.0
Percentage of housing units that are owner-occupied,"Number of community and public institutions per 10,000 residents",0.342,22.0
Ratio of banks & credit unions to check cashers & pawnshops,Percentage of residents with a bank or credit union account,9.5:1,28.0
Ratio of banks & credit unions to check cashers & pawnshops,Percentage of residents with a bank or credit union account,0.3:1,3.0
,,,16.0
Supermarket square footage per 100 residents,Percentage of median household income spent on transportation,189.3,1.0
"Number of job training and placement programs per 10,000 unemployed residents",Percentage of high school students who graduate on time (within 4 years),3.584537738,20.0
Percentage of housing units that are owner-occupied,"Number of community and public institutions per 10,000 residents",0.157,36.0
Percentage of housing units that are owner-occupied,"Number of community and public institutions per 10,000 residents",0.293,2.0
Ratio of banks & credit unions to check cashers & pawnshops,Percentage of residents with a bank or credit union account,3.4:1,25.0
Supermarket square footage per 100 residents,Percentage of median household income spent on transportation,221.51,24.0
,,,
,,,9.0
Supermarket square footage per 100 residents,Percentage of median household income spent on transportation,132.31,34.0
Supermarket square footage per 100 residents,Percentage of median household income spent on transportation,119.48,17.0
Percentage of residents with a prime or better credit score,Percentage of households that pay more than 50% of income on rent,0.62,44.0
,,,30.0
"Number of job training and placement programs per 10,000 unemployed residents",Percentage of high school students who graduate on time (within 4 years),1.988610037,41.0
Percentage of housing units that are owner-occupied,"Number of community and public institutions per 10,000 residents",0.146,8.0
Percentage of housing units that are owner-occupied,"Number of community and public institutions per 10,000 residents",0.061,25.0
,,,
Percentage of housing units that are owner-occupied,"Number of community and public institutions per 10,000 residents",0.417,33.0
"Number of job training and placement programs per 10,000 unemployed residents",Percentage of high school students who graduate on time (within 4 years),0,16.0
,,,
Percentage of residents with a prime or better credit score,Percentage of households that pay more than 50% of income on rent,0.5,13.0
Percentage of residents with a prime or better credit score,Percentage of households that pay more than 50% of income on rent,0.57,23.0
Percentage of housing units that are owner-occupied,"Number of community and public institutions per 10,000 residents",0.217,32.0
Percentage of housing units that are owner-occupied,"Number of community and public institutions per 10,000 residents",0.392,52.0
Supermarket square footage per 100 residents,Percentage of median household income spent on transportation,169.38,24.0
,,,
,,,1.0
Percentage of housing units that are owner-occupied,"Number of community and public institutions per 10,000 residents",0.354,6.0
Ratio of banks & credit unions to check cashers & pawnshops,Percentage of residents with a bank or credit union account,0.1:1,28.0
,,,
"Number of job training and placement programs per 10,000 unemployed residents",Percentage of high school students who graduate on time (within 4 years),2.485770414,31.0
,,,47.0
,,,
,,,52.0
Percentage of housing units that are owner-occupied,"Number of community and public institutions per 10,000 residents",0.071,31.0
Percentage of residents with a prime or better credit score,Percentage of households that pay more than 50% of income on rent,0.77,5.0
"Number of job training and placement programs per 10,000 unemployed residents",Percentage of high school students who graduate on time (within 4 years),3.528325041,46.0
Percentage of housing units that are owner-occupied,"Number of community and public institutions per 10,000 residents",0.217,7.0
Percentage of housing units that are owner-occupied,"Number of community and public institutions per 10,000 residents",0.072,50.0
Percentage of residents with a prime or better credit score,Percentage of households that pay more than 50% of income on rent,0.45,32.0
Supermarket square footage per 100 residents,Percentage of median household income spent on transportation,153.51,34.0
Supermarket square footage per 100 residents,Percentage of median household income spent on transportation,204.22,38.0
"Number of job training and placement programs per 10,000 unemployed residents",Percentage of high school students who graduate on time (within 4 years),0.917221494,33.0
Percentage of residents with a prime or better credit score,Percentage of households that pay more than 50% of income on rent,0.55,33.0
"Number of job training and placement programs per 10,000 unemployed residents",Percentage of high school students who graduate on time (within 4 years),3.567641775,1.0
"Number of job training and placement programs per 10,000 unemployed residents",Percentage of high school students who graduate on time (within 4 years),0.77322549,53.0
"Number of job training and placement programs per 10,000 unemployed residents",Percentage of high school students who graduate on time (within 4 years),4.558204257,41.0
Supermarket square footage per 100 residents,Percentage of median household income spent on transportation,195.45,3.0
Percentage of residents with a prime or better credit score,Percentage of households that pay more than 50% of income on rent,0.66,11.0
"Number of job training and placement programs per 10,000 unemployed residents",Percentage of high school students who graduate on time (within 4 years),0,10.0
Ratio of banks & credit unions to check cashers & pawnshops,Percentage of residents with a bank or credit union account,8.8:1,28.0
,,,25.0
,,,
Percentage of residents with a prime or better credit score,Percentage of households that pay more than 50% of income on rent,0.41,37.0
,,,33.0
