totaloutcome,ind4rank,puma,ind5outcome,cd,goal,ind5,ind6definition
-4.952705869,48.0,3706,0.77,BX Community District 7,Jobs & Income,Educational Attainment,Percentage of people eligible for SNAP receiving the benefit
-3.560422148,34.0,3701,0.889,BX Community District 8,Financial Services,Bank / Credit Union Utilization,Percentage of bank & credit union branches offering checking accounts that meet New York Basic Banking guidelines
1.525389676,22.0,4108,23.37814144,QN Community District 6,Build Assets,Community Efficacy,Percentage of jobs in small businesses (less than 20 employees)
1.71826168,27.0,4006,0.822,BK Community District 8,Jobs & Income,Educational Attainment,Percentage of people eligible for SNAP receiving the benefit
-3.053041893,44.0,4015,0.876,BK Community District 14,Financial Services,Bank / Credit Union Utilization,Percentage of bank & credit union branches offering checking accounts that meet New York Basic Banking guidelines
-8.886743133,52.0,3802,0.847,MN Community District 9,Financial Services,Bank / Credit Union Utilization,Percentage of bank & credit union branches offering checking accounts that meet New York Basic Banking guidelines
1.436683811,1.0,3805,78.85653518,MN Community District 8,Build Assets,Community Efficacy,Percentage of jobs in small businesses (less than 20 employees)
4.829357253,1.0,3806,86.6737217,MN Community District 7,Build Assets,Community Efficacy,Percentage of jobs in small businesses (less than 20 employees)
4.278313022,25.0,4013,0.935,BK Community District 10,Financial Services,Bank / Credit Union Utilization,Percentage of bank & credit union branches offering checking accounts that meet New York Basic Banking guidelines
0.120448645,22.0,3707,0.703,BX Community District 5,Financial Services,Bank / Credit Union Utilization,Percentage of bank & credit union branches offering checking accounts that meet New York Basic Banking guidelines
2.308970613,46.0,4105,,QN Community District 13,Overall Index,Goal 5: Opportunities to Build Assets & Plan for the Future,
5.331161342,47.0,4104,0.111705547,QN Community District 11,Goods & Services,Cost Of Transportation (%),Average (mean) travel time to work in minutes
-4.219517491,34.0,4003,0.668,BK Community District 3,Jobs & Income,Educational Attainment,Percentage of people eligible for SNAP receiving the benefit
-4.822997609,40.0,4011,19.13316865,BK Community District 9,Build Assets,Community Efficacy,Percentage of jobs in small businesses (less than 20 employees)
0.889979522,53.0,3810,180.2711463,MN Community Districts 1 & 2,Build Assets,Community Efficacy,Percentage of jobs in small businesses (less than 20 employees)
2.351588034,26.0,4004,0.909,BK Community District 2,Financial Services,Bank / Credit Union Utilization,Percentage of bank & credit union branches offering checking accounts that meet New York Basic Banking guidelines
