grade_12,ela_test_takers,ell_spanish_2,ell_korean_1,ell_haitian_creole_1,ell_korean_2,year,ela_level_1_2,ell_other_2
No Data,No Data,No Data,No Data,No Data,No Data,2016-17,No Data,No Data
No Data,s,No Data,No Data,No Data,No Data,2016-17,s,No Data
113,99,No Data,No Data,No Data,No Data,2016-17,10.1%,No Data
10,19,No Data,No Data,No Data,No Data,2016-17,52.6%,No Data
No Data,s,No Data,No Data,No Data,No Data,2016-17,s,No Data
s,s,No Data,No Data,No Data,No Data,2016-17,s,No Data
No Data,No Data,No Data,No Data,No Data,No Data,2016-17,No Data,No Data
86,85,No Data,No Data,No Data,No Data,2016-17,s,No Data
115,100,No Data,No Data,No Data,No Data,2016-17,12.0%,No Data
No Data,s,No Data,No Data,No Data,No Data,2016-17,s,No Data
26,18,No Data,No Data,No Data,No Data,2016-17,66.7%,No Data
100,86,No Data,No Data,No Data,No Data,2016-17,27.9%,No Data
9,s,No Data,No Data,No Data,No Data,2016-17,s,No Data
No Data,No Data,80.0%,s,s,s,2016-17,No Data,s
No Data,No Data,No Data,No Data,No Data,No Data,2016-17,No Data,No Data
16,13,No Data,No Data,No Data,No Data,2016-17,46.2%,No Data
15,No Data,No Data,No Data,No Data,No Data,2016-17,No Data,No Data
99,46,No Data,No Data,No Data,No Data,2016-17,34.8%,No Data
8,s,70.0%,s,s,s,2016-17,s,s
13,26,No Data,No Data,No Data,No Data,2016-17,65.4%,No Data
31,24,No Data,No Data,No Data,No Data,2016-17,s,No Data
s,51,78.7%,s,s,s,2016-17,92.2%,10.9%
s,No Data,No Data,No Data,No Data,No Data,2016-17,No Data,No Data
116,111,No Data,No Data,No Data,No Data,2016-17,33.3%,No Data
14,23,No Data,No Data,No Data,No Data,2016-17,56.5%,No Data
107,159,No Data,No Data,No Data,No Data,2016-17,21.4%,No Data
No Data,9,66.7%,s,s,s,2016-17,s,s
s,6,No Data,No Data,No Data,No Data,2016-17,s,No Data
90,79,No Data,No Data,No Data,No Data,2016-17,7.6%,No Data
No Data,94,No Data,No Data,No Data,No Data,2016-17,11.7%,No Data
s,8,76.2%,s,s,s,2016-17,75.0%,s
16,15,No Data,No Data,No Data,No Data,2016-17,80.0%,No Data
s,8,No Data,No Data,No Data,No Data,2016-17,s,No Data
78,78,No Data,No Data,No Data,No Data,2016-17,16.7%,No Data
s,s,No Data,No Data,No Data,No Data,2016-17,s,No Data
67,109,No Data,No Data,No Data,No Data,2016-17,s,No Data
16,No Data,No Data,No Data,No Data,No Data,2016-17,No Data,No Data
8,20,No Data,No Data,No Data,No Data,2016-17,60.0%,No Data
24,25,83.2%,s,s,s,2016-17,56.0%,8.4%
s,7,No Data,No Data,No Data,No Data,2016-17,85.7%,No Data
No Data,s,No Data,No Data,No Data,No Data,2016-17,s,No Data
22,36,No Data,No Data,No Data,No Data,2016-17,52.8%,No Data
48,27,No Data,No Data,No Data,No Data,2016-17,s,No Data
74,74,No Data,No Data,No Data,No Data,2016-17,s,No Data
90,77,No Data,No Data,No Data,No Data,2016-17,11.7%,No Data
93,92,No Data,No Data,No Data,No Data,2016-17,6.5%,No Data
7,13,No Data,No Data,No Data,No Data,2016-17,s,No Data
103,105,No Data,No Data,No Data,No Data,2016-17,28.6%,No Data
s,6,No Data,No Data,No Data,No Data,2016-17,s,No Data
s,19,95.3%,s,s,s,2016-17,89.5%,s
55,26,54.5%,s,s,s,2016-17,88.5%,9.4%
12,9,No Data,No Data,No Data,No Data,2016-17,s,No Data
s,s,No Data,No Data,No Data,No Data,2016-17,s,No Data
No Data,s,75.0%,s,s,s,2016-17,s,s
s,10,No Data,No Data,No Data,No Data,2016-17,s,No Data
101,96,No Data,No Data,No Data,No Data,2016-17,s,No Data
56,91,No Data,No Data,No Data,No Data,2016-17,23.1%,No Data
No Data,s,72.7%,s,s,s,2016-17,s,s
s,s,No Data,No Data,No Data,No Data,2016-17,s,No Data
52,No Data,No Data,No Data,No Data,No Data,2016-17,No Data,No Data
40,19,No Data,No Data,No Data,No Data,2016-17,42.1%,No Data
s,s,86.4%,s,s,s,2016-17,s,s
s,7,No Data,No Data,No Data,No Data,2016-17,s,No Data
No Data,No Data,No Data,No Data,No Data,No Data,2016-17,No Data,No Data
65,112,No Data,No Data,No Data,No Data,2016-17,27.7%,No Data
13,s,No Data,No Data,No Data,No Data,2016-17,s,No Data
17,21,No Data,No Data,No Data,No Data,2016-17,42.9%,No Data
9,34,No Data,No Data,No Data,No Data,2016-17,s,No Data
70,75,No Data,No Data,No Data,No Data,2016-17,37.3%,No Data
137,No Data,No Data,No Data,No Data,No Data,2016-17,No Data,No Data
7,s,No Data,No Data,No Data,No Data,2016-17,s,No Data
42,34,No Data,No Data,No Data,No Data,2016-17,32.4%,No Data
89,85,No Data,No Data,No Data,No Data,2016-17,34.1%,No Data
16,26,No Data,No Data,No Data,No Data,2016-17,30.8%,No Data
s,s,No Data,No Data,No Data,No Data,2016-17,s,No Data
No Data,s,No Data,No Data,No Data,No Data,2016-17,s,No Data
No Data,No Data,No Data,No Data,No Data,No Data,2016-17,No Data,No Data
9,12,98.5%,s,s,s,2016-17,75.0%,s
No Data,s,92.3%,s,s,s,2016-17,s,s
s,12,89.6%,s,s,s,2016-17,66.7%,s
23,13,62.0%,s,s,s,2016-17,92.3%,11.3%
7,10,59.5%,s,s,s,2016-17,90.0%,s
62,No Data,No Data,No Data,No Data,No Data,2016-17,No Data,No Data
s,s,No Data,No Data,No Data,No Data,2016-17,s,No Data
15,17,85.1%,s,s,s,2016-17,94.1%,10.6%
11,13,79.5%,s,s,s,2016-17,84.6%,s
s,s,No Data,No Data,No Data,No Data,2016-17,s,No Data
61,66,No Data,No Data,No Data,No Data,2016-17,40.9%,No Data
s,s,71.4%,s,s,s,2016-17,s,s
s,No Data,No Data,No Data,No Data,No Data,2016-17,No Data,No Data
s,No Data,100.0%,s,s,s,2016-17,No Data,s
87,24,No Data,No Data,No Data,No Data,2016-17,87.5%,No Data
s,s,No Data,No Data,No Data,No Data,2016-17,s,No Data
s,No Data,No Data,No Data,No Data,No Data,2016-17,No Data,No Data
17,32,No Data,No Data,No Data,No Data,2016-17,28.1%,No Data
s,No Data,No Data,No Data,No Data,No Data,2016-17,No Data,No Data
No Data,23,No Data,No Data,No Data,No Data,2016-17,26.1%,No Data
54,47,No Data,No Data,No Data,No Data,2016-17,s,No Data
s,No Data,90.9%,s,s,s,2016-17,No Data,s
s,8,84.6%,s,s,s,2016-17,75.0%,s
s,10,No Data,No Data,No Data,No Data,2016-17,s,No Data
No Data,88,No Data,No Data,No Data,No Data,2016-17,s,No Data
15,13,No Data,No Data,No Data,No Data,2016-17,76.9%,No Data
57,46,No Data,No Data,No Data,No Data,2016-17,34.8%,No Data
No Data,No Data,s,s,s,s,2016-17,No Data,s
s,10,90.5%,s,s,s,2016-17,80.0%,s
82,91,No Data,No Data,No Data,No Data,2016-17,25.3%,No Data
s,s,No Data,No Data,No Data,No Data,2016-17,s,No Data
7,s,76.2%,s,s,s,2016-17,s,s
40,13,No Data,No Data,No Data,No Data,2016-17,46.2%,No Data
No Data,s,s,s,s,s,2016-17,s,s
s,11,No Data,No Data,No Data,No Data,2016-17,s,No Data
21,10,No Data,No Data,No Data,No Data,2016-17,s,No Data
103,69,No Data,No Data,No Data,No Data,2016-17,s,No Data
22,26,No Data,No Data,No Data,No Data,2016-17,50.0%,No Data
s,s,No Data,No Data,No Data,No Data,2016-17,s,No Data
9,No Data,No Data,No Data,No Data,No Data,2016-17,No Data,No Data
s,s,No Data,No Data,No Data,No Data,2016-17,s,No Data
53,53,No Data,No Data,No Data,No Data,2016-17,49.1%,No Data
12,s,No Data,No Data,No Data,No Data,2016-17,s,No Data
346,346,No Data,No Data,No Data,No Data,2016-17,15.6%,No Data
s,12,No Data,No Data,No Data,No Data,2016-17,s,No Data
35,54,No Data,No Data,No Data,No Data,2016-17,s,No Data
54,77,No Data,No Data,No Data,No Data,2016-17,s,No Data
18,24,No Data,No Data,No Data,No Data,2016-17,58.3%,No Data
s,18,No Data,No Data,No Data,No Data,2016-17,50.0%,No Data
26,45,No Data,No Data,No Data,No Data,2016-17,55.6%,No Data
No Data,s,No Data,No Data,No Data,No Data,2016-17,s,No Data
55,58,No Data,No Data,No Data,No Data,2016-17,43.1%,No Data
64,No Data,No Data,No Data,No Data,No Data,2016-17,No Data,No Data
No Data,s,No Data,No Data,No Data,No Data,2016-17,s,No Data
20,No Data,No Data,No Data,No Data,No Data,2016-17,No Data,No Data
48,No Data,No Data,No Data,No Data,No Data,2016-17,No Data,No Data
16,No Data,No Data,No Data,No Data,No Data,2016-17,No Data,No Data
76,94,No Data,No Data,No Data,No Data,2016-17,s,No Data
