ell_french_2,female_2,other_1,grade_9,ell_urdu_2,ela_l3_l4_1,category
No Data,s,s,s,No Data,No Data,Reside in temporary housing
No Data,s,s,s,No Data,s,Enrolled over the Counter
No Data,65.9%,9,123,No Data,62,All Students
No Data,52.9%,s,32,No Data,s,Students with Disabilities
No Data,s,s,6,No Data,s,Enrolled over the Counter
No Data,s,s,s,No Data,s,Enrolled over the Counter
No Data,s,s,s,No Data,No Data,Enrolled over the Counter
No Data,74.8%,13,94,No Data,75,Receive free or reduced price lunch
No Data,22.9%,18,118,No Data,43,All Students
No Data,55.6%,s,s,No Data,s,Enrolled over the Counter
No Data,37.4%,s,34,No Data,s,Students with Disabilities
No Data,47.9%,8,95,No Data,s,All Students
No Data,29.3%,s,10,No Data,s,Students with Disabilities
s,s,s,15,s,No Data,English Language Learners
No Data,46.2%,s,11,No Data,No Data,Enrolled over the Counter
No Data,38.0%,s,20,No Data,s,Reside in temporary housing
No Data,50.0%,s,No Data,No Data,No Data,Reside in temporary housing
No Data,39.3%,8,57,No Data,s,Receive free or reduced price lunch
s,40.0%,s,s,s,s,English Language Learners
No Data,47.1%,s,46,No Data,s,Students with Disabilities
No Data,37.8%,s,33,No Data,s,Receive free or reduced price lunch
3.8%,39.9%,s,105,s,s,English Language Learners
No Data,58.1%,s,s,No Data,No Data,Students with Disabilities
No Data,18.2%,s,170,No Data,s,All Students
No Data,47.6%,s,32,No Data,s,Students with Disabilities
No Data,49.5%,19,203,No Data,40,All Students
s,58.3%,s,16,s,s,English Language Learners
No Data,s,s,7,No Data,s,Students with Disabilities
No Data,63.7%,60,99,No Data,51,All Students
No Data,29.7%,16,125,No Data,36,All Students
s,57.1%,s,13,s,s,English Language Learners
No Data,45.8%,s,40,No Data,s,Students with Disabilities
No Data,51.2%,s,16,No Data,s,Reside in temporary housing
No Data,56.3%,s,91,No Data,30,All Students
No Data,42.1%,s,7,No Data,s,Enrolled over the Counter
No Data,62.0%,s,123,No Data,s,Receive free or reduced price lunch
No Data,50.0%,s,9,No Data,No Data,Enrolled over the Counter
No Data,41.1%,s,29,No Data,s,Students with Disabilities
s,37.9%,s,26,s,s,English Language Learners
No Data,40.6%,s,14,No Data,s,Students with Disabilities
No Data,s,s,s,No Data,s,Enrolled over the Counter
No Data,30.9%,s,44,No Data,s,Students with Disabilities
No Data,61.8%,s,51,No Data,s,All Students
No Data,54.0%,s,93,No Data,s,Receive free or reduced price lunch
No Data,59.8%,s,89,No Data,45,Receive free or reduced price lunch
No Data,52.3%,6,101,No Data,70,All Students
No Data,48.8%,s,15,No Data,s,Reside in temporary housing
No Data,71.6%,11,119,No Data,s,All Students
No Data,56.3%,s,s,No Data,s,Reside in temporary housing
s,48.8%,s,29,s,s,English Language Learners
No Data,62.5%,s,s,No Data,s,Reside in temporary housing
No Data,s,s,s,No Data,s,Enrolled over the Counter
No Data,s,s,s,No Data,s,Reside in temporary housing
No Data,49.0%,s,68,No Data,s,All Students
No Data,56.8%,s,137,No Data,s,All Students
No Data,27.3%,s,39,No Data,s,Students with Disabilities
No Data,15.3%,s,29,No Data,s,Students with Disabilities
No Data,58.4%,s,16,No Data,No Data,Enrolled over the Counter
No Data,42.8%,s,102,No Data,s,All Students
s,51.9%,s,95,s,s,English Language Learners
No Data,58.8%,s,20,No Data,s,Enrolled over the Counter
No Data,76.9%,s,9,No Data,s,Reside in temporary housing
s,33.3%,s,15,s,s,English Language Learners
No Data,57.0%,7,117,No Data,61,Receive free or reduced price lunch
No Data,57.8%,s,185,No Data,44,All Students
No Data,55.6%,s,s,No Data,s,Reside in temporary housing
No Data,73.7%,12,110,No Data,s,Receive free or reduced price lunch
No Data,42.7%,s,38,No Data,No Data,Reside in temporary housing
No Data,37.0%,s,6,No Data,No Data,Students with Disabilities
s,s,s,s,s,s,English Language Learners
No Data,63.2%,s,16,No Data,s,Reside in temporary housing
No Data,40.2%,s,36,No Data,s,Students with Disabilities
No Data,s,s,s,No Data,No Data,Enrolled over the Counter
No Data,38.7%,s,29,No Data,s,Students with Disabilities
No Data,66.8%,10,105,No Data,71,All Students
s,20.0%,s,27,s,s,English Language Learners
s,s,s,s,s,s,English Language Learners
No Data,61.2%,s,21,No Data,No Data,Receive free or reduced price lunch
No Data,37.8%,s,17,No Data,s,Students with Disabilities
No Data,53.4%,s,21,No Data,s,Students with Disabilities
s,s,s,s,s,s,English Language Learners
s,55.8%,s,s,s,s,English Language Learners
s,s,s,6,s,s,English Language Learners
No Data,45.9%,s,8,No Data,No Data,Receive free or reduced price lunch
No Data,53.5%,s,93,No Data,s,Receive free or reduced price lunch
s,s,s,s,s,s,English Language Learners
No Data,51.9%,s,29,No Data,No Data,All Students
No Data,71.0%,21,127,No Data,41,Receive free or reduced price lunch
s,s,s,s,s,No Data,English Language Learners
s,54.6%,s,91,s,s,English Language Learners
No Data,42.8%,s,95,No Data,s,Receive free or reduced price lunch
No Data,33.6%,7,63,No Data,s,Receive free or reduced price lunch
No Data,68.8%,s,11,No Data,s,Reside in temporary housing
No Data,57.5%,s,No Data,No Data,No Data,Reside in temporary housing
No Data,46.2%,s,117,No Data,s,Receive free or reduced price lunch
No Data,s,s,8,No Data,s,Enrolled over the Counter
No Data,63.7%,6,76,No Data,s,All Students
No Data,21.7%,s,22,No Data,s,Students with Disabilities
No Data,s,s,7,No Data,s,Reside in temporary housing
No Data,48.3%,8,145,No Data,s,Receive free or reduced price lunch
No Data,53.9%,40,129,No Data,94,All Students
s,41.8%,s,23,s,s,English Language Learners
No Data,27.8%,s,23,No Data,s,Students with Disabilities
No Data,51.3%,s,37,No Data,s,All Students
No Data,61.9%,s,31,No Data,s,Reside in temporary housing
