ell_bengali_1,ell_spanish_1,ell_arabic_2,math_level_2_2,ela_level_1_1,grade_11,male_1,math_level_3_1,ela_level_4_2,math_level_1_2,math_level_4_1,black_1
No Data,No Data,No Data,No Data,No Data,s,s,No Data,No Data,No Data,No Data,s
No Data,No Data,No Data,s,s,No Data,s,s,s,s,s,s
No Data,No Data,No Data,26.0%,10,130,167,19,18.2%,24.7%,17,122
No Data,No Data,No Data,33.3%,10,10,40,s,s,66.7%,s,31
No Data,No Data,No Data,s,s,s,s,s,s,s,s,s
No Data,No Data,No Data,s,s,s,s,s,s,s,s,s
No Data,No Data,No Data,No Data,No Data,No Data,s,No Data,No Data,No Data,No Data,s
No Data,No Data,No Data,s,s,69,80,18,44.7%,s,22,81
No Data,No Data,No Data,53.4%,12,109,361,16,6.0%,20.5%,7,139
No Data,No Data,No Data,s,s,s,8,s,s,s,s,s
No Data,No Data,No Data,s,12,29,72,s,s,72.2%,s,27
No Data,No Data,No Data,35.0%,24,103,203,s,s,50.0%,s,81
No Data,No Data,No Data,s,s,9,29,s,s,s,s,20
s,12,s,No Data,No Data,No Data,s,No Data,No Data,No Data,No Data,s
No Data,No Data,No Data,No Data,No Data,s,7,No Data,No Data,No Data,No Data,s
No Data,No Data,No Data,50.0%,6,17,44,s,s,43.8%,s,34
No Data,No Data,No Data,No Data,No Data,25,31,No Data,No Data,No Data,No Data,20
No Data,No Data,No Data,16.3%,16,84,196,s,s,74.4%,s,86
s,14,s,s,s,s,12,s,s,s,s,s
No Data,No Data,No Data,s,17,18,63,s,s,88.0%,s,31
No Data,No Data,No Data,36.4%,s,30,79,s,s,45.5%,s,27
s,144,5.5%,17.5%,47,s,110,s,s,82.5%,s,23
No Data,No Data,No Data,No Data,No Data,12,13,No Data,No Data,No Data,No Data,8
No Data,No Data,No Data,42.0%,37,121,458,s,s,49.0%,s,168
No Data,No Data,No Data,s,13,17,44,s,s,82.6%,s,22
No Data,No Data,No Data,34.0%,34,84,286,s,3.8%,46.7%,s,167
s,16,s,s,s,s,10,s,s,87.5%,s,s
No Data,No Data,No Data,s,s,s,s,s,s,s,s,s
No Data,No Data,No Data,47.7%,6,131,157,16,20.3%,15.4%,8,49
No Data,No Data,No Data,39.5%,11,83,203,s,8.5%,30.9%,s,76
s,16,s,s,6,No Data,9,s,s,77.8%,s,s
No Data,No Data,No Data,s,12,16,52,s,s,100.0%,s,33
No Data,No Data,No Data,s,s,s,20,s,s,s,s,16
No Data,No Data,No Data,29.0%,13,82,154,s,12.8%,51.6%,s,74
No Data,No Data,No Data,s,s,s,11,s,s,s,s,6
No Data,No Data,No Data,40.4%,s,75,142,s,s,44.7%,s,123
No Data,No Data,No Data,No Data,No Data,27,40,No Data,No Data,No Data,No Data,33
No Data,No Data,No Data,s,12,15,43,s,s,89.5%,s,20
s,79,s,25.0%,14,21,59,s,s,70.8%,s,s
No Data,No Data,No Data,s,6,s,19,s,s,85.7%,s,7
No Data,No Data,No Data,s,s,s,s,s,s,s,s,s
No Data,No Data,No Data,20.6%,19,18,76,s,s,79.4%,s,34
No Data,No Data,No Data,38.1%,s,47,78,s,s,61.9%,s,72
No Data,No Data,No Data,45.6%,s,61,145,s,s,47.1%,s,84
No Data,No Data,No Data,s,9,86,135,25,24.7%,s,31,11
No Data,No Data,No Data,s,6,95,186,s,39.1%,40.0%,s,77
No Data,No Data,No Data,60.0%,s,7,21,s,s,s,s,16
No Data,No Data,No Data,34.8%,30,108,129,s,s,54.3%,s,176
No Data,No Data,No Data,s,s,9,14,s,s,s,s,14
s,41,s,s,17,s,22,s,s,94.7%,s,s
s,10,s,No Data,No Data,s,s,No Data,No Data,No Data,No Data,s
No Data,No Data,No Data,34.3%,24,49,153,s,s,58.6%,s,98
No Data,No Data,No Data,35.5%,98,223,730,47,6.5%,47.8%,9,424
No Data,No Data,No Data,21.6%,18,32,104,s,s,73.0%,s,43
No Data,No Data,No Data,s,s,6,15,s,s,s,s,10
No Data,No Data,No Data,40.9%,s,56,150,s,s,45.5%,s,74
No Data,No Data,No Data,31.8%,30,118,318,s,s,57.6%,s,147
No Data,No Data,No Data,s,14,39,89,s,s,81.5%,s,63
No Data,No Data,No Data,s,s,s,13,s,s,s,s,10
No Data,No Data,No Data,s,s,12,62,s,s,s,s,25
No Data,No Data,No Data,No Data,No Data,22,16,No Data,No Data,No Data,No Data,19
No Data,No Data,No Data,35.1%,28,107,267,s,s,59.5%,s,51
s,43,s,No Data,No Data,s,21,No Data,No Data,No Data,No Data,s
No Data,No Data,No Data,s,14,s,30,s,s,89.5%,s,50
No Data,No Data,No Data,No Data,No Data,146,311,No Data,No Data,No Data,No Data,60
No Data,No Data,No Data,No Data,No Data,s,s,No Data,No Data,No Data,No Data,s
No Data,No Data,No Data,21.2%,46,87,220,s,s,67.1%,s,103
No Data,No Data,No Data,44.7%,31,85,221,s,s,46.8%,s,111
No Data,No Data,No Data,s,8,15,34,s,s,72.2%,s,30
No Data,No Data,No Data,s,6,7,33,s,s,77.8%,s,17
s,11,s,s,s,s,s,s,s,87.5%,s,s
No Data,No Data,No Data,42.1%,s,35,84,s,s,36.8%,s,48
No Data,No Data,No Data,43.8%,s,79,262,s,s,43.8%,s,76
No Data,No Data,No Data,s,s,7,18,s,s,s,s,10
No Data,No Data,No Data,39.4%,40,119,331,s,5.3%,50.5%,s,190
No Data,No Data,No Data,s,s,s,s,s,s,s,s,s
No Data,No Data,No Data,No Data,No Data,s,s,No Data,No Data,No Data,No Data,s
No Data,No Data,No Data,37.5%,s,9,31,s,s,56.3%,s,17
No Data,No Data,No Data,s,No Data,89,269,s,No Data,s,s,103
s,s,s,s,9,10,19,7,s,s,13,s
No Data,No Data,No Data,No Data,No Data,10,17,No Data,No Data,No Data,No Data,8
s,17,s,No Data,No Data,s,12,No Data,No Data,No Data,No Data,s
No Data,No Data,No Data,s,16,18,59,s,s,95.0%,s,30
No Data,No Data,No Data,s,12,28,91,s,s,69.2%,s,23
No Data,No Data,No Data,50.0%,s,s,25,s,s,43.8%,s,25
No Data,No Data,No Data,s,s,s,s,s,s,s,s,s
No Data,No Data,No Data,s,s,11,39,s,s,s,s,14
No Data,No Data,No Data,s,s,s,s,s,s,s,s,s
No Data,No Data,No Data,s,8,17,46,s,s,100.0%,s,16
No Data,No Data,No Data,No Data,s,s,s,No Data,s,No Data,No Data,s
No Data,No Data,No Data,s,s,11,39,s,s,57.1%,s,15
No Data,No Data,No Data,40.9%,11,23,79,s,s,50.0%,s,33
No Data,No Data,No Data,43.7%,55,128,246,8,s,44.5%,6,s
No Data,No Data,No Data,26.0%,s,114,202,14,28.2%,16.0%,15,83
No Data,No Data,No Data,No Data,No Data,141,120,No Data,No Data,No Data,No Data,128
No Data,No Data,No Data,No Data,No Data,s,s,No Data,No Data,No Data,No Data,s
No Data,No Data,No Data,47.4%,6,22,44,s,s,47.4%,s,16
No Data,No Data,No Data,36.6%,s,34,45,s,s,56.1%,s,48
No Data,No Data,No Data,37.7%,s,66,153,s,s,52.8%,s,155
s,46,s,s,8,11,32,s,s,61.5%,s,6
No Data,No Data,No Data,s,s,s,14,s,s,s,s,15
