math_l3_l4_1,dbn,school_name,math_level_1_1,ell_other_1,ela_level_3_1,math_level_4_2,grade_10,ell_bengali_2
No Data,02M565,Urban Academy Laboratory High School,No Data,No Data,No Data,No Data,s,No Data
s,04M495,Park East High School,s,No Data,s,s,s,No Data
36,04M555,Central Park East High School,18,No Data,44,23.3%,124,No Data
s,02M296,High School of Hospitality Management,14,No Data,s,s,33,No Data
s,02M300,"Urban Assembly School of Design and Construction,",s,No Data,s,s,s,No Data
s,01M509,Marta Valle High School,s,No Data,s,s,s,No Data
No Data,04M610,Young Women's Leadership School,No Data,No Data,No Data,No Data,s,No Data
40,03M479,Beacon High School,s,No Data,37,47.8%,69,No Data
23,02M507,Urban Assembly Gateway School for Technology,18,No Data,37,8.0%,126,No Data
s,02M414,N.Y.C. Museum School,s,No Data,s,s,10,No Data
s,02M529,Jacqueline Kennedy Onassis High School,13,No Data,s,s,26,No Data
s,09X252,Mott Hall Bronx High School,40,No Data,s,s,92,No Data
s,05M367,Academy for Social Action,s,No Data,s,s,13,No Data
No Data,02M570,Satellite Academy High School,No Data,s,No Data,No Data,No Data,s
No Data,02M545,High School for Dual Language and Asian Studies,No Data,No Data,No Data,No Data,s,No Data
s,03M494,High School of Arts and Technology,7,No Data,s,s,18,No Data
No Data,02M575,Manhattan Comprehensive Night and Day High School,No Data,No Data,No Data,No Data,22,No Data
s,08X305,Pablo Neruda Academy,32,No Data,s,s,83,No Data
s,02M313,"James Baldwin School, The: A School for Expedition",s,s,s,s,s,s
s,08X293,Renaissance High School for Musical Theater & Tech,22,No Data,s,s,42,No Data
s,01M292,Orchard Collegiate Academy,10,No Data,8,s,33,No Data
s,06M540,A. Philip Randolph Campus High School,52,20,s,s,59,s
No Data,02M586,Harvey Milk High School,No Data,No Data,No Data,No Data,s,No Data
s,07X548,Careers in Sports High School,49,No Data,s,s,153,No Data
s,04M372,Esperanza Preparatory Academy,19,No Data,s,s,21,No Data
s,02M655,Life Sciences Secondary School,70,No Data,34,s,172,No Data
s,04M680,"Heritage School, The",7,s,s,s,s,s
s,05M692,"High School for Mathematics, Science and Engineeri",s,No Data,s,s,s,No Data
24,02M439,Manhattan Village Academy,10,No Data,35,12.3%,112,No Data
s,02M282,Urban Assembly Maker Academy,25,No Data,28,s,82,No Data
s,02M580,Richard R. Green High School of Teaching,7,s,s,s,s,s
s,07X670,Health Opportunities High School,15,No Data,s,s,24,No Data
s,08X293,Renaissance High School for Musical Theater & Tech,s,No Data,s,s,13,No Data
