job,bin,latitude,longitude,permittee_s_license,owner_s_house_zip_code,owner_s_house_street_name,bbl
121574000,1016896,40.744478,-73.987434,2920,10019.0,COLUMBUS CIRCLE,1008570076.0
121596273,1001116,40.708497,-74.007477,20472,10038.0,WILLIAM STREET,1000680036.0
302562812,3398290,40.64759,-73.973362,1425,11101.0,THOMSON AVE,3053210064.0
121534786,1042822,40.770141,-73.961558,827,10021.0,EAST 72ND STREET,1014060046.0
320494470,3054814,40.693284,-73.967293,136,11205.0,MYRTLE AVENUE,3019030024.0
420611626,4211058,40.716518,-73.795958,14732,11432.0,169 STREET,4098720033.0
520126024,5051241,40.583927,-74.107617,1415,10306.0,RICHMOND ROAD,5035637501.0
140072668,1016943,40.745512,-73.985449,601339,10016.0,EAST 30TH STREET,1008590075.0
420789374,4100283,40.774518,-73.847937,604289,11354.0,26TH AVENUE,4042570139.0
140071945,1058588,40.808382,-73.950999,601053,11419.0,114 STREET,1019280057.0
420589820,4081791,40.707564,-73.913287,606939,11385.0,ONDERDONK AVENUE,4034270031.0
102318822,1013096,40.742867,-74.002136,26704,,,1007420007.0
121599145,1001162,40.70727,-74.004314,5367,10022.0,EAST 59TH STREET,1000747501.0
520125310,5022801,40.598804,-74.107576,13427,10306.0,WEED AVENUE,5008780350.0
420797935,4563134,40.731765,-73.741427,1940,11427.0,HILLSIDE AVENUE,4079430200.0
520122572,5138777,40.630285,-74.142274,20902,10310.0,FOREST AVENUE,5011310033.0
420804758,4140252,40.742916,-73.824025,601135,11355.0,60TH AVENUE,4064090007.0
121598529,1015191,40.749794,-73.991486,601917,10001.0,PENNSYLVANIA PLAZA,1008087501.0
320373396,3145150,40.636293,-74.025826,1790,8854.0,ELIZABETH AVENUE,3058620049.0
320589485,3331518,40.576971,-73.981745,19103,10001.0,WEST 33RD STREET,3070230036.0
420831407,4077294,40.714432,-73.850029,2758,11375.0,JUNO STREET,4032260047.0
302176552,3414262,40.688067,-73.927931,381,11377.0,48 STREET,3016420036.0
