date,department_of_consumer_affairs,department_of_social_services,independent_budget_office,district_attorney_richmond,department_of_citywide,office_of_administrative,department_of_education,department_of_sanitation,office_of_administrative_1,department_of_environmental,fire_department,district_attorney_new_york
2020-08-18T00:00:00.000,0,0,$0,0,0,0,43433,0,0,13448,0,0
2020-06-01T00:00:00.000,0,0,$0,0,0,0,27080,0,0,810,0,0
2020-12-04T00:00:00.000,0,0,$0,0,0,0,129011,27102,0,0,0,0
2020-07-09T00:00:00.000,0,0,$0,0,0,0,0,0,0,0,0,0
2020-04-24T00:00:00.000,0,0,$0,0,6242900,0,30403,0,1319,20306,0,0
2020-12-09T00:00:00.000,0,0,$0,0,0,0,425794,0,0,5216,0,0
2020-12-29T00:00:00.000,0,0,$0,0,0,0,112650,0,0,0,0,0
2020-12-28T00:00:00.000,0,0,$0,0,0,0,94631,12455904,0,0,0,0
2020-03-31T00:00:00.000,0,0,$0,0,12056750,0,198475,0,0,19900,0,0
2020-04-29T00:00:00.000,0,0,$0,1250,802660,0,49695,0,0,21360,0,0
2021-03-12T00:00:00.000,0,0,$0,0,14182433,0,4586,0,0,7844,0,0
2020-05-04T00:00:00.000,8400,0,$0,0,47090,0,12304,0,0,0,0,0
2021-02-08T00:00:00.000,0,0,$0,0,0,0,64245,0,0,0,0,0
2021-01-22T00:00:00.000,0,0,$0,0,0,0,160440,0,0,0,0,0
2021-05-27T00:00:00.000,0,17788,$0,0,0,0,153538,0,0,0,0,0
2020-06-19T00:00:00.000,12995,0,$0,0,0,0,88442,0,0,0,0,0
2021-06-14T00:00:00.000,0,0,$0,0,0,0,218376,82635586,0,0,0,0
2020-06-16T00:00:00.000,0,0,$0,0,0,0,337278,0,0,0,0,63160
2020-11-25T00:00:00.000,0,0,$0,0,18552099,0,101282,0,0,1186,0,0
2020-10-30T00:00:00.000,0,0,$0,0,0,0,100772,19864,0,0,0,0
2021-04-15T00:00:00.000,0,0,$0,0,0,0,2709,0,0,0,0,0
2020-07-07T00:00:00.000,0,0,$0,0,0,0,15007,0,0,0,0,0
2021-02-05T00:00:00.000,0,0,$0,0,0,0,85362,4982133,0,1284079,0,0
2021-02-03T00:00:00.000,0,33945102,$0,0,76470,0,109519,0,0,0,0,0
2021-04-19T00:00:00.000,0,0,$0,0,0,0,3944,2000000,0,0,0,0
2021-01-05T00:00:00.000,0,0,$0,0,0,0,94245,0,0,0,20000,0
2020-08-28T00:00:00.000,0,0,$0,0,0,0,0,0,0,0,0,0
2020-08-07T00:00:00.000,5643,0,$0,0,3492,0,400,0,0,0,0,0
2020-11-24T00:00:00.000,0,0,$0,0,0,0,144185,365392,0,0,0,0
2020-10-29T00:00:00.000,0,0,$0,0,0,0,97007,0,0,0,0,0
2020-04-25T00:00:00.000,0,0,$0,0,500000,0,0,0,0,0,0,0
2020-06-09T00:00:00.000,6916,0,$0,0,0,0,93249,0,0,0,0,5800
2021-06-25T00:00:00.000,0,0,$0,0,0,0,0,0,0,0,0,0
2020-06-04T00:00:00.000,0,0,$0,0,0,0,429040,0,0,0,0,1770
2021-05-12T00:00:00.000,0,0,$0,0,2580000,0,4019687,0,0,0,0,0
2021-03-16T00:00:00.000,0,0,$0,0,1189500,0,153427,0,0,0,0,0
2021-06-07T00:00:00.000,0,0,$0,0,0,0,208600,0,0,0,0,0
2020-08-17T00:00:00.000,36231,0,$0,0,0,0,0,0,0,34691,0,0
2020-05-19T00:00:00.000,0,0,$0,0,0,0,16026,0,0,0,0,0
2020-05-26T00:00:00.000,0,0,$0,0,0,0,8737,0,0,21627,0,4407
2020-03-24T00:00:00.000,0,0,$0,0,0,0,62500,0,0,0,1004076,0
2020-06-03T00:00:00.000,0,0,$0,0,0,0,26804,0,36312,0,0,0
2021-03-24T00:00:00.000,0,77190,$0,0,684000,0,169177,23495893,0,0,49554,0
2021-02-25T00:00:00.000,0,0,$0,0,0,0,297,0,0,0,0,0
2020-06-25T00:00:00.000,0,0,$0,0,0,0,4318,0,0,2130,0,0
2020-07-02T00:00:00.000,0,0,$0,0,0,0,79245,0,0,0,0,0
2021-03-19T00:00:00.000,0,0,$0,0,0,0,27113,0,0,0,0,0
2021-01-20T00:00:00.000,0,0,$0,0,0,0,109188,0,0,0,0,0
