school_dbn,number_of_hispanic_students,percent_of_students_entering_1,number_of_students_entering_4,number_of_students_entering_2,number_of_black_students,percent_of_students_entering_2,number_of_students_entering_6,percent_of_students_entering_3,percent_of_students_entering_4,number_of_asian_students,number_of_students_entering,number_of_students_entering_7,number_of_students_with,number_of_white_students,number_of_students_entering_5,percent_of_female_psal
01M696,20,0.0,30,0,17,0.0,40,0.0,17.9,43,0,47,9,85,51,59.5
17K543,s,0.0,17,0,92,0.0,43,0.0,15.5,s,0,13,8,0,37,55.5
22K425,95,0.0,172,0,151,0.0,199,0.0,23.6,114,0,166,67,357,193,44.4
20K609,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0
08X293,19,0.0,s,0,8,0.0,10,0.0,s,0,0,s,6,0,8,53.6
75K369,0,0.0,s,0,s,0.0,0,0.0,s,0,0,0,s,0,0,0.0
02M546,8,0.0,7,0,12,0.0,s,0.0,26.9,s,0,s,s,s,9,s
22K405,78,0.0,s,0,200,0.0,193,s,s,159,0,152,41,183,151,41.1
22K555,s,0.0,14,0,36,0.0,8,0.0,33.3,s,0,8,s,0,12,61.9
07X557,19,0.0,18,s,s,s,s,31.6,47.4,0,0,0,15,s,s,42.1
08X452,30,0.0,17,0,30,0.0,14,0.0,26.6,s,0,8,14,s,25,32.8
32K564,12,s,11,s,14,s,s,34.6,42.3,0,0,0,11,0,0,42.3
26Q566,57,0.0,58,0,141,0.0,75,0.0,19.7,60,0,80,46,23,81,55.1
18K637,s,0.0,15,0,40,0.0,12,0.0,31.3,s,0,7,8,s,14,s
25Q281,s,0.0,6,0,8,0.0,11,0.0,16.7,21,0,8,s,s,11,52.8
11X544,s,0.0,8,0,17,0.0,8,0.0,32.0,0,0,s,s,s,s,32.0
02M407,25,0.0,34,0,31,0.0,28,0.0,27.2,7,0,29,15,60,34,56.0
06M468,52,0.0,17,0,9,0.0,24,0.0,27.0,s,0,8,8,s,14,36.5
07X427,41,0.0,11,0,s,0.0,16,0.0,20.8,0,0,17,s,s,9,62.3
75Q811,0,0.0,0,0,0,0.0,0,0.0,0.0,s,0,0,s,0,s,s
10X264,s,0.0,s,0,s,0.0,s,0.0,s,0,0,s,0,0,s,s
15K464,22,0.0,s,0,28,0.0,12,s,s,s,0,18,7,s,21,38.1
75Q255,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0
02M439,51,0.0,14,0,11,0.0,28,0.0,19.4,s,0,11,8,s,19,36.1
21K540,74,0.0,62,0,72,0.0,63,0.0,23.8,76,0,46,16,34,89,51.9
17K408,s,0.0,s,0,s,0.0,13,s,s,0,0,s,6,0,7,57.1
28Q338,7,0.0,12,s,15,s,0,40.7,44.4,s,0,0,s,s,s,44.4
75K721,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0
23K647,s,0.0,s,0,s,0.0,0,0.0,s,0,0,0,0,0,s,s
12X550,38,0.0,s,0,8,0.0,17,0.0,s,0,0,s,s,0,16,47.8
12X242,58,0.0,18,0,6,0.0,16,0.0,26.5,s,0,19,10,s,15,72.1
14K558,25,0.0,10,0,17,0.0,14,0.0,20.8,s,0,10,10,s,14,27.1
30Q286,45,0.0,22,0,9,0.0,30,0.0,24.7,22,0,18,8,13,19,100.0
27Q650,97,0.0,31,0,23,0.0,59,0.0,15.3,35,0,70,14,23,43,49.8
30Q258,27,0.0,14,0,s,0.0,16,0.0,27.5,8,0,15,s,s,6,s
11X265,s,0.0,16,0,22,0.0,15,0.0,36.4,0,0,6,11,s,7,27.3
75Q993,0,0.0,0,0,s,0.0,s,0.0,0.0,0,0,0,s,0,0,0.0
23K643,s,s,10,s,s,s,0,29.6,37.0,0,0,0,6,0,s,40.7
02M308,11,0.0,8,0,s,0.0,s,s,44.4,s,0,s,s,0,s,50.0
02M135,29,0.0,11,0,17,0.0,s,s,22.0,s,0,16,10,s,13,60.0
10X696,s,0.0,40,0,s,0.0,47,0.0,23.5,26,0,33,s,108,50,47.6
31R600,28,0.0,22,0,34,0.0,19,0.0,24.2,s,0,33,23,s,17,s
09X297,41,0.0,16,0,s,0.0,24,0.0,27.6,0,0,s,13,s,s,60.3
08X367,58,0.0,26,0,15,0.0,21,s,34.2,s,0,s,15,s,19,31.6
05M670,16,0.0,11,0,35,0.0,11,0.0,21.6,0,0,15,9,0,14,27.5
25Q425,139,0.0,83,0,102,0.0,138,s,21.4,118,0,s,33,19,100,47.5
29Q283,s,0.0,14,0,s,0.0,17,0.0,21.2,0,0,12,s,0,23,51.5
29Q259,s,0.0,s,0,57,0.0,23,0.0,s,s,0,s,8,s,18,64.5
02M520,13,0.0,6,0,22,0.0,8,0.0,15.0,s,0,12,s,s,14,72.5
28Q167,53,0.0,25,0,27,0.0,42,0.0,20.5,13,0,30,20,23,25,50.8
08X269,54,0.0,26,0,26,0.0,24,0.0,31.3,s,0,17,14,s,16,50.6
26Q315,18,0.0,15,0,25,0.0,13,0.0,27.3,s,0,17,s,s,10,34.5
12X446,13,0.0,12,s,7,s,0,s,60.0,0,0,0,s,0,s,s
10X524,32,0.0,9,0,0,0.0,10,0.0,28.1,0,0,s,0,0,s,50.0
09X241,14,0.0,s,0,15,0.0,15,0.0,s,0,0,8,10,0,s,51.7
02M437,15,0.0,14,0,9,0.0,s,0.0,50.0,s,0,8,6,s,s,28.6
30Q555,80,0.0,48,0,s,0.0,23,0.0,34.5,39,0,11,0,s,57,32.4
14K610,42,0.0,26,0,59,0.0,32,0.0,24.3,s,0,33,34,s,16,s
08X432,31,0.0,15,0,s,0.0,s,0.0,40.5,s,0,s,s,0,11,35.1
04M310,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0
20K505,128,0.0,127,0,88,0.0,132,s,27.0,139,0,s,37,105,127,39.5
16K765,s,0.0,18,0,s,0.0,16,0.0,32.1,0,0,13,16,0,9,39.3
02M294,10,0.0,6,0,s,0.0,6,0.0,21.4,s,0,10,7,8,6,53.6
12X521,57,0.0,7,0,16,0.0,27,0.0,9.3,s,0,27,8,s,14,42.7
19K659,29,0.0,7,0,s,0.0,27,0.0,14.9,s,0,7,s,0,6,44.7
30Q580,s,0.0,23,0,s,0.0,31,0.0,23.2,31,0,21,s,34,24,61.6
21K344,18,0.0,18,0,12,0.0,20,0.0,22.2,8,0,8,11,37,35,34.6
09X568,13,0.0,7,0,s,0.0,s,0.0,28.0,s,0,s,s,0,8,100.0
02M298,44,0.0,29,0,27,0.0,17,0.0,32.6,s,0,13,9,s,30,60.7
03M291,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0
08X282,15,0.0,s,0,s,0.0,s,0.0,s,0,0,10,s,s,13,100.0
14K488,28,0.0,11,0,s,0.0,18,0.0,19.3,0,0,18,9,s,10,59.6
32K403,s,0.0,s,0,s,0.0,14,0.0,s,0,0,s,7,0,12,48.6
17K537,s,0.0,34,0,128,0.0,42,0.0,23.1,s,0,40,40,0,31,6.1
25Q460,98,0.0,36,0,54,0.0,54,0.0,18.8,s,0,46,11,s,56,35.9
27Q308,53,0.0,14,0,10,0.0,45,0.0,14.1,7,0,17,14,27,23,45.5
31R064,21,0.0,22,0,s,0.0,35,0.0,19.5,s,0,28,21,71,28,46.9
75M035,12,s,6,s,s,s,s,s,21.4,0,0,6,26,s,6,s
09X252,38,0.0,31,0,s,0.0,s,0.0,63.3,0,0,s,9,s,7,65.3
03M307,38,0.0,12,0,25,0.0,21,0.0,19.0,0,0,13,s,0,17,38.1
10X434,28,0.0,10,0,8,0.0,7,0.0,27.0,0,0,9,10,0,11,32.4
10X433,29,0.0,9,0,6,0.0,10,0.0,25.7,0,0,6,6,0,10,57.1
22K611,12,0.0,25,0,45,0.0,27,0.0,24.5,14,0,21,12,30,29,25.5
30Q502,90,0.0,45,0,30,0.0,50,0.0,24.7,42,0,53,31,16,34,25.3
