boro,discharges,register_01,year,attendance_01,district,holyday_counter
M,44.0,406,2015-2016,395,2,4
K,32.0,202,2015-2016,78,13,4
K,47.0,298,2015-2016,257,18,4
M,17.0,377,2015-2016,371,2,4
K,44.0,484,2015-2016,457,13,4
X,62.0,478,2015-2016,404,10,4
K,47.0,632,2015-2016,600,19,4
K,20.0,298,2015-2016,287,14,4
M,30.0,514,2015-2016,487,2,4
X,63.0,1003,2015-2016,960,8,4
K,30.0,246,2015-2016,194,15,4
K,19.0,995,2015-2016,982,15,4
K,21.0,628,2015-2016,603,20,4
M,19.0,477,2015-2016,465,5,4
M,54.0,636,2015-2016,594,6,4
K,68.0,442,2015-2016,395,17,4
X,26.0,281,2015-2016,264,8,4
X,29.0,338,2015-2016,293,7,4
K,20.0,137,2015-2016,127,13,4
K,37.0,397,2015-2016,352,17,4
M,17.0,267,2015-2016,241,2,4
X,97.0,1024,2015-2016,959,10,4
K,,113,2015-2016,96,14,4
X,52.0,329,2015-2016,308,12,4
M,26.0,342,2015-2016,310,2,4
X,63.0,297,2015-2016,264,9,4
K,21.0,459,2015-2016,431,13,4
X,34.0,453,2015-2016,419,10,4
M,73.0,744,2015-2016,706,6,4
X,25.0,470,2015-2016,434,9,4
Q,,0,2015-2016,0,27,4
X,110.0,1006,2015-2016,942,10,4
X,43.0,488,2015-2016,465,10,4
X,59.0,1061,2015-2016,1008,11,4
K,30.0,424,2015-2016,407,15,4
X,52.0,458,2015-2016,431,12,4
K,39.0,403,2015-2016,382,13,4
M,34.0,287,2015-2016,271,4,4
K,35.0,866,2015-2016,797,13,4
X,83.0,701,2015-2016,668,12,4
K,52.0,228,2015-2016,199,15,4
X,38.0,522,2015-2016,439,12,4
K,36.0,482,2015-2016,441,17,4
K,31.0,622,2015-2016,575,15,4
X,49.0,428,2015-2016,417,12,4
K,76.0,1271,2015-2016,1228,15,4
X,110.0,889,2015-2016,836,8,4
K,95.0,1077,2015-2016,926,19,4
X,27.0,400,2015-2016,347,9,4
X,23.0,242,2015-2016,224,12,4
M,24.0,641,2015-2016,629,2,4
K,82.0,500,2015-2016,458,19,4
K,57.0,962,2015-2016,915,19,4
X,38.0,402,2015-2016,328,11,4
X,45.0,865,2015-2016,838,11,4
M,22.0,257,2015-2016,240,1,4
M,14.0,516,2015-2016,494,2,4
K,,154,2015-2016,136,19,4
X,25.0,329,2015-2016,279,10,4
K,41.0,366,2015-2016,306,13,4
M,13.0,166,2015-2016,153,4,4
M,44.0,237,2015-2016,218,2,4
K,45.0,295,2015-2016,266,19,4
X,31.0,656,2015-2016,609,7,4
M,68.0,291,2015-2016,272,4,4
M,17.0,153,2015-2016,133,6,4
M,52.0,737,2015-2016,719,3,4
K,45.0,383,2015-2016,343,17,4
X,29.0,365,2015-2016,344,8,4
K,61.0,376,2015-2016,331,17,4
X,19.0,384,2015-2016,366,10,4
K,14.0,219,2015-2016,213,15,4
X,17.0,347,2015-2016,322,7,4
K,19.0,187,2015-2016,141,15,4
X,43.0,671,2015-2016,643,7,4
X,28.0,188,2015-2016,130,12,4
X,49.0,345,2015-2016,322,8,4
K,52.0,1413,2015-2016,1388,20,4
K,23.0,327,2015-2016,320,15,4
M,38.0,538,2015-2016,482,2,4
X,48.0,544,2015-2016,510,8,4
X,92.0,704,2015-2016,657,11,4
K,35.0,449,2015-2016,435,18,4
M,71.0,721,2015-2016,692,6,4
K,29.0,201,2015-2016,181,19,4
M,40.0,635,2015-2016,607,2,4
X,27.0,151,2015-2016,134,8,4
M,17.0,588,2015-2016,570,4,4
X,52.0,506,2015-2016,472,7,4
M,28.0,172,2015-2016,160,1,4
M,19.0,611,2015-2016,589,6,4
M,48.0,488,2015-2016,424,5,4
M,33.0,351,2015-2016,335,2,4
K,76.0,1284,2015-2016,1252,18,4
K,21.0,372,2015-2016,359,14,4
M,23.0,350,2015-2016,339,4,4
K,66.0,370,2015-2016,336,19,4
K,,93,2015-2016,84,16,4
X,31.0,188,2015-2016,157,8,4
K,,158,2015-2016,109,18,4
M,26.0,342,2015-2016,300,4,4
X,39.0,419,2015-2016,352,12,4
X,21.0,306,2015-2016,288,11,4
X,184.0,2146,2015-2016,1909,11,4
X,59.0,757,2015-2016,712,7,4
M,45.0,463,2015-2016,409,2,4
X,69.0,458,2015-2016,420,9,4
M,43.0,567,2015-2016,534,3,4
K,129.0,5568,2015-2016,5458,13,4
X,45.0,578,2015-2016,540,7,4
X,19.0,337,2015-2016,301,7,4
M,16.0,43,2015-2016,23,5,4
X,42.0,243,2015-2016,226,12,4
M,149.0,665,2015-2016,478,2,4
X,66.0,854,2015-2016,807,10,4
K,31.0,297,2015-2016,240,17,4
X,50.0,339,2015-2016,317,11,4
M,24.0,358,2015-2016,321,2,4
K,65.0,580,2015-2016,539,19,4
M,47.0,569,2015-2016,560,2,4
X,27.0,436,2015-2016,414,9,4
M,27.0,247,2015-2016,233,6,4
X,43.0,386,2015-2016,353,11,4
M,19.0,204,2015-2016,184,2,4
M,20.0,164,2015-2016,145,6,4
M,19.0,228,2015-2016,224,2,4
M,15.0,210,2015-2016,137,6,4
X,49.0,601,2015-2016,527,7,4
K,36.0,185,2015-2016,89,19,4
X,16.0,79,2015-2016,60,9,4
X,41.0,436,2015-2016,382,11,4
M,15.0,235,2015-2016,231,4,4
K,25.0,238,2015-2016,189,17,4
M,,198,2015-2016,190,6,4
K,42.0,492,2015-2016,465,19,4
K,41.0,351,2015-2016,330,17,4
M,25.0,292,2015-2016,253,2,4
K,17.0,442,2015-2016,433,19,4
X,44.0,609,2015-2016,584,9,4
M,47.0,427,2015-2016,383,2,4
K,20.0,234,2015-2016,216,14,4
M,64.0,394,2015-2016,310,2,4
K,56.0,484,2015-2016,454,18,4
K,61.0,708,2015-2016,681,18,4
X,111.0,817,2015-2016,747,9,4
X,55.0,706,2015-2016,643,11,4
M,23.0,539,2015-2016,516,6,4
M,67.0,619,2015-2016,549,6,4
K,41.0,495,2015-2016,483,14,4
M,,202,2015-2016,190,2,4
X,30.0,347,2015-2016,316,10,4
X,39.0,551,2015-2016,522,12,4
X,67.0,435,2015-2016,383,9,4
X,40.0,629,2015-2016,606,8,4
K,76.0,714,2015-2016,672,18,4
X,53.0,585,2015-2016,531,9,4
X,54.0,431,2015-2016,402,9,4
K,86.0,1407,2015-2016,1383,20,4
M,16.0,146,2015-2016,111,2,4
K,63.0,300,2015-2016,281,19,4
M,34.0,658,2015-2016,649,1,4
K,45.0,432,2015-2016,422,17,4
X,33.0,403,2015-2016,351,10,4
X,26.0,507,2015-2016,490,8,4
K,81.0,632,2015-2016,568,13,4
X,33.0,322,2015-2016,308,11,4
K,31.0,495,2015-2016,471,15,4
X,43.0,436,2015-2016,393,7,4
X,36.0,320,2015-2016,314,9,4
M,,195,2015-2016,184,4,4
