total_single_parent_grandparent_families_on_welfare,total_minors_under_18,residents_10_to_13,total_62_years_and_over_as_percent_of_population,total_single_parent_grandparent_with_minors_as_of_families,total_families
10,99,22,6.72,24.1,83
41,409,104,10.97,22.94,715
372,2031,512,23.32,24.16,3465
10860,68706,18448,25.5,20.1,142974
89,913,250,10.73,17.87,1349
