total_hoh_62_years_and_over_as_percent_of_families,total_male_headed_single_parent_grandparent_with_minors,total_female_headed_single_parent_grandparent_with_minors,total_population,average_family_size,statecity_section8_flag,total_fixed_income_families_as_percent_of_families,total_female_headed_hoh_62_years_and_over,average_minors_per_family,residents_6_to_9
20.48,0,20,268,3.2,SECTION 8 HOUSEHOLDS,0.3373,10,1.2,22
50.24,435,7016,91010,2.0,TOTAL HOUSEHOLDS,0.4811,15961,0.4,4194
42.16,116,2188,25234,2.2,TOTAL HOUSEHOLDS,0.444,3510,0.5,1349
41.99,372,7650,75783,2.1,TOTAL HOUSEHOLDS,0.4402,11162,0.5,4334
31.46,4,55,897,2.2,SECTION 8 HOUSEHOLDS,0.478,55,0.5,39
