ppt_id,community_board,bbl,geocoded_column,boro,status,cross_street_2,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_92fq_4b7q,phone_status
108937,202,2027120028.0,"{'latitude': '40.8208896', 'longitude': '-73.8940408', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Bronx,Live,TIFFANY STREET,10937,8,43,up
138237,101,1001710031.0,"{'latitude': '40.716682', 'longitude': '-74.002253', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Manhattan,Live,LEONARD STREET,12076,56,32,up
160026,316,3037430001.0,"{'latitude': '40.6689514', 'longitude': '-73.9064478', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Brooklyn,Live,CHRISTOPHER AVENUE,17614,55,17,up
119607,205,2031860059.0,"{'latitude': '40.8582102', 'longitude': '-73.9028148', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Bronx,Live,WALTON AVE,10931,6,29,up
123586,102,1004910003.0,"{'latitude': '40.72492489', 'longitude': '-74.00579536', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Manhattan,Live,BROOME STREET,12076,57,10,up
123791,103,1004390001.0,"{'latitude': '40.72943593', 'longitude': '-73.98382369', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Manhattan,Live,EAST 12 STREET,11729,70,50,up
127716,309,3012890025.0,"{'latitude': '40.66734613', 'longitude': '-73.95080928', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Brooklyn,Live,PRESIDENT STREET,13509,17,48,up
145932,305,3036690026.0,"{'latitude': '40.67647467', 'longitude': '-73.89716745', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Brooklyn,Live,ATLANTIC AVENUE,17214,45,37,up
122633,105,1010300029.0,"{'latitude': '40.76664932', 'longitude': '-73.9793497', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Manhattan,Live,WEST 58 STREET,12081,11,51,up
136045,104,1010780023.0,"{'latitude': '40.76462448', 'longitude': '-73.99196653', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Manhattan,Live,WEST 49 STREET,12081,12,10,up
GF0370,112,1022310001.0,"{'latitude': '40.868946', 'longitude': '-73.9159497'}",Manhattan,Installed,BROADWAY,13092,47,39,
127012,317,3050850068.0,"{'latitude': '40.652771', 'longitude': '-73.94987', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Brooklyn,Live,LENOX ROAD,13510,61,11,up
146097,205,2028530001.0,"{'latitude': '40.850173', 'longitude': '-73.91028173', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Bronx,Live,WALTON AVENUE,10931,6,29,up
136316,104,1007620033.0,"{'latitude': '40.75488084', 'longitude': '-73.99166162', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Manhattan,Live,WEST 39 STREET,12080,12,10,up
139460,104,1010447501.0,"{'latitude': '40.764744', 'longitude': '-73.98447', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Manhattan,Live,WEST 53 STREET,12081,12,10,up
134450,104,1007640042.0,"{'latitude': '40.7391558', 'longitude': '-73.99938138', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Manhattan,Live,WEST 14 STREET,12074,12,10,up
145943,305,3041470030.0,"{'latitude': '40.683506', 'longitude': '-73.872079', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Brooklyn,Live,ATLANTIC AVENUE,17215,45,37,up
126644,303,3016950049.0,"{'latitude': '40.679232', 'longitude': '-73.927098', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Brooklyn,Live,SUMPTER STREET,13516,69,49,up
138004,102,1005790030.0,"{'latitude': '40.725666', 'longitude': '-74.00627426', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Manhattan,Live,HUDSON STREET,12076,57,10,up
126737,305,3041120056.0,"{'latitude': '40.69102143', 'longitude': '-73.86809486', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Brooklyn,Live,87 AVENUE,17215,45,37,up
123155,105,1008720001.0,"{'latitude': '40.736141', 'longitude': '-73.989183', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Manhattan,Live,EAST 17 STREET,11724,11,50,up
150795,316,3014320028.0,"{'latitude': '40.6759851', 'longitude': '-73.916601', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Brooklyn,Live,ATLANTIC AVENUE,13516,55,17,up
120512,102,1006060001.0,"{'latitude': '40.73439251', 'longitude': '-73.99915159', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Manhattan,Live,WEST 10 STREET,12074,57,10,up
145054,313,3072730025.0,"{'latitude': '40.5786241', 'longitude': '-73.9723169', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Brooklyn,Live,WEST BRIGHTON AVENUE,18184,21,15,up
118974,202,2027630190.0,"{'latitude': '40.8164562', 'longitude': '-73.8876715', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Bronx,Live,LAFAYETTE AVENUE,12343,8,43,up
131467,201,2022710005.0,"{'latitude': '40.81216272', 'longitude': '-73.91646687', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Bronx,Live,EAST 144 STREET,10932,49,35,up
153911,207,2032790050.0,"{'latitude': '40.8669715', 'longitude': '-73.8843348', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Bronx,Live,BEDFORD PARK BOULEVARD,10936,24,22,up
123077,105,1008770089.0,"{'latitude': '40.739409', 'longitude': '-73.986712', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Manhattan,Live,LEXINGTON AVENUE,12073,11,50,up
126505,302,3020017501.0,"{'latitude': '40.683625', 'longitude': '-73.977006', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Brooklyn,Live,PACIFIC STREET,17619,68,48,up
133338,106,1008970001.0,"{'latitude': '40.734031', 'longitude': '-73.986488', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Manhattan,Live,EAST 16 STREET,11724,71,50,up
126565,302,3020930001.0,"{'latitude': '40.688851', 'longitude': '-73.980613', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Brooklyn,Live,HUDSON STREET,17619,68,48,up
