latitude,longitude,tablet_status,census_tract,kiosk_type,corner,generated_on,zip,install_date,wifi_status
40.8208896,-73.8940408,up,2008700,Link 1.0,SW,2025-12-24 22:00:00.528,10459,2021-11-21 19:00:00.000,up
40.716682,-74.002253,up,1003100,Link 1.0,SW,2025-12-24 22:00:00.528,10013,2017-10-06 20:00:00.000,up
40.6689514,-73.9064478,up,908,Link 5G,SE,2025-12-24 22:00:00.528,11212,2024-02-07 19:00:00.000,up
40.8582102,-73.9028148,up,2023900,Link 5G,SE,2025-12-24 22:00:00.528,10453,2022-07-06 20:00:00.000,up
40.72492489,-74.00579536,up,1003700,Link 1.0,SE,2025-12-24 22:00:00.528,10013,2018-07-30 20:00:00.000,up
40.72943593,-73.98382369,up,1003400,Link 1.0,NE,2025-12-24 22:00:00.528,10009,2017-04-01 20:00:00.000,up
40.66734613,-73.95080928,up,3032100,Link 1.0,NW,2025-12-24 22:00:00.528,11225,2017-03-10 19:00:00.000,up
40.67647467,-73.89716745,up,3119800,Link 1.0,MIDBLOCK,2025-12-24 22:00:00.528,11207,2017-09-16 20:00:00.000,up
40.76664932,-73.9793497,up,1013700,Link 1.0,SW,2025-12-24 22:00:00.528,10019,2016-09-17 20:00:00.000,up
40.76462448,-73.99196653,up,1012900,Link 1.0,SW,2025-12-24 22:00:00.528,10019,2017-09-22 20:00:00.000,up
40.868946,-73.9159497,,1030300,Link 1.0,SW,2024-01-24 10:00:00.747,10034,2023-12-03 19:00:00.000,
40.652771,-73.94987,up,3082000,Link 1.0,NW,2025-12-24 22:00:00.528,11226,2017-04-07 20:00:00.000,up
40.850173,-73.91028173,up,2023301,Link 1.0,SE,2025-12-24 22:00:00.528,10453,2018-06-19 20:00:00.000,up
40.75488084,-73.99166162,up,1011500,Link 1.0,NW,2025-12-24 22:00:00.528,10018,2017-11-17 19:00:00.000,up
40.764744,-73.98447,up,1013300,Link 1.0,SW,2025-12-24 22:00:00.528,10019,2016-03-09 19:00:00.000,up
40.7391558,-73.99938138,up,1008100,Link 1.0,SW,2025-12-24 22:00:00.528,10011,2018-05-11 20:00:00.000,up
40.683506,-73.872079,up,3118400,Link 1.0,SE,2025-12-24 22:00:00.528,11208,2017-09-28 20:00:00.000,up
40.679232,-73.927098,up,3038100,Link 1.0,NE,2025-12-24 22:00:00.528,11233,2016-10-26 20:00:00.000,up
40.725666,-74.00627426,up,1003700,Link 1.0,SW,2025-12-24 22:00:00.528,10013,2018-07-31 20:00:00.000,up
40.69102143,-73.86809486,up,3118202,Link 1.0,SW,2025-12-24 22:00:00.528,11208,2017-09-22 20:00:00.000,up
40.736141,-73.989183,up,1005000,Link 1.0,NE,2025-12-24 22:00:00.528,10003,2017-11-17 19:00:00.000,up
40.6759851,-73.916601,up,303,Link 1.0,NW,2025-12-24 22:00:00.528,11233,2022-04-25 20:00:00.000,up
40.73439251,-73.99915159,up,1007100,Link 1.0,MIDBLOCK,2025-12-24 22:00:00.528,10011,2018-03-09 19:00:00.000,up
40.5786241,-73.9723169,up,3035400,Link 5G,MIDBLOCK,2025-12-24 22:00:00.528,11224,2024-06-20 20:00:00.000,up
40.8164562,-73.8876715,up,2011700,Link 1.0,SE,2025-12-24 22:00:00.528,10474,2021-12-06 19:00:00.000,up
40.81216272,-73.91646687,up,2004300,Link 1.0,SE,2025-12-24 22:00:00.528,10454,2018-02-24 19:00:00.000,up
