fy_1985,fy_1980,fy_2012,fy_1993,fy_2001,fy_2018,fy_2015
4571.0,2820.0,15396.0,6236.0,9208.0,"19,285","19,128"
10.0,5.0,939.0,290.0,492.0,"1,105",667
2368.0,1823.0,6758.0,3265.0,4703.0,"6,611","7,213"
1740.0,879.0,8557.0,3458.0,6164.0,"13,411","11,295"
10538.0,6895.0,42111.0,17580.0,23211.0,"59,104","51,941"
