fy_2013,fy_2019,fy_1998,fy_1995,fy_1991,fy_1982,fy_2009,fy_2006
16937.0,"20,232",8034.0,6609.0,5808.0,3445.0,13867.0,13899.0
,,,,,,,
4541.0,"5,895",2836.0,2542.0,2206.0,1087.0,4481.0,3759.0
8955.0,"10,868",5062.0,4199.0,3666.0,1730.0,8065.0,7013.0
15289.0,"19,187",9339.0,9849.0,8149.0,4162.0,13994.0,12906.0
