avoided_emissions_onsite,data_center_ups_output_meter,multifamily_housing_number_4,financial_office_number_of_1,energy_power_station_gross,fuel_oil_2_use_kbtu,third_party_certification_1,data_center_it_site_energy,hotel_percent_that_can_be,non_refrigerated_warehouse,convenience_store_with_gas,water_use_all_water_sources,courthouse_gross_floor_area,count_of_buildings,data_quality_checker_run,national_median_energy_star,office_number_of_workers,temporary_values,mailing_center_post_office,senior_care_community_living,supermarket_grocery_number,wholesale_club_supercenter,latitude,data_center_pdu_input_meter,multifamily_housing_number_5,avoided_emissions_offsite,retail_store_open_or_closed,address_2,water_current_date,percent_of_recs_retained,energy_star_certification,retail_store_walk_in,alert_property_has_no_uses,multifamily_housing_number_6,office_computer_density_number,electricity_use_generated,third_party_certification_2,municipally_supplied_potable,hospital_general_medical_10,_3rd_largest_property_use_1,convenience_store_with_gas_1,retail_store_gross_floor,source_energy_use_adjusted,restaurant_weekly_operating,laboratory_gross_floor_area,hotel_room_density_number,office_number_of_computers,repair_services_vehicle_shoe,financial_office_number_of,city,multifamily_housing_gross,estimated_data_flag_1,property_gfa_calculated_2,leed_us_project_id,multifamily_housing_number_1,multifamily_housing_percent_1,_2nd_largest_property_use,propane_use_kbtu,multifamily_housing_number_3,estimated_values_water,green_power_offsite_kwh,weather_normalized_site_energy,third_party_certification,alert_individual_monthly,nyc_building_identification,hospital_general_medical_9,borough,default_values,primary_property_type_self,data_center_ups_system,alert_meter_has_less_than,hospital_general_medical_4,financial_office_gross_floor,property_name-hospital_general_medical_17
Not Available,Not Available,Not Available,Not Available,Not Available,2044314.5,Not Available,Not Available,Not Available,Not Available,Not Available,379.9,Not Available,,No,50,143.49,No,Not Available,Not Available,Not Available,Not Available,40.750916,Not Available,Not Available,0,0.12804,Not Available,12/31/2016,Not Available,Not Available,0,Ok,Not Available,3.47316,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,7810,6997319.9,Not Available,Not Available,Not Available,176.34,Not Available,Not Available,New York,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Retail Store,Not Available,Not Available,No,0,3918804.4,Not Available,Ok,1015951,Not Available,MANHATTAN,Yes,Office,Not Available,Ok,Not Available,Not Available,40 West 37th-Not Available
Not Available,Not Available,45,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,516480.3,Not Available,,No,50,Not Available,No,Not Available,Not Available,Not Available,Not Available,,Not Available,0.9,0,Not Available,Not Available,12/31/2016,Not Available,Not Available,Not Available,Ok,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3863679.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Flushing,50000,Not Available,2500,Not Available,0,100,Parking,Not Available,1.4,No,0,3657445.1,Not Available,Ok,4311340,Not Available,,Yes,Multifamily Housing,Not Available,Ok,Not Available,Not Available,Roosevelt Plaza Condo-Not Available
Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,No,50,Not Available,No,Not Available,Not Available,Not Available,Not Available,40.712731,Not Available,0,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,78,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,8776539.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Jamaica,68796,Not Available,Not Available,Not Available,0,100,Not Available,Not Available,2.34025,Unable to Check (not enough data),0,6882227.1,Not Available,Ok,4207809,Not Available,QUEENS,No,Multifamily Housing,Not Available,Ok,Not Available,Not Available,141-60 84th Road-Not Available
Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,No,50,Not Available,No,Not Available,Not Available,Not Available,Not Available,40.653129,Not Available,0,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1951775.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Brooklyn,87000,Not Available,Not Available,Not Available,Not Available,100,Not Available,Not Available,1.4,Unable to Check (not enough data),0,871147.1,Not Available,Ok,3421831,Not Available,BROOKLYN,Yes,Multifamily Housing,Not Available,Ok,Not Available,Not Available,Metropolitan Homes: 2100 Bedford-Not Available
Not Available,Not Available,0,Not Available,Not Available,39747036.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,15.0,No,50,Not Available,No,Not Available,Not Available,Not Available,Not Available,40.817342,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,1258,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,139809931.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,BRONX,1188700,Not Available,Not Available,Not Available,Not Available,90,Not Available,Not Available,2.28653,Unable to Check (not enough data),Not Available,145416394,Not Available,Ok,2092604;2092605;2092608;2092610;2092611;2092638;2092647;2092649;2092651;2092652;2092654;2092656;2092659;2112985;2112986,Not Available,BRONX,No,Multifamily Housing,Not Available,Ok,Not Available,Not Available,SOUNDVIEW-Not Available
Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,No,50,Not Available,No,Not Available,Not Available,Not Available,Not Available,40.809967,Not Available,0,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,7877553,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,New York,65800,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.4,Unable to Check (not enough data),0,7722084.6,Not Available,Ok,1059255,Not Available,MANHATTAN,Yes,Multifamily Housing,Not Available,Ok,Not Available,Not Available,98 Morningside Ave-Not Available
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,Yes,50,Not Available,No,Not Available,Not Available,Not Available,Not Available,40.82073,Not Available,Not Available,0,Not Available,Not Available,12/31/2014,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,New York,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,0,3383893.7,Not Available,Not Available,1059941,Not Available,MANHATTAN,No,Self-Storage Facility,Not Available,Not Available,Not Available,Not Available,MMS406 - 570-571 Riverside Dr-Not Available
Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6549.2,Not Available,,Yes,50,Not Available,No,Not Available,Not Available,Not Available,Not Available,,Not Available,0,0,Not Available,Not Available,12/31/2016,Not Available,Not Available,Not Available,Ok,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3582336.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Queens,71100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.43938,No,0,3442670.1,Not Available,Ok,4298279,Not Available,,Yes,Multifamily Housing,Not Available,Ok,Not Available,Not Available,1420 Gateway-Not Available
Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,No,50,Not Available,No,Not Available,Not Available,Not Available,Not Available,40.652461,Not Available,0,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,40,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1334311.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,brooklyn,121750,Not Available,4000,Not Available,12,100,Parking,Not Available,1.43737,Unable to Check (not enough data),0,Not Available,Not Available,Possible Issue,3116659,Not Available,BROOKLYN,No,Multifamily Housing,Not Available,Ok,Not Available,Not Available,MP 155 Linden Blvd-Not Available
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2800,Not Available,,No,50,300,No,Not Available,Not Available,Not Available,Not Available,,Not Available,Not Available,0,Not Available,Not Available,12/31/2016,Not Available,Not Available,Not Available,Ok,Not Available,2.83152,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,26577633.7,Not Available,Not Available,Not Available,300,Not Available,Not Available,New York,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,0,10661188.9,Not Available,Ok,1024838,Not Available,,No,Office,Not Available,Ok,Not Available,Not Available,CBS  Ed Sullivan Theater 1697 Broadway-Not Available
Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,19651.3,Not Available,,Yes,50,Not Available,No,Not Available,Not Available,Not Available,Not Available,40.827412,Not Available,0,0,Not Available,Not Available,12/31/2016,Not Available,Not Available,Not Available,Ok,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,17723585.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Bronx,304205,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.4,No,0,6428729.9,Not Available,Not Available,2002802,Not Available,BRONX,Yes,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,MID00900G 900 Grand Concourse-Not Available
Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,259739.4,Not Available,,No,50,Not Available,No,Not Available,Not Available,Not Available,Not Available,40.733732,Not Available,0,0,Not Available,Not Available,04/30/2017,Not Available,Not Available,Not Available,Ok,13,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4424698.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,New York,64377,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.71454,No,0,4166982.8,Not Available,Ok,1009206,Not Available,MANHATTAN,Yes,Multifamily Housing,Not Available,Ok,Not Available,Not Available,Village Place Corporation-Not Available
Not Available,Not Available,0,Not Available,Not Available,1106760,Not Available,Not Available,Not Available,Not Available,Not Available,4974,Not Available,,No,50,Not Available,No,Not Available,Not Available,Not Available,Not Available,40.70895,Not Available,0,0,Not Available,Not Available,03/31/2017,Not Available,Not Available,Not Available,Ok,55,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,8124879.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Jamaica,59470,Not Available,Not Available,Not Available,0,10,Not Available,Not Available,1.1098,No,0,6665914.7,Not Available,Ok,4210060,Not Available,QUEENS,No,Multifamily Housing,Not Available,Ok,Not Available,Not Available,ZARA - 87-84 165 Street-Not Available
Not Available,Not Available,0,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,24.0,Yes,50,Not Available,No,Not Available,Not Available,Not Available,Not Available,40.712545,Not Available,0,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,1757,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,300009665.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,MANHATTAN,1391256,Not Available,Not Available,Not Available,0,90,Not Available,Not Available,2.09235,Unable to Check (not enough data),0,223334883.3,Not Available,Ok,1077520;1077521;1077522;1077523;1077524;1077525;1077526;1077527;1077528;1077529;1083388;1083389;1083390;1083391;1083392;1083393;1083394;1083395;1083404;1083405;1083396;1083397;1083398;1083399,Not Available,MANHATTAN,No,Multifamily Housing,Not Available,Ok,Not Available,Not Available,VLADECK/VLADECK II CAMPUS-Not Available
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,17717.6,Not Available,,No,50,7,No,Not Available,Not Available,Not Available,Not Available,40.751272,Not Available,Not Available,0,Not Available,Not Available,12/31/2016,Not Available,Not Available,Not Available,Ok,Not Available,5.86667,Not Available,Not Available,Not Available,Not Available,12000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,176,Not Available,Not Available,Queens,Not Available,Not Available,12000,Not Available,Not Available,Not Available,Office,Not Available,Not Available,Yes,0,1961554.9,Not Available,Not Available,4540403,Not Available,QUEENS,Yes,Other,Not Available,Not Available,Not Available,Not Available,3036 Northern Blvd Realty 30-46 Northern Blvd.-Not Available
Not Available,Not Available,82,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,No,50,Not Available,No,Not Available,Not Available,Not Available,Not Available,40.693089,Not Available,0.45977,0,0,Not Available,Not Available,Not Available,Not Available,0,Ok,68,Not Available,Not Available,Not Available,Not Available,Not Available,44722,Not Available,44722,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Brooklyn,178351,Not Available,60977,Not Available,205,100,Parking,Not Available,1.14942,Unable to Check (not enough data),0,9891272.9,Not Available,Not Available,3420464,Not Available,BROOKLYN,Yes,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,81 Fleet Place-Not Available
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,9648.4,Not Available,,No,50,Not Available,Yes,Not Available,Not Available,Not Available,346578,40.67229,Not Available,Not Available,0,Not Available,Not Available,09/30/2017,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,61410111.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Brooklyn,Not Available,Not Available,34657,Not Available,Not Available,Not Available,Parking,Not Available,Not Available,No,0,26569177.9,Not Available,Not Available,3336703,Not Available,BROOKLYN,Yes,Wholesale Club/Supercenter,Not Available,Not Available,Not Available,Not Available,Brooklyn - 921-Not Available
Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,74.8,Not Available,,No,50,Not Available,No,Not Available,Not Available,Not Available,Not Available,40.823048,Not Available,0,0,Not Available,Not Available,12/31/2016,Not Available,Not Available,Not Available,Ok,60,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4205005.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,New York,76250,Not Available,Not Available,Not Available,4,90,Other,Not Available,1.70492,Yes,0,Not Available,Not Available,Possible Issue,1079499;1079500,Not Available,MANHATTAN,No,Multifamily Housing,Not Available,Ok,Not Available,Not Available,Neroulias 640 W 139 St.-Not Available
Not Available,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3186.6,Not Available,,Yes,50,Not Available,No,Not Available,Not Available,Not Available,Not Available,40.74168,Not Available,0.30027,0,Not Available,Not Available,01/31/2017,Not Available,Not Available,Not Available,Ok,17,Not Available,Not Available,Not Available,3186.6,Not Available,Not Available,Not Available,Not Available,5917563.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Manhattan,63277,Not Available,Not Available,Not Available,Not Available,100,Not Available,Not Available,0.77437,No,0,4178045.7,Not Available,Ok,1019887,Not Available,MANHATTAN,No,Multifamily Housing,Not Available,Ok,Not Available,Not Available,385 3rd Avenue-Not Available
Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5633.3,Not Available,,Yes,50,Not Available,No,Not Available,Not Available,Not Available,Not Available,40.744465,Not Available,0,0,Not Available,Not Available,12/31/2016,Not Available,Not Available,Not Available,Ok,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,844904.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Queens,67898,Not Available,100,Not Available,0,100,Parking,Not Available,1.40004,No,0,615631.7,Not Available,Ok,4038912,Not Available,QUEENS,Yes,Multifamily Housing,Not Available,Ok,Not Available,Not Available,42-37 Hampton-Not Available
