dbn,location_name,b60_using_weapon_category_i_to_attempt_injury_upon_school_personnel_students_others_s,a42_bomb_threat_r,b20_leaving_class_or_school_premises_w_o_permission_p,b27_tampering_altering_records_or_documents_p,a30_vandalism_graffiti_s,b19_inappropriate_use_of_electronic_technology_p,a48_starting_a_fire_r,b34_sexually_suggestive_verbal_physical_p,b35_posting_or_distributing_literature_or_material_containing_a_threat_of_violence_injury_or_harm_including_posting_such_material_on_the_internet_d_i_only_r,a41_false_activation_of_fire_disaster_alarm_r,b32_posting_distributing_unauthorized_libelous_material_p,a25_bringing_unauthorized_visitors_to_school_r,b29_possession_of_property_w_o_authorization_s,b29_possession_of_property_w_o_authorization_r,b54_group_violence_p,a39_possession_of_controlled_substances_or_prescription_medication_w_o_authorization_illegal_drugs_drug_paraphernalia_or_alcohol_s,b23_using_slurs_bias_p,a06_disrupting_the_educational_process_p,b57_selling_distributing_illegal_drugs_or_control_substance_p,b40_intimidating_and_bullying_behavior_r,b37_coercion_threats_r,b37_coercion_threats_s,a33_altercation_and_or_physically_aggressive_behavior_s,b25_bringing_unauthorized_visitors_to_school_r,b23_using_slurs_bias_r,a32_posting_distributing_literature_or_material_containing_threats_p,sy1617_total_removals_suspensions,b36_altercation_and_or_physically_aggressive_behavior_s,b52_using_force_against_inflicting_to_inflicting_serious_injury_to_ssa_or_school_personnel_s,a50_using_force_against_inflicting_to_inflicting_serious_injury_to_ssa_or_school_personnel_p,b31_scholastic_dishonesty_r,b50_starting_a_fire_s,a59_using_weapon_other_than_category_i_or_ii_to_inflict_injury_upon_school_personnel_students_others_s,b34_sexually_suggestive_verbal_physical_r,b08_verbally_rude_or_disrespectful_r,a46_weapon_possession_category_ii_p,b54_group_violence_r,a39_possession_of_controlled_substances_or_prescription_medication_w_o_authorization_illegal_drugs_drug_paraphernalia_or_alcohol_p,a50_using_force_against_inflicting_to_inflicting_serious_injury_to_ssa_or_school_personnel_s,b61_using_weapon_other_than_category_i_or_ii_to_inflict_injury_upon_school_personnel_students_others_p,a11_smoking_p,b47_inciting_causing_riot_p,b16_lying_to_giving_false_information_r,a07_verbally_rude_or_disrespectful_p,administrative_district,a44_reckless_behavior_that_causes_serious_injury_r,b22_trespassing_r,a23_using_slurs_bias_p,b14_gambling_r,a43_reckless_behavior_with_substantial_risk_of_serious_injury_s,a47_using_controlled_substances_w_o_authorization_illegal_drugs_or_alcohol_p,b26_gang_related_behavior_r,b25_bringing_unauthorized_visitors_to_school_s,a30_vandalism_graffiti_r,a55_selling_distributing_illegal_drugs_or_control_substance_s,b59_using_weapon_category_ii_to_attempt_injury_upon_school_personnel_students_others_s,b52_using_force_against_inflicting_to_inflicting_serious_injury_to_ssa_or_school_personnel_p,a56_weapon_possession_category_i_s,a17_leaving_class_or_school_premises_w_o_permission_p,b47_inciting_causing_riot_s,a37_intimidating_and_bullying_behavior_p,a39_possession_of_controlled_substances_or_prescription_medication_w_o_authorization_illegal_drugs_drug_paraphernalia_or_alcohol_r,b29_possession_of_property_w_o_authorization_p,b07_disrupting_the_educational_process_r,a28_inappropriate_or_unwanted_physical_contact_grades_4_5_only_r,a48_starting_a_fire_p,b60_using_weapon_category_i_to_attempt_injury_upon_school_personnel_students_others_p,b33_engaging_in_sexual_conduct_r,b35_posting_or_distributing_literature_or_material_containing_a_threat_of_violence_injury_or_harm_including_posting_such_material_on_the_internet_d_i_only_p,b08_verbally_rude_or_disrespectful_p,a38_sexually_suggestive_verbal_physical_s,b58_weapon_possession_category_i_s,a26_possession_of_property_w_o_authorization_s,b54_group_violence_s
04M050,P.S. 050 Vito Marcantonio,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,4,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
02M116,P.S. 116 Mary Lindley Murray,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,20,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,2,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
11X103,P.S. 103 Hector Fontanez,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,69,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,11,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
02M343,The Peck Slip School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,2,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
02M527,P.S. 527 - East Side School for Social Action,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,2,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
06M189,P.S. 189,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,9,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,6,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
08X507,Stevenson Yabc,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,8,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
11X076,P.S. 076 The Bennington School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,81,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,11,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
02M442,"Ballet Tech, NYC Public School for Dance",R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,2,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
09X042,P.S. 042 Claremont,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,9,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
