descriptor,:@computed_region_sbqj_enih,open_data_channel_type,cross_street_1,status,:@computed_region_92fq_4b7q,created_date-bridge_highway_name
WATER SUPPLY,3.0,ONLINE,,Closed,10.0,2022-04-15T12:48:36.000-nan
Partial Access,75.0,ONLINE,DENKER PLACE,Closed,14.0,2022-04-14T17:23:52.000-nan
Double Parked Blocking Traffic,12.0,MOBILE,WEST   66 STREET,Closed,19.0,2022-04-14T11:25:42.000-nan
Street Light Out,24.0,UNKNOWN,,Closed,43.0,2022-04-14T16:59:00.000-nan
Recycling - Paper/Metal/Glass/Rigid Plastic,68.0,ONLINE,CORONA AVENUE,Closed,21.0,2022-04-14T11:48:41.000-nan
Loud Music/Party,57.0,ONLINE,OAK STREET,Closed,38.0,2022-04-15T20:49:01.000-nan
Pothole,,UNKNOWN,MARMION AVENUE,Closed,,2022-04-14T08:47:09.000-nan
Partial Access,65.0,ONLINE,84 DRIVE,Closed,24.0,2022-04-14T18:34:23.000-nan
Pothole,39.0,UNKNOWN,AVENUE J,Closed,18.0,2022-04-14T19:18:40.000-nan
WALL,31.0,PHONE,,Closed,43.0,2022-04-14T17:00:00.000-nan
Pothole,,UNKNOWN,223 STREET,Closed,,2022-04-15T14:24:33.000-nan
Banging/Pounding,72.0,ONLINE,14 STREET,Closed,4.0,2022-04-14T03:59:14.000-nan
No Access,74.0,PHONE,EARLENE BETHEL-SPERLING WAY,Closed,13.0,2022-04-14T12:33:23.000-nan
Blocked Bike Lane,4.0,ONLINE,SUFFOLK STREET,Closed,50.0,2022-04-16T22:33:00.000-nan
Driver Report - Passenger,11.0,PHONE,5 AVENUE,In Progress,51.0,2022-04-14T17:01:06.000-nan
Blocked Bike Lane,9.0,ONLINE,2 AVENUE,Closed,51.0,2022-04-15T18:43:36.000-nan
APARTMENT ONLY,47.0,ONLINE,,Closed,25.0,2022-04-14T10:14:45.000-nan
DAMP SPOT,31.0,PHONE,,Closed,22.0,2022-04-15T12:21:08.000-nan
Hydrant Running (WC3),62.0,ONLINE,GATES AVE,Closed,34.0,2022-04-14T13:12:00.000-nan
Blocked Crosswalk,20.0,ONLINE,HARLEM RIVER DRV NB EN E  139 ST,Closed,36.0,2022-04-14T06:22:48.000-nan
Building Permit - None,74.0,UNKNOWN,,Closed,13.0,2022-04-15T13:56:07.000-nan
No Access,72.0,PHONE,AMTRAK-CONNECTING RAIL LINE,Closed,4.0,2022-04-14T07:46:35.000-nan
Pothole,,UNKNOWN,118 ROAD,Closed,,2022-04-14T13:10:21.000-nan
Blocked Hydrant,68.0,MOBILE,55 AVENUE,Closed,21.0,2022-04-14T21:16:01.000-nan
Loud Music/Party,50.0,ONLINE,BERGEN STREET,Closed,27.0,2022-04-14T21:26:28.000-nan
"Air: Odor/Fumes, Restaurant (AD2)",6.0,ONLINE,W 22 ST,Closed,10.0,2022-04-16T00:52:00.000-nan
ENTIRE BUILDING,20.0,ONLINE,,Closed,36.0,2022-04-15T12:58:27.000-nan
Bulky Trash,50.0,ONLINE,3 AVENUE,Closed,27.0,2022-04-15T10:08:59.000-nan
Other,64.0,ONLINE,88 STREET,Closed,41.0,2022-04-14T14:37:50.000-nan
Car/Truck Music,33.0,MOBILE,DEAD END,Closed,40.0,2022-04-14T23:15:59.000-nan
Bird,60.0,ONLINE,86 STREET,Closed,41.0,2022-04-15T03:49:57.000-nan
Loud Music/Party,72.0,ONLINE,37 STREET,Closed,4.0,2022-04-15T11:18:06.000-nan
PESTS,27.0,PHONE,,Closed,35.0,2022-04-15T17:20:18.000-nan
Blocked Hydrant,40.0,MOBILE,CATHERINE MCAULEY HIGH SCHOOL WY,Closed,26.0,2022-04-15T11:07:40.000-nan
Double Parked Blocking Vehicle,31.0,ONLINE,BRYANT AVENUE,Closed,22.0,2022-04-14T20:16:14.000-nan
Trash,11.0,ONLINE,EAST   77 STREET,Closed,1.0,2022-04-15T18:53:46.000-nan
Street Light Out,47.0,UNKNOWN,,Closed,37.0,2022-04-15T04:18:00.000-nan
Car/Truck Music,24.0,MOBILE,INTERVALE AVENUE,Closed,43.0,2022-04-15T21:20:18.000-nan
With License Plate,26.0,ONLINE,SEWARD AVENUE,Closed,31.0,2022-04-15T08:24:14.000-nan
MOLD,44.0,PHONE,,Closed,48.0,2022-04-14T17:08:56.000-nan
Loud Music/Party,23.0,ONLINE,WILLIS AVENUE,Closed,35.0,2022-04-16T00:19:52.000-nan
Blocked Sidewalk,60.0,MOBILE,109 STREET,Closed,46.0,2022-04-15T13:09:21.000-nan
WALL,21.0,PHONE,,Closed,23.0,2022-04-14T13:09:35.000-nan
APARTMENT ONLY,36.0,ONLINE,,Closed,15.0,2022-04-15T08:41:07.000-nan
Blocked Sidewalk,36.0,PHONE,AVENUE T,Closed,45.0,2022-04-15T06:19:57.000-nan
Pothole,34.0,UNKNOWN,,Closed,29.0,2022-04-15T12:35:58.000-nan
Car/Truck Music,40.0,MOBILE,CLARENDON ROAD,Closed,26.0,2022-04-15T02:02:03.000-nan
,10.0,MOBILE,5 AVENUE,Closed,51.0,2022-04-14T10:50:14.000-nan
Banging/Pounding,70.0,MOBILE,YELLOWSTONE BOULEVARD,Closed,28.0,2022-04-14T20:19:47.000-nan
Double Parked Blocking Vehicle,33.0,ONLINE,WEST  230 STREET,Closed,29.0,2022-04-15T18:35:25.000-nan
Tree Leaning/Uprooted,50.0,UNKNOWN,8 AVENUE,Closed,27.0,2022-04-15T10:37:59.000-nan
With License Plate,64.0,MOBILE,LINDEN BOULEVARD,Closed,46.0,2022-04-14T18:26:21.000-nan
Partial Access,73.0,PHONE,79 STREET,Closed,4.0,2022-04-14T06:38:00.000-nan
Illegal Use Of A Hydrant (CIN),28.0,ONLINE,SWINTON AVE,Closed,12.0,2022-04-15T10:32:00.000-nan
Illegal Conversion Of Residential Building/Space,41.0,UNKNOWN,,Closed,44.0,2022-04-15T08:12:55.000-nan
Loft Building,55.0,ONLINE,FULTON STREET,Closed,48.0,2022-04-15T23:36:53.000-nan
