unique_key,created_date,closed_date,intersection_street_2,y_coordinate_state_plane,community_board,vehicle_type,:@computed_region_yeji_bk3q,longitude
53921763,2022-04-15T20:40:07.000,2022-04-16T19:04:30.000,,254798.0,12 MANHATTAN,,4.0,-73.9194006525354
53924638,2022-04-15T17:31:52.000,2022-04-15T17:48:47.000,89 AVENUE,192200.0,09 QUEENS,,3.0,-73.84291312830916
53918327,2022-04-14T15:49:51.000,2022-04-14T20:36:05.000,WHITE PLAINS ROAD LINE,264470.0,12 BRONX,,5.0,-73.85957034955099
53919194,2022-04-14T14:50:59.000,2022-04-14T15:25:35.000,EAST   87 STREET,223235.0,08 MANHATTAN,,4.0,-73.95358016851387
53917640,2022-04-14T07:25:03.000,2022-05-24T06:54:39.000,LEXINGTON AVENUE,212845.0,05 MANHATTAN,,4.0,-73.97681806463653
53918904,2022-04-14T13:55:48.000,2022-05-23T10:12:51.000,EAST   10 STREET,205124.0,03 MANHATTAN,,4.0,-73.98688470530028
53931742,2022-04-16T12:00:29.000,2022-04-20T13:31:16.000,WEST  238 STREET,261004.0,08 BRONX,,5.0,-73.8965642687675
53917042,2022-04-14T04:55:04.000,2024-05-14T00:00:00.000,,204202.0,01 BROOKLYN,,2.0,-73.94379218969976
53920579,2022-04-15T21:25:48.000,2022-04-15T21:42:55.000,EAST  171 STREET,244429.0,03 BRONX,,5.0,-73.90340745804488
53918227,2022-04-14T14:52:00.000,2022-06-07T12:49:00.000,MAJOR DEEGAN EXPRESSWAY,253290.0,07 BRONX,,5.0,-73.91273918816697
53919806,2022-04-14T06:26:32.000,2022-04-14T06:28:45.000,WEST  195 STREET,255679.0,07 BRONX,,5.0,-73.89669547038399
53917993,2022-04-14T23:36:55.000,2022-04-15T00:39:53.000,BOND STREET,189446.0,02 BROOKLYN,,2.0,-73.98617923457171
53922095,2022-04-15T13:52:00.000,2022-04-19T13:07:00.000,,168582.0,18 BROOKLYN,,2.0,-73.92118874222751
53921927,2022-04-15T11:30:24.000,2025-05-13T15:44:43.000,EAST   72 STREET,219901.0,08 MANHATTAN,,4.0,-73.96232336565818
53921252,2022-04-15T11:03:00.000,2022/04/26 11:57,,154765.0,14 QUEENS,,3.0,-73.786164950848
53919429,2022-04-14T14:47:17.000,2022-04-14T20:35:29.000,WHITE PLAINS ROAD LINE,264470.0,12 BRONX,,5.0,-73.85957034955099
53919754,2022-04-14T09:03:15.000,2022/04/25 14:17,,192872.0,09 QUEENS,,3.0,-73.82043838910468
53923518,2022-04-15T16:02:57.000,2022/04/15 16:56,LOUIS RISPOLI WAY,210535.0,02 QUEENS,,3.0,-73.91385645803105
53919877,2022-04-14T17:21:10.000,2022-04-14T17:21:10.000,ORIENTAL BOULEVARD,150311.0,15 BROOKLYN,,2.0,-73.93798759008564
53917198,2022-04-14T20:23:23.000,2022-04-14T20:25:20.000,3 AVENUE,235964.0,01 BRONX,,5.0,-73.92135267097343
53919723,2022-04-14T22:10:00.000,2022-04-15T08:05:00.000,WOF SAYRES AVE,,Unspecified QUEENS,,,
53916346,2022-04-14T09:31:33.000,2022-05-06T17:55:04.000,,242000.0,03 BRONX,,5.0,-73.90287871873477
53919278,2022-04-14T11:07:55.000,2023-06-20T11:56:51.000,,193093.0,04 BROOKLYN,,2.0,-73.92676745127983
53921920,2022-04-15T09:51:31.000,,HONE AVENUE,247315.0,11 BRONX,,5.0,-73.8527302354297
53918912,2022-04-14T10:08:19.000,2022-04-14T11:05:53.000,BROOKLYN AVENUE,187087.0,03 BROOKLYN,,2.0,-73.9457173974154
53918640,2022-04-14T21:56:49.000,2022-04-19T14:57:00.000,,209636.0,04 QUEENS,,3.0,-73.85077556011962
53923362,2022-04-15T06:58:15.000,2022-04-15T11:43:22.000,MARTHA AVENUE,266912.0,12 BRONX,,5.0,-73.86509420762708
53930541,2022-04-16T11:50:15.000,2022-04-16T12:17:17.000,LORIMER STREET,196283.0,01 BROOKLYN,,2.0,-73.94825402572012
53920932,2022-04-15T15:03:21.000,2023-04-06T09:38:34.000,AVENUE Y,154448.0,15 BROOKLYN,,2.0,-73.9380418549579
53921610,2022-04-15T21:14:28.000,2022-04-15T21:34:57.000,62 STREET,209837.0,02 QUEENS,,3.0,-73.90332136847846
53917770,2022-04-14T09:11:31.000,2022-04-14T11:24:10.000,EAST   50 STREET,215571.0,05 MANHATTAN,,4.0,-73.97730997746217
53922976,2022-04-15T15:22:50.000,2024-06-03T20:02:17.000,62 AVENUE,199564.0,05 QUEENS,,3.0,-73.9011041423028
53918834,2022-04-15T01:48:21.000,2022/04/15 04:15,UTICA AVENUE,183933.0,08 BROOKLYN,,2.0,-73.93137329327271
53924041,2022-04-15T10:51:55.000,,CHERRY STREET,198116.0,03 MANHATTAN,Ambulette / Paratransit,4.0,-73.98658550049049
53919934,2022-04-15T00:33:00.000,2022-04-15T03:02:39.000,10 AVENUE,173918.0,12 BROOKLYN,,2.0,-73.99648665826113
53921464,2022-04-15T14:24:34.000,2022/04/15 14:24,,,13 QUEENS,,,
53919411,2022-04-14T12:19:02.000,2022-04-14T13:07:33.000,WILLIAM ATMORE BYRD SR PLACE,235464.0,10 MANHATTAN,,4.0,-73.94609318275756
53925618,2022-04-15T10:37:00.000,2022-04-15T11:55:00.000,34 STREET,178509.0,07 BROOKLYN,,2.0,-74.00526199780046
53921393,2022-04-14T22:50:09.000,2022-10-18T00:00:00.000,,256574.0,08 BRONX,,5.0,-73.89943598292749
53921398,2022-04-14T23:08:13.000,2022-04-18T00:00:00.000,,153561.0,14 QUEENS,,3.0,-73.81457183765185
53920542,2022-04-15T20:34:00.000,2022-04-15T22:08:48.000,SENECA AVENUE,195993.0,05 QUEENS,,3.0,-73.91300996819946
53924574,2022-04-16T00:51:07.000,2022-04-16T01:28:30.000,HART STREET,193484.0,04 BROOKLYN,,2.0,-73.92869205138093
53915979,2022-04-14T20:16:14.000,2022-04-14T21:07:22.000,BOSTON ROAD,245795.0,06 BRONX,,5.0,-73.88011631677881
53922997,2022-04-16T00:45:54.000,2022-04-16T02:14:27.000,43 STREET,215494.0,01 QUEENS,,3.0,-73.91722104795207
53924066,2022-04-15T18:05:13.000,2023-06-09T11:35:48.000,COLUMBUS AVENUE,222781.0,07 MANHATTAN,,4.0,-73.97650166218192
53920845,2022-04-15T14:32:55.000,2022-05-12T00:00:00.000,,184646.0,08 BROOKLYN,,2.0,-73.96613085420938
53919617,2022-04-14T07:32:22.000,2022-04-16T15:12:28.000,,180383.0,05 BROOKLYN,,2.0,-73.88744950471562
53924247,2022-04-15T16:50:02.000,2022-04-16T00:00:00.000,,234690.0,09 MANHATTAN,,4.0,-73.9581316110047
53915995,2022-04-14T20:58:55.000,2022/04/14 21:53,AVENUE H,168876.0,14 BROOKLYN,,2.0,-73.96723002245687
53921725,2022-04-15T12:21:08.000,2022-06-13T06:55:41.000,,251865.0,06 BRONX,,5.0,-73.89201944276378
53920230,2022-04-15T10:32:00.000,2022-04-15T11:00:00.000,,236864.0,Unspecified BRONX,,5.0,-73.81950926729158
53926902,2022-04-15T12:48:36.000,2022-04-20T21:08:44.000,,208428.0,02 MANHATTAN,,4.0,-74.00703306427758
53918817,2022-04-14T11:48:40.000,2023-06-09T11:34:11.000,1 AVENUE,213253.0,06 MANHATTAN,,4.0,-73.96948725318431
53922054,2022-04-15T06:58:29.000,2022-05-03T15:09:34.000,EAST   22 STREET,159393.0,15 BROOKLYN,,2.0,-73.95096863719775
