unique_key,created_date,closed_date,intersection_street_2,y_coordinate_state_plane,community_board,vehicle_type,:@computed_region_yeji_bk3q,longitude
53920024,2022-04-14T17:33:00.000,2022-04-15T23:19:00.000,,220485.0,08 MANHATTAN,,4.0,-73.9494227051865
53916622,2022-04-15T01:47:18.000,2022-04-15T04:22:48.000,HUGHES AVENUE,248162.0,06 BRONX,,5.0,-73.89193473666836
53919145,2022-04-14T06:01:23.000,2022-04-14T07:06:31.000,RESERVOIR AVENUE,257279.0,08 BRONX,,5.0,-73.9008106846054
53923644,2022-04-16T00:18:28.000,2022-04-16T00:40:30.000,41 ROAD,214185.0,01 QUEENS,,3.0,-73.9442527291222
53921972,2022-04-16T00:48:17.000,2022-04-16T04:31:15.000,ECKFORD STREET,202085.0,01 BROOKLYN,,2.0,-73.94844729459062
53918122,2022-04-14T21:07:16.000,2022-04-14T21:55:49.000,AVENUE H,168876.0,14 BROOKLYN,,2.0,-73.96723002245687
53923893,2022-04-15T14:24:33.000,2022/04/19 12:45,,,13 QUEENS,,,
53920205,2022-04-15T00:08:00.000,2022-04-19T23:30:00.000,,216671.0,05 MANHATTAN,,4.0,-73.97617547936487
53919512,2022-04-14T16:51:45.000,2022-04-14T16:57:52.000,2 AVENUE,231267.0,11 MANHATTAN,,4.0,-73.93645500170913
53930718,2022-04-16T11:16:55.000,2022-04-16T12:35:07.000,2 AVENUE,231267.0,11 MANHATTAN,,4.0,-73.93645500170913
53921062,2022-04-15T22:37:00.000,2022/04/16 06:18,,209782.0,04 QUEENS,,3.0,-73.85098757828912
53921894,2022-04-15T10:53:09.000,2022-04-15T12:01:26.000,BRADY AVENUE,249629.0,11 BRONX,,5.0,-73.86299992561216
53919489,2022-04-14T21:29:59.000,2022-04-14T21:53:25.000,57 STREET,215158.0,01 QUEENS,,3.0,-73.90546589885695
53915970,2022-04-14T10:00:43.000,2022-04-14T11:30:21.000,COURT STREET,191323.0,02 BROOKLYN,,2.0,-73.99218577797978
53923104,2022-04-15T15:27:00.000,2022-04-16T14:35:00.000,,182893.0,05 BROOKLYN,,2.0,-73.88947095973813
53918025,2022-04-14T08:05:13.000,2022-04-14T09:33:49.000,EAST END AVENUE,220829.0,08 MANHATTAN,,4.0,-73.94767094732669
