location,park_facility_name,landmark,:@computed_region_f5dn_yrer,taxi_pick_up_location,latitude,park_borough,complaint_type,bridge_highway_segment,agency_name,street_name
"{'type': 'Point', 'coordinates': [-73.911606163079, 40.835761240541]}",Unspecified,,50.0,,40.83576124054072,BRONX,HEAT/HOT WATER,,Department of Housing Preservation and Development,COLLEGE AVENUE
"{'type': 'Point', 'coordinates': [-73.916440519721, 40.764563856671]}",Unspecified,30 AVENUE,39.0,,40.76456385667112,QUEENS,Noise - Commercial,,New York City Police Department,30 AVENUE
"{'type': 'Point', 'coordinates': [-73.959931101015, 40.672020168911]}",Unspecified,LINCOLN PLACE,16.0,,40.67202016891076,BROOKLYN,Noise - Residential,,New York City Police Department,LINCOLN PLACE
"{'type': 'Point', 'coordinates': [-73.916452996361, 40.855340107085]}",Unspecified,,6.0,,40.85534010708468,BRONX,Street Condition,,Department of Transportation,SEDGWICK AVENUE
"{'type': 'Point', 'coordinates': [-73.902878718735, 40.830868631191]}",Unspecified,,34.0,,40.83086863119123,BRONX,PLUMBING,,Department of Housing Preservation and Development,FRANKLIN AVENUE
"{'type': 'Point', 'coordinates': [-73.913828561847, 40.838625656495]}",Unspecified,GRAND CONCOURSE,50.0,,40.838625656495104,BRONX,Noise - Street/Sidewalk,,New York City Police Department,GRAND CONCOURSE
"{'type': 'Point', 'coordinates': [-73.95255583293, 40.80316437387]}",Unspecified,,18.0,,40.80316437386991,MANHATTAN,Elevator,,Department of Buildings,ADAM CLAYTON POWELL JR BOULEVARD
"{'type': 'Point', 'coordinates': [-73.873200815298, 40.717009943699]}",Unspecified,79 PLACE,54.0,,40.717009943698606,QUEENS,Abandoned Vehicle,,New York City Police Department,79 PLACE
"{'type': 'Point', 'coordinates': [-73.903460915257, 40.681151449841]}",Unspecified,,42.0,,40.6811514498409,BROOKLYN,Derelict Vehicles,,Department of Sanitation,BUSHWICK AVENUE
"{'type': 'Point', 'coordinates': [-73.877975178235, 40.658883554543]}",Unspecified,ASHFORD STREET,45.0,,40.658883554542975,BROOKLYN,Missed Collection,,Department of Sanitation,ASHFORD STREET
"{'type': 'Point', 'coordinates': [-73.921352670973, 40.814315591533]}",Unspecified,EAST  145 STREET,49.0,,40.814315591532704,BRONX,Noise - Residential,,New York City Police Department,EAST  145 STREET
"{'type': 'Point', 'coordinates': [-73.795476150653, 40.713508312894]}",Unspecified,,25.0,,40.71350831289381,QUEENS,SAFETY,,Department of Housing Preservation and Development,168 PLACE
