school_name,forcible_sex_offenses_without,intimidation_harassment,criminal_mischief_with_weapon,weapon_possession_under_other,alcohol_possession,assault_with_serious_physical,riot_without_weapon_s,drug_possession,homicide_with_weapon_s,weapon_possessionthrough,minor_altercations_with_weapon,other_sex_offenses_with_weapon,minor_altercations_without,reckless_endangerment_with,riot_with_weapon_s,reckless_endangerment_without,larceny_or_other_theft_without
Ps 112 Bronxwood,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,2,0
Ps 171 Patrick Henry,0,0,0,1,0,0,0,0,0,0,0,0,55,0,0,0,1
Ps 243 Weeksville,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0
Ps 146 Edward Collins,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0
Frederick Douglass Academy Iv Secondary School,0,1,0,0,1,0,0,1,0,0,0,0,42,0,0,3,0
High School For Youth And Community Development,0,0,0,2,2,0,0,1,0,1,0,0,14,0,0,1,1
Ps 36 Margaret Douglas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ps 47 John Randolph,0,0,0,2,0,0,0,0,0,0,4,0,5,0,0,1,0
Ps 169 Robert F Kennedy,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0
Bronx Lab School,0,0,0,0,1,0,0,0,0,2,0,0,3,0,0,0,0
New School #1 At Ps 60,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
Earth School,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
Young Women'S Leadership School,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Urban Peace Academy,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
New Utrecht High School,0,0,0,2,1,0,0,0,0,3,0,0,23,0,0,0,1
Bronx School For Law Government And Justice,0,1,0,2,1,0,0,2,0,0,0,0,4,0,0,0,0
Talent Unlimited High School,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Academy For Social Action-A College Board School,0,0,0,0,0,0,0,0,0,2,0,0,11,0,0,0,0
Academy Of Hospitality And Tourism,0,1,0,1,1,0,0,2,0,2,0,0,16,0,0,0,0
Ps 59 The Community School Of Technology,0,1,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0
Brighter Choice Community School,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Ps 189,0,1,0,4,0,0,0,0,0,0,0,0,41,2,0,3,0
Henry Street School For International Studies,0,0,0,3,1,0,0,4,0,0,0,0,20,0,0,0,2
Ps 54 Samuel C Barnes,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,2,0
Samuel J Tilden High School,0,0,0,1,0,0,0,1,0,3,0,0,16,0,0,0,0
Ps 97 The Highlawn,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,1,0
Ps 289 George V Brower,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Is 232,0,0,0,2,1,0,0,0,0,0,1,0,10,1,0,2,0
Is 229 Roland Patterson,0,1,0,0,0,0,0,1,0,0,5,0,43,3,0,0,10
Young Women'S Leadership School Of Brooklyn,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
Ms 113 Ronald Edmonds Learning Center,0,2,0,0,0,0,0,0,0,0,0,0,13,1,0,1,4
Ps 308 Clara Cardwell,0,2,0,6,0,0,0,0,0,0,1,0,4,0,0,3,1
Ps 208 Alaine L Locke,0,2,0,0,0,0,0,0,0,0,0,0,12,0,0,1,1
Ps 506 School Of Journalism And Technology,0,2,0,3,0,0,0,0,0,0,0,0,3,0,0,1,0
Ps 96 Richard Rodgers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Millennium Business Academy Middle School,0,0,0,3,0,0,0,2,0,0,0,0,16,0,0,0,1
Ps 291,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Ps 4 Duke Ellington,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,1,0
Canarsie High School,0,1,0,3,0,0,0,5,0,13,2,0,39,0,0,2,0
Ps 161 Ponce De Leon,0,0,1,2,0,0,0,0,0,0,0,0,13,1,0,4,1
New Design High School,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
Washington Heights Expeditionary Learning School,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
Ps 199 Frederick Wachtel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Ps 88 S Silverstein Little Sparrow,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Jhs 125 Henry Hudson,0,1,0,5,1,0,0,1,0,0,0,0,82,0,0,1,1
Bronx School Of Science Inquiry & Investigation,0,1,0,1,0,0,0,0,0,0,1,0,41,0,0,4,0
Ps 103 Hector Fontanez,0,1,0,4,0,0,0,0,0,0,0,0,25,0,0,1,1
Pelham Preparatory Academy,0,0,0,1,1,0,0,0,0,0,0,0,13,0,0,0,1
Ps 290 Juan Morel Campos,0,0,0,1,0,0,0,0,0,0,0,0,11,0,0,2,0
West Brooklyn Community High School,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ps 124 Yung Wing,0,0,0,0,0,0,0,0,0,0,2,0,10,1,0,1,0
Mott Hall V,0,1,0,2,2,0,0,1,0,0,0,0,3,1,0,1,0
Ps 721 Queens Occupational Training Ctr,0,0,1,0,0,0,0,0,0,0,2,0,32,0,0,0,1
Entrada Academy,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ps 38 The Pacific,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Ps 250 George H Lindsey,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Urban Institute Of Mathematics,0,0,0,3,0,0,0,0,0,0,1,0,27,0,0,0,1
High School For Global Citizenship,0,0,0,0,0,0,0,7,0,2,0,0,15,0,0,0,0
Ps 503 School Of Discovery,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,1
Central Park East Ii,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Ps 16 Wakefield,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1
Ps 50 Clara Barton,0,1,0,1,0,0,0,0,0,0,1,0,12,1,0,1,0
Jhs 218 James P Sinnott,0,0,0,7,1,0,0,0,0,0,0,0,22,0,0,1,1
Ps 42 Benjamin Altman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Foundations Academy,0,1,0,1,2,0,0,0,0,0,0,0,11,0,0,1,0
Ps 185 John M Langston,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,2,1
Urban Assembly School Of Music And Art,0,1,0,1,1,0,0,1,0,1,0,0,4,0,0,0,0
Ps 17,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,1,0
Ps 100 The Coney Island,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,1
Brooklyn Generation School,0,1,0,0,0,0,0,0,0,1,0,0,8,0,0,0,2
Is 211 John Wilson,0,0,0,1,1,0,0,1,0,0,0,0,37,0,0,1,3
Ps 37,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
