dbn,phone_number,code1,grade9geapplicantsperseat1,transfer,requirement6_4,grade9swdfilledflag6,requirement6_5,requirement3_2,requirement1_4,requirement3_7,common_audition6,grade9gefilledflag5,interest3,admissionspriority38,program1,appperseat1specialized,admissionspriority23,requirement3_4,academicopportunities2,method1,shared_space,grade9geapplicants8,interest8,code5,requirement3_1,requirement1_5,grade9geapplicants9,pbat,admissionspriority56,admissionspriority72,admissionspriority27,requirement7_5,seats4specialized,grade9geapplicants4,requirement1_8,seats9ge1,grade9gefilledflag10,admissionspriority31,grade9swdfilledflag3,interest2,seats9swd8,prgdesc10,advancedplacement_courses,admissionspriority21,requirement7_2,grade9swdapplicantsperseat7,grade9geapplicants10,academicopportunities1,admissionspriority11,program8,seats9swd1,academicopportunities5,eligibility4,requirement3_6,admissionspriority34,grade9swdapplicants8,admissionspriority33
08X432,718-829-2984,Y47A,3.0,,,,,,,,,,,,Bronx Bridges High School,,,,Small advisory groups led by a faculty mentor,Screened: Language,Yes,,,,,,,,,,,,,,,64.0,,,,,,,,Then to New York City residents,,,,College Now courses through Monroe College and Bronx Community College; Geriatric Career Development,Priority to Bronx students or residents,,17.0,Career and college explorations including college visits; Available tutoring,,,,,
02M580,646-826-8174,M23A,3.0,,,,,,,,,,,,Teaching Academy,,,,"Teaching Internships & Seminar; The Liberal Arts Program offers mentoring, internships, after-school workshops & a career fair; Deloitte partnership",Ed. Opt.,Yes,,,,,,,,,,,,,,,67.0,,,,Humanities & Interdisciplinary,,,"AP English Language and Composition, AP English Literature and Composition, AP U.S. Government and Politics",,,,,iLearnNYC: Program for expanded online coursework and self-paced learning; AP English and US History; ScriptEd (computer coding),Open to New York City residents,,13.0,CUNY College Now-Hunter College; College MAP; SUNY Buffalo Teacher Education Program (education course onsite for college credit),,,,,
32K552,718-381-7100,K52A,2.0,,,,,,,,,,,,Urban Planning and Engineering,,,,,Ed. Opt.,Yes,,,,,,,,,,,,,,,94.0,,,,,,,"AP Biology, AP English Language and Composition, AP English Literature and Composition, AP Spanish, AP U.S. History",,,,,Early Dual-Credit program; Earn 24 college credits with Medgar Evers College NOW courses; College Advisory; Ed Rising @ Long Island University,Open to New York City residents,,19.0,"Extended Learn Time Tutoring, Saturday Academy, Saturday Middle School Academy, Saturday Swim Club",,,,,
12X521,718-860-8240,Y55A,5.0,,,,,,,,,,,,The Metropolitan Soundview High School,,,,"Double literacy and mathematics for grades 9-10, AP Literature, AP Language, AP Calculus, PGC, Advisories, STEM Electives, Digital Art, Coding",Unscreened,Yes,,,,,,,,,,,,,,,85.0,,,,,,,"AP Calculus AB, AP English Language and Composition, AP English Literature and Composition",Then to New York City residents,,,,Monday-Thursday school is from 8am-2:35pm; Friday school is from 8am-1pm,Priority to Bronx students or residents who,,23.0,,,,,,
02M399,212-253-2480,A11A,2.0,,,,,,,,,,,,High School for Language and Diplomacy,,,,"Four-year language sequence in Mandarin and French with additional one-year courses in languages including: Arabic, American Sign Language, & Spanish",Limited Unscreened,Yes,,,,,,,,,,,,,,,111.0,,Then to Manhattan students or residents,,,,,"AP Calculus AB, AP Computer Science, AP English Language and Composition, AP English Literature and Composition, AP U.S. Government and Politics",Then to New York City residents who signed in at a fair or at an information session,,,,"Advanced Placement Courses: English Literature & Composition, English Language & Composition, Calculus, US Government and Politics, Computer Science",Priority to Manhattan students or residents who signed in at a fair or at an information session,,23.0,"College preparatory courses including physics, statistics, linguistics, computer science, personal finance, and courses in visual arts and theater",,,,,
19K510,718-922-0650,K65A,2.0,,,,,,,,,,Health Professions,,CNA Certified Nursing Assistant Program,,Then to Brooklyn students or residents who signed in at a fair or at an information session,,"Program Highlights: CNA, Career and Financial, Advanced Placement Courses, Health Careers, Film, Swimming, Computer Systems, CUNY College Now",Limited Unscreened,Yes,,,,,,,,,,,,,,,56.0,,Then to New York City residents who signed in at a fair or at an information session,N,Communications,,,"AP Biology, AP English Literature and Composition",Then to Brooklyn students or residents who signed in at a fair or at an information session,,,,CTE Program(s) in: Nursing Assistant,Priority to students who reside in the geographical catchment area who signed in at a fair or at an information session,,12.0,"Three distinct programs of study: Medical Science, Certified Nursing Assistant (CNA), Sports Management; APEX Learning, Career College Partnerships",,,,,Then to New York City residents who signed in at a fair or at an information session
02M305,212-505-0745,M65R,7.0,,,,,,,,,,,,The Urban Assembly Academy of Government and Law,,,,"Eleventh and 12th grade students take a college lab class to prepare them for the college application process, including SAT prep for 11th grade students.",Limited Unscreened,Yes,,,,,,,,,,,,,,,83.0,,Then to New York City residents who signed in at a fair or at an information session,,,,,,Then to Manhattan students or residents who signed in at a fair or at an information session,,,,"Law-Themed Courses such as Intro to Law, Forensics, Advanced Law Topics; Courses that Prepare Students for a Regents or Advanced Regents diploma",Priority to Districts 1 and 2 students or residents who signed in at a fair or at an information session,,17.0,,,,,,
10X565,718-733-3080,Y65A,5.0,,,,,,,,,,,,Industrial Electrician,,,,"CTE Programs in Residential and Commercial Electrical Practices, Cooperative Learning Groups, Project-Based Learning",Limited Unscreened,Yes,,,,,,,,,,,,,,,85.0,,Then to Bronx students or residents,,,,,,Then to New York City residents who signed in at a fair or at an information session,,,,CTE program(s) in: Residential and Commercial Electrical Practices,Priority to Bronx students or residents who signed in at a fair or at an information session,,23.0,,,,,,
10X524,718-561-8701,Y56A,3.0,,,,,,,,,,,,Digital Media/Recording Entertainment Technology,,,,Students complete Performance-Based Assessment Tasks (PBATs) as a replacement for some Regents exams,Screened: Language,Yes,,,,,,,1.0,,,,,,,,64.0,,,,,,,,,,,,CTE program(s) in: Information Technology,,,17.0,"Cooperative Learning Groups, Project-Based Curriculum, Portfolios, Service Learning, Work-Based Internship Opportunities, College Trips, Counseling",,,,,
17K531,718-771-4793,K04X,3.0,,,,,,,,,,,,The School for Human Rights,,,,"Anatomy and Physiology, Big Brothers Big Sisters, CUNY College Now, Global Kids, buildOn",Unscreened,Yes,,,,,,,,,,,,,,,99.0,,Then to New York City residents,,,,,,Then to Brooklyn students or residents,,,,"Downstate Medical Program, Urban Advantage, Participation in Government, Introduction to Law, Science",Priority to continuing 8th graders,,21.0,,,,,,
