location,latitude,longitude,closed_date,cross_street_1,:@computed_region_yeji_bk3q,street_name,:@computed_region_f5dn_yrer
"{'type': 'Point', 'coordinates': [-73.974131, 40.680926]}",40.680926,-73.974131,2025-12-21T13:01:18.000,DEAN STREET,2,6 AVENUE,14
"{'type': 'Point', 'coordinates': [-73.920563, 40.758822]}",40.758822,-73.920563,2025-12-12T11:52:51.000,BROADWAY,3,38 STREET,39
"{'type': 'point', 'coordinates': [-73.905784, 40.835724]}",40.835724,-73.905784,2025-12-19T16:54:53.000,EAST 170 STREET,5,EAST 170 STREET,34
"{'type': 'Point', 'coordinates': [-73.85905, 40.755645]}",40.755645,-73.85905,2025-12-16T15:01:45.000,34 AVENUE,3,109 STREET,65
"{'type': 'Point', 'coordinates': [-73.954735, 40.743072]}",40.743072,-73.954735,2025-12-13T13:57:34.000,5 STREET,3,50 AVENUE,53
"{'type': 'Point', 'coordinates': [-73.810428, 40.729931]}",40.729931,-73.810428,2025-12-16T17:06:44.000,71 AVENUE,3,PARSONS BOULEVARD,25
"{'type': 'Point', 'coordinates': [-73.981612, 40.759971]}",40.759971,-73.981612,2025-12-13T13:47:28.000,WEST 49 STREET,4,6 AVENUE,11
"{'type': 'Point', 'coordinates': [-73.946615, 40.797072]}",40.797072,-73.946615,2025-12-17T17:44:59.000,MADISON AVENUE,4,EAST 112 STREET,7
"{'type': 'Point', 'coordinates': [-73.983361, 40.608589]}",40.608589,-73.983361,2025-12-18T14:51:12.000,AVENUE O,2,WEST TENTH STREET,1
"{'type': 'Point', 'coordinates': [-73.906921, 40.71295]}",40.71295,-73.906921,2025-12-18T08:51:58.000,56 STREET,3,56 STREET,54
"{'type': 'Point', 'coordinates': [-73.977403, 40.591435]}",40.591435,-73.977403,2025-12-11T17:43:02.000,AVENUE W,2,WEST 7 STREET,21
"{'type': 'Point', 'coordinates': [-73.945297, 40.704587]}",40.704587,-73.945297,2025-12-16T04:51:15.000,SEIGEL STREET,2,MANHATTAN AVENUE,36
"{'type': 'Point', 'coordinates': [-73.867288, 40.757165]}",40.757165,-73.867288,2025-12-14T08:32:54.000,101 STREET,3,NORTHERN BOULEVARD,65
"{'type': 'Point', 'coordinates': [-73.977514, 40.751601]}",40.751601,-73.977514,2025-12-16T16:16:46.000,EAST 41 STREET,4,PARK AVENUE,11
"{'type': 'Point', 'coordinates': [-74.004666, 40.63741]}",40.63741,-74.004666,2025-12-22T15:38:20.000,8 AVENUE,2,55 STREET,2
