printed_name,alphabetic_name_long,precinct,type,:@computed_region_92fq_4b7q,id,seventh_priority07,:@computed_region_efsh_h5xi,ell_data,council_district,zip,loc,:@computed_region_sbqj_enih,sixth_priority06,psal_sports_co_ed
Eximius College Preparatory Academy: A College Board School,Eximius College Preparatory Academy: A College Board School,42,School,42,http://nyc.pediacities.com/Resource/School/eximius_college_preparatory_academy_a_college_board_school,,10934.0,ESL,16.0,10456,"[-73.902818,40.83387500000001]",25,,Soccer
Gramercy Arts High School,Gtamercy Arts High School,13,School,50,http://nyc.pediacities.com/Resource/School/gramercy_arts_high_school,,11724.0,ESL,2.0,10003,"[-73.98786389999999,40.735387]",7,,
Multicultural High School,Multicultural High School,75,School,37,http://nyc.pediacities.com/Resource/School/multicultural_high_school,,17215.0,ESL; Transitional Bilingual Program: Spanish,37.0,11208,"[-73.868927,40.69228]",47,,
Millennium Brooklyn ,Millennium Brooklyn ,78,School,27,http://nyc.pediacities.com/Resource/School/millennium_brooklyn_hs,,17617.0,ESL,39.0,11215,"[-73.97914039999999,40.6695113]",50,,
Bronx High School for Law and Community Service,Bronx High School for Law and Community Service,48,School,22,http://nyc.pediacities.com/Resource/School/bronx_high_school_for_law_and_community_service,,10936.0,ESL,15.0,10458,"[-73.8875889,40.8597019]",31,,"Outdoor Track, Swimming"
Townsend Harris High School,Townsend Harris High School,107,School,24,http://nyc.pediacities.com/Resource/School/townsend_harris_high_school,,14509.0,ESL,24.0,11367,"[-73.82133899999999,40.735017]",65,,Wrestling
Banana Kelly High School,Banana Kelly High School,41,School,43,http://nyc.pediacities.com/Resource/School/banana_kelly_high_school,,10937.0,ESL; Transitional Bilingual Program: Spanish,17.0,10459,"[-73.89800389999999,40.8175731]",24,,Wrestling
The Michael J. Petrides School,"Michael J. Petrides School, The",122,School,14,http://nyc.pediacities.com/Resource/School/the_michael_j_petrides_school,,10369.0,ESL,50.0,10301,"[-74.105907,40.6082729]",76,,
"the young women's leadership school, queens","Young Women's Leadership School, Queens, The",107,School,24,http://nyc.pediacities.com/Resource/School/young_women_s_leadership_school_queens,,24340.0,ESL,24.0,11432,"[-73.804153,40.708383]",65,,
Gaynor McCown Expeditionary Learning School,Gaynor McCown Expeditionary Learning School,122,School,9,http://nyc.pediacities.com/Resource/School/gaynor_mccown_expeditionary_learning_school,,10700.0,ESL,51.0,10314,"[-74.15935999999999,40.581969]",75,,
High School for Teaching and the Professions,High School for Teaching and the Professions,52,School,40,http://nyc.pediacities.com/Resource/School/high_school_for_teaching_and_the_professions,,11606.0,ESL,11.0,10468,"[-73.8977529,40.8708801]",34,,
Institute for Collaborative Education,Institute for Collaborative Education,13,School,50,http://nyc.pediacities.com/Resource/School/institute_for_collaborative_education,,11724.0,ESL,2.0,10003,"[-73.98276799999999,40.732417]",7,,
Robert H. Goddard High School of Communication Arts and Technology,Robert H. Goddard High School of Communication Arts and Technology,106,School,41,http://nyc.pediacities.com/Resource/School/robert_h_goddard_high_school_of_communication_arts_and_technology,,24013.0,ESL,32.0,11417,"[-73.84496129999999,40.6717971]",64,,
Young Women's Leadership School,Young Women's Leadership School,23,School,35,http://nyc.pediacities.com/Resource/School/young_women_s_leadership_school,,12426.0,ESL,8.0,10029,"[-73.94713999999999,40.7927728]",14,,
Middle College High School at LaGuardia Community College*,Middle College High School at LaGuardia Community College,108,School,33,http://nyc.pediacities.com/Resource/School/middle_college_high_school_at_laguardia_community_college,,16858.0,ESL,26.0,11101,"[-73.9336253,40.74330339999999]",66,,
Mott Hall High School,Mott Hall High School,32,School,36,http://nyc.pediacities.com/Resource/School/mott_hall_high_school,,12427.0,ESL,9.0,10030,"[-73.947563,40.8175462]",20,,
Brooklyn Technical High School,Brooklyn Technical High School,88,School,48,http://nyc.pediacities.com/Resource/School/brooklyn_technical_high_school,,17619.0,ESL,35.0,11217,"[-73.976438,40.688872]",55,,Hockey
High School for Violin and Dance,High School for Violin and Dance,42,School,42,http://nyc.pediacities.com/Resource/School/high_school_for_violin_and_dance,,10934.0,ESL,16.0,10456,"[-73.9040232,40.8280148]",25,,
Leadership Institute,Leadership Institute,42,School,22,http://nyc.pediacities.com/Resource/School/leadership_institute,,10935.0,ESL,15.0,10457,"[-73.89746989999999,40.8421053]",25,,
Benjamin Banneker Academy,Benjamin Banneker Academy,88,School,48,http://nyc.pediacities.com/Resource/School/benjamin_banneker_academy,,17212.0,ESL,35.0,11205,"[-73.968734,40.69536799999999]",55,,
Theatre Arts Production Company School,Theatre Arts Production Company School,46,School,22,http://nyc.pediacities.com/Resource/School/theatre_arts_production_company_school,,10935.0,ESL,15.0,10457,"[-73.8970362,40.8546548]",29,,
Bronx Center for Science and Mathematics,Bronx Center for Science and Mathematics,42,School,42,http://nyc.pediacities.com/Resource/School/bronx_center_for_science_and_mathematics,,10934.0,ESL,16.0,10456,"[-73.902818,40.83387500000001]",25,,
Holcombe L. Rucker School of Community Research,Holcombe L. Rucker School of Community Research,41,School,43,http://nyc.pediacities.com/Resource/School/holcombe_l_rucker_school_of_community_research,,10937.0,ESL,17.0,10459,"[-73.89800389999999,40.8175731]",24,,
The Urban Assembly School for Green Careers,"Urban Assembly School for Green Careers, The",20,School,19,http://nyc.pediacities.com/Resource/School/the_urban_assembly_school_for_green_careers,,12421.0,ESL,6.0,10024,"[-73.9744973,40.7858722]",12,,
Origins High School,Origins High School,61,School,15,http://nyc.pediacities.com/Resource/School/origins_high_school,,13826.0,ESL,48.0,11235,"[-73.936638,40.59314]",36,,"Cricket, Double Dutch, Golf"
