boro_block_lot,address,building_classification,estimated_gross_income_2,gross_sqft_1,address_3,market_value_per_sqft_2,total_units_1,total_units_2,estimated_gross_income_3,market_value_per_sqft_3,market_value_per_sqft_1,boro_block_lot_1,full_market_value_3,year_built,gross_income_per_sqft,net_operating_income_1,estimated_gross_income
1-00796-0001,171 7 AVENUE,D4  -ELEVATOR,2373696,48680,,327.05,70,69,,,347.27,1-00798-0066,,1938,38.58,1181951,2398056
1-01195-0054,56 WEST 82 STREET,C6  -WALK-UP,475796,11540,103 WEST 80 STREET,243.13,15,15,606845.0,235.0,213.0,1-01196-0051,3377000.0,1900,42.23,311580,600257
1-00379-0015,412 EAST 10 STREET,C6  -WALK-UP,367344,10818,610 EAST 9 STREET,262.36,26,24,289894.0,357.71,341.47,1-00393-0016,4138000.0,1930,25.06,139552,373645
1-01056-0025,415 WEST 46 STREET,C6  -WALK-UP,379919,9390,411 WEST 45 STREET,195.14,20,20,404642.0,293.96,433.01,1-01056-0016,2812000.0,1910,42.3,253812,421731
1-00719-0036,405 WEST 21 STREET,C6  -WALK-UP,385594,8820,456 WEST 22 STREET,358.77,15,12,237200.0,385.6,250.68,1-00719-0071,1928000.0,1900,48.15,287973,292367
1-00610-0048,140 WEST 10 STREET,C6  -WALK-UP,607433,9252,165 WEST 4 STREET,402.89,16,17,1210435.0,414.8,426.72,1-00612-0062,8574000.0,1900,58.2,371745,1147995
1-00858-0032,41 EAST 28 STREET,D0  -ELEVATOR,4621665,60110,184 LEXINGTON AVENUE,262.51,61,95,4727501.0,405.55,335.4,1-00858-0014,39506000.0,1910,48.53,1871825,1291626
1-00740-0037,139 8 AVENUE,D4  -ELEVATOR,1221434,387468,196 7 AVENUE,252.56,374,29,3228484.0,243.53,288.28,1-00701-0062,18618000.0,1900,42.38,10593375,1395573
1-00896-0013,227 EAST 14 STREET,C6  -WALK-UP,573484,21162,,223.31,30,25,,,152.02,1-00905-0057,,1900,40.23,552963,480145
1-00532-0020,77 BLEECKER STREET,D0  -ELEVATOR,14104824,489709,110 EAST 13 STREET,285.67,486,270,1652332.0,299.34,370.06,1-00548-0070,7738000.0,1930,64.12,21277856,12626510
1-01209-0006,65 WEST 95 STREET,D4  -ELEVATOR,3465793,48972,4 WEST 90 STREET,165.17,48,90,300778.0,261.93,213.8,1-01205-0022,2031000.0,1928,37.88,1180226,2866986
1-00516-0001,163 PRINCE STREET,C6  -WALK-UP,1222451,17494,18 KING STREET,441.86,27,42,717901.0,546.3,258.77,1-00503-0045,6401000.0,1920,57.69,706408,1204856
1-00431-0001,60 1 AVENUE,D4  -ELEVATOR,5115045,38880,15 BIALYSTOKER PLACE,72.08,40,156,4290756.0,228.48,49.72,1-00421-0044,22403000.0,1964,37.09,1017878,7225132
1-00907-0043,226 EAST 27 STREET,C6  -WALK-UP,453936,8295,216 EAST 28 STREET,314.61,16,20,332337.0,241.02,388.07,1-00904-0033,1705000.0,1920,46.87,230187,450889
1-00643-0059,832 GREENWICH STREET,D4  -ELEVATOR,801443,19260,,265.09,31,30,,,309.81,1-00633-0013,,1925,45.34,612854,893198
1-01209-0051,46 WEST 96 STREET,D4  -ELEVATOR,239288,55535,680 WEST END AVENUE,261.93,55,11,4729140.0,150.61,127.47,1-01206-0010,23314000.0,1910,30.86,1236764,656022
1-00210-0026,45 LISPENARD STREET,D4  -ELEVATOR,10814518,30999,80 VARICK STREET,264.81,20,152,5500321.0,143.33,276.82,1-00134-0011,17950000.0,1920,44.21,870141,1653454
1-00518-0014,64 MAC DOUGAL STREET,C6  -WALK-UP,1073025,20732,192 SPRING STREET,299.65,30,25,568545.0,241.55,238.86,1-00504-0026,3223000.0,1920,51.21,677314,705981
1-00770-0048,210 WEST 21 STREET,D4  -ELEVATOR,1374469,63956,335 WEST 14 STREET,238.52,69,39,1299934.0,250.59,253.49,1-00719-0020,7097000.0,1902,45.9,2090722,1153146
1-00561-0009,30 EAST 10 STREET,D0  -ELEVATOR,2243612,489709,752 BROADWAY,386.87,486,35,8338830.0,420.42,370.06,1-00548-0070,62127000.0,1909,56.43,18315117,2427054
1-00902-0001,267 3 AVENUE,D4  -ELEVATOR,9751804,348386,295 PARK AVENUE SOUTH,229.2,327,236,6012473.0,483.02,364.21,1-00907-0025,70182000.0,1962,41.31,9030165,11397429
1-00632-0039,719 GREENWICH STREET,D0  -ELEVATOR,1710133,53500,326 WEST 11 STREET,384.87,62,49,880375.0,309.81,299.36,1-00634-0047,5967000.0,1915,46.14,2141070,1187920
1-00539-0031,211 THOMPSON STREET,D4  -ELEVATOR,767461,12800,,321.03,19,19,,,434.14,1-00577-0014,,1930,56.06,511744,3128148
1-01210-0005,171 WEST 79 STREET,D4  -ELEVATOR,2425022,106521,168 WEST 86 STREET,144.03,80,68,3590507.0,179.09,200.18,1-01210-0001,17917000.0,1924,35.89,2102725,3397312
1-00464-9048,19 ST MARKS PLACE,D4  -ELEVATOR,5909490,14022,223 EAST 6 STREET,175.88,13,89,5288102.0,238.46,320.64,1-00468-0013,21862000.0,1920,58.05,665905,714015
1-00567-0007,33 5 AVENUE,D4  -ELEVATOR,2002030,132420,58 WEST 14 STREET,386.87,115,35,1963095.0,376.22,333.0,1-00572-0038,14225000.0,1924,52.4,4780362,3407467
1-01055-0044,418 WEST 46 STREET,C6  -WALK-UP,305774,11235,410 WEST 46 STREET,199.53,15,11,473040.0,152.0,168.58,1-01056-0058,2052000.0,1900,35.04,233238,352152
1-00400-0047,223 EAST 4 STREET,C6  -WALK-UP,696864,26208,627 EAST 9 STREET,227.97,50,17,1464853.0,203.44,75.28,1-00397-0022,8925000.0,1937,33.39,505028,421916
1-00398-0058,160 EAST 2 STREET,C6  -WALK-UP,1567511,26208,374 EAST 10 STREET,203.44,50,35,745066.0,227.97,75.28,1-00397-0022,4696000.0,1950,35.73,626895,414861
1-00521-0034,316 MOTT STREET,C6  -WALK-UP,817880,20227,224 SULLIVAN STREET,384.53,48,42,1439348.0,483.46,339.99,1-00521-0026,12872000.0,1900,51.09,787437,561224
1-00746-0012,347 WEST 22 STREET,C6  -WALK-UP,185002,8503,262 WEST 24 STREET,467.17,12,12,650103.0,394.52,309.18,1-00770-0064,7402000.0,1910,35.84,224990,495667
1-00487-0001,484 BROOME STREET,D0  -ELEVATOR,1131062,21598,202 AVENUE OF THE AMERICAS,499.66,14,28,1175699.0,392.87,283.54,1-00488-0037,8541000.0,1918,54.08,746859,2352480
1-01065-0021,419 WEST 55 STREET,D4  -ELEVATOR,4613512,207080,831 9 AVENUE,140.07,276,118,7327216.0,290.45,212.88,1-01067-0012,49504000.0,1911,42.99,6367710,1446957
1-00743-0080,160 9 AVENUE,C6  -WALK-UP,661372,23112,231 WEST 19 STREET,386.71,36,25,411050.0,317.62,328.44,1-00764-0061,2911000.0,1920,46.51,772172,990849
1-00519-0051,11 CHARLTON STREET,D4  -ELEVATOR,1062069,16400,,220.9,20,30,,,241.46,1-00592-0042,,1910,50.26,603520,738822
1-00694-0042,520 WEST 23 STREET,D4  -ELEVATOR,17710686,300000,401 WEST 22 STREET,266.12,325,180,3214006.0,309.09,340.73,1-00695-0015,18049000.0,2003,55.75,11514000,5332822
