address,net_operating_income_2,net_operating_income,estimated_expense_2,estimated_gross_income_1,full_market_value,distance_from_co_op_in_miles_2,net_operating_income_3,distance_from_co_op_in_miles_1,neighborhood_2,neighborhood_1,estimated_expense_3,expense_per_sqft,year_built_2,expense_per_sqft_2,distance_from_co_op_in_miles,gross_sqft_3,gross_income_per_sqft_2,building_classification_2,report_year,building_classification_3,address_2,neighborhood_3
105 HUDSON STREET,70015117,3212120,27415218,98674752,26087000,0.69,8757288.0,0.69,TRIBECA,TRIBECA,3551839.0,14.52,1983,14.57,0.19,244617.0,51.78,D6  -ELEVATOR,2019,D8  -ELEVATOR,345 SOUTH END AVENUE,TRIBECA
152 WEST 58 STREET,1076092,1159665,516198,963920,9418000,0.69,990559.0,0.42,MIDTOWN WEST,UPPER EAST SIDE (59-79),415931.0,13.35,1940,13.94,0.48,32520.0,43.0,D5  -ELEVATOR,2019,D1  -ELEVATOR,369 WEST 52 STREET,MIDTOWN WEST
371 WEST STREET,115020,2875655,50762,241223,22666000,0.26,122838.0,0.18,GREENWICH VILLAGE-WEST,GREENWICH VILLAGE-WEST,121346.0,10.26,1910,6.62,0.14,9320.0,21.62,C4  -WALK-UP,2019,C5  -WALK-UP,273 WEST 10 STREET,GREENWICH VILLAGE-WEST
55 WEST 83 STREET,263482,384413,108745,514938,3122000,0.0,420844.0,0.23,UPPER WEST SIDE (79-96),UPPER WEST SIDE (79-96),161086.0,11.64,1910,12.13,0.05,13839.0,41.52,D3  -ELEVATOR,2019,D1  -ELEVATOR,147 WEST 86 STREET,UPPER WEST SIDE (79-96)
520 WEST 50 STREET,242968,262985,140008,437881,2136000,0.17,358982.0,0.1,CLINTON,CLINTON,164652.0,15.91,1915,15.91,0.0,12315.0,43.52,C1  -WALK-UP,2019,C4  -WALK-UP,514 WEST 48 STREET,CLINTON
37 WEST 93 STREET,943691,1006456,492658,1718808,8174000,0.38,2913336.0,0.1,UPPER WEST SIDE (79-96),UPPER WEST SIDE (79-96),1783296.0,11.52,1972,10.06,0.05,154800.0,29.33,D1  -ELEVATOR,2019,D3  -ELEVATOR,5 WEST 91 STREET,UPPER WEST SIDE (79-96)
121 WEST 72 STREET,3294952,2196321,1103170,5672555,17837000,0.06,2127327.0,0.0,UPPER WEST SIDE (59-79),UPPER WEST SIDE (59-79),683059.0,9.85,1906,9.85,0.18,75144.0,39.27,D6  -ELEVATOR,2019,D3  -ELEVATOR,261 AMSTERDAM AVENUE,UPPER WEST SIDE (59-79)
160 EAST 26 STREET,797264,1239745,374391,2031744,10069000,0.1,1266188.0,0.2,GRAMERCY,GRAMERCY,243012.0,8.88,1930,15.29,0.1,30800.0,47.85,D6  -ELEVATOR,2019,D6  -ELEVATOR,152 EAST 22 STREET,GRAMERCY
31 GRAMERCY PARK SOUTH,238280,216340,80144,327088,1757000,,,0.27,KIPS BAY,KIPS BAY,,22.05,1910,13.04,0.3,,51.81,C1  -WALK-UP,2019,,331 EAST 17 STREET,
236 EAST 28 STREET,309471,492426,109402,973911,3999000,0.19,1470632.0,0.1,GRAMERCY,GRAMERCY,565803.0,11.62,1968,11.62,0.1,45446.0,44.49,D3  -ELEVATOR,2019,D3  -ELEVATOR,217 EAST 25 STREET,GRAMERCY
