location_name,_11_expulsions,_13_expulsions,_9_expulsions,_13_superintendent,_16_principal,_5_principal,location_category,_14_principal,_17_principal,_19_principal,_7_removals,_14_superintendent,_20_superintendent,_10_removals,_14_removals,_17_removals,_22_expulsions,_9_removals,_22_principal,_5_removals,_15_expulsions,_6_superintendent,_6_principal,_19_removals
The Little Brooklyn Pre-K Center,R,R,R,R,R,R,District Pre-K Center,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 333 - The Museum School,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Westchester Square Academy,R,R,R,R,22,R,High school,13,11,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Franklin K. Lane Campus YABC,R,R,R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Kappa,R,R,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Academy of Hospitality and Tourism,R,R,R,R,10,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Office of Academic Policy,R,R,R,R,R,R,Central-HQ-Citywide,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 133 William A. Butler,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 110 Florence Nightingale,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
West Brooklyn Community High School,R,R,R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 214 Michael Friedsam,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,8,R
P.S. 084 Jose De Diego,R,R,R,R,R,R,K-8,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
New Design High School,R,R,R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Washington Heights Academy,R,R,R,R,R,R,K-8,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
George Washington Yabc,R,R,R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
The College Academy,R,R,R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Green School: An Academy for Environmental Careers,R,R,R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Jacob Riis School,R,R,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 087 William Sherman,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 128 Audubon,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,8,R,R,R,6,R,R,R,R,R,R
P.S. 235 Janice Marie Knight School,R,R,R,R,R,R,K-8,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 126 Jacob August Riis,R,R,R,R,R,R,K-8,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
University Heights Secondary School,R,R,R,R,R,R,High school,6,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 309 The George E. Wibecan Preparatory Academy,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
East Fordham Academy for the Arts,R,R,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 380 John Wayne Elementary,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
M.S. 256 Academic & Athletic Excellence,R,R,R,R,R,R,Junior High-Intermediate-Middle,7,R,R,R,6,R,R,7,R,R,R,R,R,R,R,R,R
P.S. 008 Luis Belliard,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Young Leaders Elementary School,R,R,R,R,R,R,Elementary,R,R,R,8,R,R,R,R,R,R,6,R,R,R,R,R,R
Washington Heights Expeditionary Learning School,R,R,R,R,R,R,K-12 all grades,7,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
DeWitt Clinton High School,R,R,R,R,31,R,High school,17,18,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
I.S. 232,R,R,R,8,R,R,Junior High-Intermediate-Middle,R,R,R,R,9,R,R,R,R,R,R,R,R,R,R,R,R
The Urban Assembly School for Green Careers,R,R,R,R,18,R,High school,11,17,R,R,R,R,R,7,9,R,R,R,R,R,R,R,R
Mott Hall High School,R,R,R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Art and Design High School,R,R,R,R,9,R,High school,R,8,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 097 Bronx,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
"Bronx School for Law, Government and Justice",R,R,R,R,R,R,Secondary School,13,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 028 The Warren Prep Academy,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 036 Unionport,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Bronxdale High School,R,R,R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Academy For Personal Leadership And Excellence,R,R,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Mott Hall Community School,R,R,R,9,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
High School for Service & Learning at Erasmus,R,R,R,R,15,R,High school,R,16,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Special Music School,R,R,R,R,R,R,K-12 all grades,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Thomas C. Giordano Middle School 45,R,R,R,12,R,R,Junior High-Intermediate-Middle,R,R,R,R,7,R,R,R,R,R,R,R,R,R,R,R,R
New Heights Middle School,R,R,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
I.S. 181 Pablo Casals,R,R,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 092 Mary McLeod Bethune,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 169 Sunset Park,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. X114 - Luis Llorens Torres Schools,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Sunset Park Prep,R,R,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
MANHATTAN ACADEMY FOR ARTS & LANGUAGE,R,R,R,R,10,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 034 Franklin D. Roosevelt,R,R,R,R,R,R,K-8,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Frederick Douglass Academy III Secondary School,R,R,R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
The Urban Assembly Bronx Academy of Letters,R,R,R,12,R,R,Secondary School,40,R,R,R,10,R,R,21,R,R,R,R,R,R,R,R,R
The High School For Language And Diplomacy,R,R,R,R,7,R,High school,R,7,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Thurgood Marshall Academy Lower School,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Eagle Academy for Young Men of Harlem,R,R,R,R,R,R,Secondary School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
I.S. 313 School of Leadership Development,R,R,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 208 Elsa Ebeling,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
English Language Learners and International Suppor,R,R,R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
"Brooklyn Latin School, The",R,R,R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
School of the Future High School,R,R,R,R,R,R,Secondary School,13,8,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S./M.S. 194,R,R,R,R,R,R,K-8,8,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 295,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 067 Charles A. Dorsey,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 209,R,R,R,R,R,R,Early Childhood,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
