sitename,opendateiso,s1,providername,ituesdayopen,borough,geocoded_column,website,unit,mondayopen,street,:@computed_region_yeji_bk3q,isaturdayclose,thursdayclose,notes,incomelimit,sundayclose
EDENWALD,2019-01-11T00:00:00.000,"""In Person, Drop Off""",MMCC,,Bronx,"{'latitude': '40.886174386019', 'longitude': '-73.845106629443'}",http://www.mmcc.org,1STFL,6:00 PM,EAST 229 STREET,5,,,,Open to all taxpayers.,
NYCHA Brooklyn Community Service Farragut Cornerstone,2019-01-28T00:00:00.000,Drop Off,Food Bank For New York City,11.0,Brooklyn,"{'latitude': '40.701304132443', 'longitude': '-73.981761815266'}",http://www.foodbanknyc.org/taxhelp,Community Center,,York Street,2,,2:00 PM,,"""For all filers: Income below $55,000.""",
East Flatbush Kings County Hospital NYC Health+Hospitals,2019-01-23T00:00:00.000,"""In Person, Drop Off""",Grow Brooklyn,,Brooklyn,"{'latitude': '40.655761921343', 'longitude': '-73.944580357883'}",http://www.growbrooklyn.org/taxes,,11:00 AM,Clarkson Ave,2,,,"""www.growbrooklyn.org/taxes- By Appointment Only -  no walk-ins --- Only 2018 returns in February; prior years will be done  in March and April*  Due to space limitations, please do not arrrive more than 15 minutes before your appointment ""","""Individuals without dependents: $35,000, Families with dependents: $62,000""",
Sunnyside,2019-02-06T00:00:00.000,In Person,Urban Upbound,,Queens,"{'latitude': '40.745189638043', 'longitude': '-73.925909310002'}",http://www.urbanupbound.org,,,39th Street,3,,,,"""For all filers: Income below $66,000.""",
"""NYCHA Armstrong I & II, Marcy & Lafayette Houses - Bedford Stuyvesant Restoration Corporation- Flushing """,2019-01-28T00:00:00.000,Drop Off,Food Bank For New York City,9.5,Brooklyn,"{'latitude': '40.699962821425', 'longitude': '-73.94844940069'}",http://www.foodbanknyc.org/taxhelp,1st Floor,9:30 AM,Flushing Avenue,2,,,,"""For all filers: Income below $55,000.""",
Northern Manhattan Improvement Corporation,2019-01-28T00:00:00.000,In Person,Food Bank For New York City,,Manhattan,"{'latitude': '40.846186142126', 'longitude': '-73.937623066968'}",http://www.foodbanknyc.org/taxhelp,Basement,,Wadsworth Avenue,4,16.0,7:00 PM,To make an appointment go to https://www.foodbanknyc.org/taxhelp.ÿ,"""Individuals without dependents: $30,000, Families with dependents: $55,000""",4:00 PM
Tremont Library,2019-01-28T00:00:00.000,Assisted Self-Preparation,Food Bank For New York City,10.0,Bronx,"{'latitude': '40.84622696085', 'longitude': '-73.898490121496'}",http://www.foodbanknyc.org/taxhelp,,10:00 AM,Washington Avenue,5,,1:00 PM,,"""For all filers: Income below $55,000.""",
Our Lady of Pompeii Sr. Center,2019-01-29T00:00:00.000,In Person,AARP Tax Aide,10.0,Manhattan,"{'latitude': '40.730545482279', 'longitude': '-74.002612268137'}",,Lower Level,,Bleecker Street,4,,,"""First come, first served.  We will stop accepting taxpayers when we have reached capacity""","""Open to all taxpayers, with special attention to those 60 and older.""",
Office of Council Member Deutsch,2019-01-22T00:00:00.000,"""In Person, Drop Off""",Grow Brooklyn,,Brooklyn,"{'latitude': '40.599827193504', 'longitude': '-73.947450002107'}",http://www.growbrooklyn.org/taxes,,,"""Avenue U,""",2,,,"""www.growbrooklyn.org/taxes- By Appointment Only -  no walk-ins --- Only 2018 returns in February; prior years will be done  in March and April*  Due to space limitations, please do not arrrive more than 15 minutes before your appointment ""","""Individuals without dependents: $35,000, Families with dependents: $62,000""",5:00 PM
BRONX EOC,2018-01-25T00:00:00.000,"""In Person, Drop Off""",MMCC,,Bronx,"{'latitude': '40.84345792512', 'longitude': '-73.898917211995'}",http://www.mmcc.org,1STFL,,BATHGATE AVENUE,5,,3:00 PM,,Open to all taxpayers.,
Aguilar Branch Library,2019-01-29T00:00:00.000,In Person,AARP Tax Aide,,Manhattan,"{'latitude': '40.794316623597', 'longitude': '-73.943269589242'}",,2nd Floor,11:00 AM,East 110th Street,4,,,"""First come, first served.  We will stop accepting taxpayers when we have reached capacity""","""Open to all taxpayers, with special attention to those 60 and older.""",
NYCHA Davidson Community Center/SOBRO,2019-01-28T00:00:00.000,Drop Off,Food Bank For New York City,10.0,Bronx,"{'latitude': '40.82726373151', 'longitude': '-73.898475690968'}",http://www.foodbanknyc.org/taxhelp,,,Prospect Avenue,5,14.0,1:00 PM,,"""For all filers: Income below $55,000.""",
ResCare Youth Pathways,2019-01-28T00:00:00.000,Drop Off,Food Bank For New York City,9.0,Brooklyn,"{'latitude': '40.699962821425', 'longitude': '-73.94844940069'}",http://www.foodbanknyc.org/taxhelp,6th Floor,9:00 AM,Flushing Avenue,2,,5:00 PM,,"""For all filers: Income below $55,000.""",
Lift,2019-02-23T00:00:00.000,In Person,Ariva,,Bronx,"{'latitude': '40.816669562725', 'longitude': '-73.919958970306'}",https://ariva.org,,,East 149th Street,5,,,,"""Individuals without dependents: $30,000, Families with dependents: $55,000""",4:00 PM
Countee Cullen Library,2019-01-28T00:00:00.000,Assisted Self-Preparation,Food Bank For New York City,11.0,Manhattan,"{'latitude': '40.814996949039', 'longitude': '-73.940918166626'}",http://www.foodbanknyc.org/taxhelp,,12:30 PM,West 136th Street,4,14.0,,,"""For all filers: Income below $55,000.""",
JASA - NORC Einstein Senior Center,2019-01-29T00:00:00.000,In Person,AARP Tax Aide,10.0,Bronx,"{'latitude': '40.86425489371', 'longitude': '-73.82203018655'}",http://www.aarp.org/taxaide,Room 35 - 2nd Floor,,Einstein Loop,5,,,Preferred Income limit: $60K,"""Open to all taxpayers, with special attention to those 60 and older.""",
The Bronx NHS CDC Inc.,2019-01-22T00:00:00.000,"""In Person, Drop Off""",The Bronx NHS,10.0,Bronx,"{'latitude': '40.869207662387', 'longitude': '-73.843797519063'}",,2nd Floor,,East Gun Hill Road,5,18.0,6:00 PM,,"""Individuals without dependents: $30,000, Families with dependents: $54,000""",
Christ Apostolic Church,2019-01-28T00:00:00.000,Drop Off,Food Bank For New York City,,Queens,"{'latitude': '40.692984243847', 'longitude': '-73.799379585486'}",http://www.foodbanknyc.org/taxhelp,,4:00 PM,Sutphin Blvd,3,12.0,,,"""For all filers: Income below $55,000.""",
Bronx House,2019-03-30T00:00:00.000,In Person,Ariva,,Bronx,"{'latitude': '40.856803623815', 'longitude': '-73.86035424677'}",https://ariva.org,,,Pelham Parkway South,5,,,,"""Individuals without dependents: $30,000, Families with dependents: $55,000""",4:00 PM
Food Bank For New York City - Mobile,2019-01-28T00:00:00.000,In Person,Food Bank For New York City,9.0,Manhattan,"{'latitude': '40.801207341033', 'longitude': '-73.952550003892'}",http://www.foodbanknyc.org/taxhelp,,9:00 AM,St. Nicholas Avenue,4,,5:00 PM,To make an appointment go to https://www.foodbanknyc.org/taxhelp.ÿ,"""Individuals without dependents: $30,000, Families with dependents: $55,000""",
Brooklyn Coop Federal Credit Union,2019-01-22T00:00:00.000,"""In Person, Drop Off""",Grow Brooklyn,,Brooklyn,"{'latitude': '40.698716337389', 'longitude': '-73.915365400584'}",http://www.growbrooklyn.org/taxes,,6:00 PM,Grove Street,2,16.0,,"""www.growbrooklyn.org/taxes- By Appointment Only -  no walk-ins --- Only 2018 returns in February; prior years will be done  in March and April*  Due to space limitations, please do not arrrive more than 15 minutes before your appointment ""","""Individuals without dependents: $35,000, Families with dependents: $62,000""",4:00 PM
58th Street Branch Library,2019-01-30T00:00:00.000,In Person,AARP Tax Aide,,Manhattan,"{'latitude': '40.761787580648', 'longitude': '-73.969056814461'}",,2nd Floor,,East 58th Street,4,14.0,,"""First come, first served.  We will stop accepting taxpayers when we have reached capacity""","""Open to all taxpayers, with special attention to those 60 and older.""",
Lower East Side People's Federal Credit Union,2019-01-22T00:00:00.000,"""In Person, Drop Off""",Grow Brooklyn,,Manhattan,"{'latitude': '40.722760110564', 'longitude': '-73.982888756267'}",http://www.growbrooklyn.org/taxes,,,"""Avenue B,""",4,19.0,,"""www.growbrooklyn.org/taxes- By Appointment Only -  no walk-ins --- Only 2018 returns in February; prior years will be done  in March and April*  Due to space limitations, please do not arrrive more than 15 minutes before your appointment ""","""Individuals without dependents: $35,000, Families with dependents: $62,000""",4:00 PM
Jamaica Central Library,2019-02-04T00:00:00.000,"""In Person, Assisted Self-Preparation""",Urban Upbound,,Queens,"{'latitude': '40.707864703471', 'longitude': '-73.79529508734'}",http://www.urbanupbound.org,,10:00 AM,Merrick Boulevard,3,16.0,,,"""For all filers: Income below $66,000.""",
Far Rockaway,2019-01-25T00:00:00.000,In Person,Urban Upbound,,Queens,"{'latitude': '40.603707959178', 'longitude': '-73.751959935731'}",http://www.urbanupbound.org,,,Mott Avenue,3,16.0,,,"""For all filers: Income below $66,000.""",
George Bruce Branch Library,2019-02-01T00:00:00.000,In Person,AARP Tax Aide,,Manhattan,"{'latitude': '40.813741341927', 'longitude': '-73.956587197502'}",,,,West 125th Street,4,,,"""First come, first served.  We will stop accepting taxpayers when we have reached capacity""","""Open to all taxpayers, with special attention to those 60 and older.""",
NYCHA Bedford Stuyvesant Restoration Corporation- Fulton,2019-01-28T00:00:00.000,Drop Off,Food Bank For New York City,10.0,Brooklyn,"{'latitude': '40.680174516305', 'longitude': '-73.945717397415'}",http://www.foodbanknyc.org/taxhelp,,10:00 AM,Fulton Street,2,,5:00 PM,,"""For all filers: Income below $55,000.""",
West Side Campaign Against Hunger,2019-01-29T00:00:00.000,In Person,AARP Tax Aide,10.0,Manhattan,"{'latitude': '40.788671465621', 'longitude': '-73.977332150879'}",,Basement,,West 86th Street,4,,,"""First come, first served.  We will stop accepting taxpayers when we have reached capacity""","""Open to all taxpayers, with special attention to those 60 and older.""",
NYCHA Brooklyn Community Services  Carey Gardens Conerstone,2019-01-28T00:00:00.000,Drop Off,Food Bank For New York City,,Brooklyn,"{'latitude': '40.573958035343', 'longitude': '-73.989877793815'}",http://www.foodbanknyc.org/taxhelp,,,Surf Avenue,2,16.0,9:00 PM,,"""For all filers: Income below $55,000.""",
Epiphany Branch Library,2019-01-31T00:00:00.000,In Person,AARP Tax Aide,,Manhattan,"{'latitude': '40.738492968896', 'longitude': '-73.982368695258'}",,Community Room,,East 23rd Street,4,,2:00 PM,"""First come, first served.  We will stop accepting taxpayers when we have reached capacity""","""Open to all taxpayers, with special attention to those 60 and older.""",
Commonpoint Queens,2019-02-22T00:00:00.000,In Person,Commonpoint Queens,,Queens,"{'latitude': '40.728701493184', 'longitude': '-73.847413769884'}",http://www.commonpointqueens.org,,,108th Street,3,,,,Open to all taxpayers.,4:00 PM
New York Common Pantry,2019-01-28T00:00:00.000,Drop Off,Food Bank For New York City,,Bronx,"{'latitude': '40.808694721417', 'longitude': '-73.92188671484'}",http://www.foodbanknyc.org/taxhelp,,,East 138th Street,5,,,,"""For all filers: Income below $55,000.""",
Per Scholas,2019-01-28T00:00:00.000,Drop Off,Food Bank For New York City,9.0,Brooklyn,"{'latitude': '40.699962821425', 'longitude': '-73.94844940069'}",http://www.foodbanknyc.org/taxhelp,6th. Floor,9:00 AM,Flushing Avenue,2,,5:00 PM,,"""For all filers: Income below $55,000.""",
67th Street Branch Library,2019-02-01T00:00:00.000,In Person,AARP Tax Aide,,Manhattan,"{'latitude': '40.765256845421', 'longitude': '-73.959867788486'}",,3rd Floor,,East 67th Street,4,,,"""First come, first served.  We will stop accepting taxpayers when we have reached capacity""","""Open to all taxpayers, with special attention to those 60 and older.""",
Food Bank For New York City - St  John's University,2019-01-28T00:00:00.000,Drop Off,Food Bank For New York City,12.0,Queens,"{'latitude': '40.725600424191', 'longitude': '-73.791694094175'}",http://www.foodbanknyc.org/taxhelp,,12:00 PM,Utopia Parkway,3,17.0,7:00 PM,Not A public site.,"""For all filers: Income below $55,000.""",
Jamaica Bay Library,2019-01-28T00:00:00.000,In Person,Urban Upbound,,Brooklyn,"{'latitude': '40.6340245303', 'longitude': '-73.889369736118'}",http://www.urbanupbound.org,,10:00 AM,Seaview Avenue,2,,,,"""For all filers: Income below $66,000.""",
St. John's Bread & Life,2019-01-22T00:00:00.000,"""In Person, Drop Off""",Grow Brooklyn,18.0,Brooklyn,"{'latitude': '40.690208543508', 'longitude': '-73.929010197668'}",http://www.growbrooklyn.org/taxes,,,"""Lexington Ave,""",2,17.0,8:00 PM,"""www.growbrooklyn.org/taxes- By Appointment Only -  no walk-ins --- Only 2018 returns in February; prior years will be done  in March and April*  Due to space limitations, please do not arrrive more than 15 minutes before your appointment ""","""Individuals without dependents: $35,000, Families with dependents: $62,000""",5:00 PM
St. Nicks Alliance-Greenpoint Beacon Center,2019-01-22T00:00:00.000,"""In Person, Drop Off""",Grow Brooklyn,18.0,Brooklyn,"{'latitude': '40.719818517481', 'longitude': '-73.948625241578'}",http://www.growbrooklyn.org/taxes,,,"""Leonard St,""",2,,8:00 PM,"""www.growbrooklyn.org/taxes- By Appointment Only -  no walk-ins --- Only 2018 returns in February; prior years will be done  in March and April*  Due to space limitations, please do not arrrive more than 15 minutes before your appointment ""","""Individuals without dependents: $35,000, Families with dependents: $62,000""",
Southside United HDFC - Los Sures,2019-01-28T00:00:00.000,Drop Off,Food Bank For New York City,13.5,Brooklyn,"{'latitude': '40.712278309643', 'longitude': '-73.961843922117'}",http://www.foodbanknyc.org/taxhelp,,1:30 PM,South 3rd Street,2,,6:30 PM,,"""For all filers: Income below $55,000.""",
Ariva at University Heights,2019-01-28T00:00:00.000,In Person,Ariva,,Bronx,"{'latitude': '40.85106334935', 'longitude': '-73.912128024302'}",https://ariva.org,,12:00 PM,West Tremont Avenue,5,,,,"""Individuals without dependents: $30,000, Families with dependents: $55,000""",
Bronx Works Morris Senior Center,2019-01-28T00:00:00.000,"""In Person, Assisted Self-Preparation""",Food Bank For New York City,12.0,Bronx,"{'latitude': '40.85507528428', 'longitude': '-73.904198945072'}",http://www.foodbanknyc.org/taxhelp,Basement,12:00 PM,East 181st Street,5,16.0,7:00 PM,To make an appointment go to https://www.foodbanknyc.org/taxhelp.ÿ,"""Individuals without dependents: $30,000, Families with dependents: $55,000""",
RAIN Gunhill Senior Center,2019-02-01T00:00:00.000,In Person,AARP Tax Aide,,Bronx,"{'latitude': '40.874871669046', 'longitude': '-73.867060030356'}",http://www.aarp.org/taxaide,1st Floor,,White Plains Road,5,,,Preferred Income limit: $60K,"""Open to all taxpayers, with special attention to those 60 and older.""",
NYCHA Rescare/ Jobs Plus SI,2019-01-28T00:00:00.000,Drop Off,Food Bank For New York City,9.0,Staten Island,"{'latitude': '40.641323619943', 'longitude': '-74.075935546204'}",http://www.foodbanknyc.org/taxhelp,4th Floor,9:00 AM,Bay Street,1,,6:00 PM,APPOITMENTS,"""For all filers: Income below $55,000.""",
East NY HHC,2019-02-06T00:00:00.000,In Person,Urban Upbound,,Brooklyn,"{'latitude': '40.671976672527', 'longitude': '-73.895247724249'}",http://www.urbanupbound.org,,,Pitkin Avenue,2,16.0,,,"""For all filers: Income below $66,000.""",
