borough,precinct,c_solution,s_neigh_cat,v_gender,s_fam_cat
1,44,0,999,0,999
4,102,0,999,1,999
1,44,0,1,0,999
4,103,0,999,1,999
4,109,0,999,1,999
4,103,0,999,1,999
4,102,0,999,1,999
5,122,1,999,0,2
1,45,0,999,1,999
4,107,0,999,1,999
5,122,0,3,1,1
4,109,0,999,1,999
1,49,0,999,1,999
3,30,0,1,1,2
4,113,0,999,1,999
1,47,0,999,1,999
3,33,0,999,1,999
3,32,0,999,1,999
2,90,0,999,1,999
4,103,0,999,1,999
4,107,0,999,1,999
2,75,0,999,1,2
4,115,0,1,1,999
1,44,0,3,0,999
5,122,0,3,0,999
1,46,1,999,0,999
5,121,0,999,1,999
3,33,0,999,1,999
5,121,0,999,1,999
2,83,0,999,1,999
5,121,0,999,1,1
4,114,0,999,0,2
2,63,0,999,1,2
3,33,0,999,1,2
5,122,0,999,1,999
3,14,0,999,1,999
5,121,0,999,0,999
2,73,0,999,0,999
4,113,0,999,0,999
2,61,0,999,1,999
5,122,0,999,1,2
5,121,0,999,1,999
3,32,0,999,1,999
4,115,0,1,1,999
2,62,0,999,1,999
1,44,0,999,1,999
2,90,0,999,1,999
2,63,0,999,1,999
1,44,0,999,1,999
4,114,0,999,0,999
1,46,0,3,0,999
4,113,0,999,0,999
1,47,0,999,1,2
4,103,0,999,1,999
5,121,0,999,1,999
5,121,0,999,1,1
2,68,0,3,1,999
2,73,1,999,1,2
4,114,0,999,1,999
2,84,0,999,1,999
5,122,0,3,1,999
2,70,0,999,1,999
4,113,0,999,1,999
4,113,0,999,1,999
2,75,0,999,1,999
2,70,0,999,1,999
5,122,0,999,1,999
5,121,1,999,1,2
1,44,0,999,1,999
5,121,0,999,1,2
4,109,0,999,1,999
2,63,0,999,1,2
1,44,0,999,0,999
5,121,0,999,0,999
2,63,0,999,1,2
3,30,0,999,1,999
2,63,0,999,1,999
2,69,0,999,0,999
2,70,0,1,0,999
5,121,0,999,1,1
5,121,1,999,1,999
5,122,0,999,0,999
