address,:@computed_region_sbqj_enih,longitude,sidewalk_condition,latitude,cb_original,segmentid,wires,:@computed_region_yeji_bk3q,spc_latin,diameter,censustract_2010,site
350 HUDSON ST,1.0,-74.007293,Good,40.727495,102,31914,,4.0,PYRUS CALLERYANA,7,37,Front
390 GREENWICH ST,1.0,-74.010119,Good,40.720648,101,31568,,4.0,GLEDITSIA TRIACANTHOS,6,39,Front
390 GREENWICH ST,1.0,-74.010119,Good,40.720648,101,31568,,4.0,GLEDITSIA TRIACANTHOS,6,39,Front
260 W BROADWAY,1.0,-74.005466,Good,40.720303,103,31812,,4.0,SOPHORA JAPONICA,4,33,Across/Side
227 Avenue of the Amer,1.0,-74.002991,Good,40.727888,102,110637,,4.0,ULMUS AMERICANA,10,37,Adjacent
80 N MOORE ST,1.0,-74.010532,Good,40.720159,103,31567,,4.0,GLEDITSIA TRIACANTHOS,5,39,Across
200 HUDSON ST,1.0,-74.00805,Good,40.723011,103,31826,,4.0,PYRUS CALLERYANA,3,33,Front
37 KING ST,1.0,-74.004359,Good,40.727774,102,32148,,4.0,QUERCUS RUBRA,7,37,Front
204 E 10 ST,5.0,-73.986248,Good,40.72954,103,32937,,4.0,GINKGO BILOBA,6,40,Front
31 CHAMBERS ST,2.0,-74.00472,Good,40.713435,101,23556,,4.0,GLEDITSIA TRIACANTHOS,4,31,Across
21 STUYVESANT ST,5.0,-73.988464,Good,40.729914,101,164376,,4.0,ACER PLATANOIDES,9,40,Front
388 GREENWICH ST,1.0,-74.010132,Good,40.720544,101,31568,,4.0,GLEDITSIA TRIACANTHOS,4,39,Side
130 BAXTER ST,2.0,-73.99881,Good,40.718351,102,32316,,4.0,SOPHORA JAPONICA,4,41,Front
344 E 14 ST,7.0,-73.983868,Good,40.731904,103,33129,,4.0,PLATANUS ACERIFOLIA,8,40,Front
140 E 14 ST,7.0,-73.9883,Good,40.733764,103,32947,,4.0,TILIA CORDATA,8,42,Front
219 2 AV,5.0,-73.985192,Good,40.732003,102,33118,,4.0,PLATANUS ACERIFOLIA,2,40,Front
355 W BROADWAY,1.0,-74.003278,Good,40.722958,102,32103,,4.0,GINKGO BILOBA,5,47,Front
162 2 AV,5.0,-73.9867,Good,40.730032,103,110579,,4.0,QUERCUS PALUSTRIS,17,40,Across
324 E 9 ST,5.0,-73.986641,Good,40.72894,101,32914,,4.0,PLATANUS ACERIFOLIA,8,38,Front
529 BROOME ST,1.0,-74.004188,Good,40.723958,102,32104,,4.0,ULMUS AMERICANA,7,47,Side
275 HUDSON ST,1.0,-74.007672,Good,40.725184,102,31883,,4.0,PLANTING SITE,0,37,Front
199 CHAMBERS ST,1.0,-74.012281,Good,40.71692,101,31478,,4.0,GLEDITSIA TRIACANTHOS,3,39,Across
550 BROOME ST,1.0,-74.005544,Good,40.724325,102,110919,,4.0,CORNUS MAS,7,37,Front
345 HUDSON ST,1.0,-74.007296,Good,40.727479,102,31914,,4.0,PYRUS CALLERYANA,8,37,Front
49 W BROADWAY,1.0,-74.010369,Good,40.714086,101,257494,,4.0,GLEDITSIA TRIACANTHOS,5,21,Across
140 PARK PL,1.0,-74.013076,Good,40.714984,101,162338,,4.0,GINKGO BILOBA,7,21,Front
335 GREENWICH ST,1.0,-74.010556,Good,40.718,101,31539,,4.0,PYRUS CALLERYANA,4,39,Side
315 E 14 ST,7.0,-73.984574,Good,40.732196,103,33129,,4.0,TILIA CORDATA,8,48,Front
132 2 AV,5.0,-73.987665,Good,40.728605,103,32911,,4.0,GLEDITSIA TRIACANTHOS,10,38,Front
226 E 14 ST,7.0,-73.98657,Good,40.733035,103,32953,,4.0,GLEDITSIA TRIACANTHOS,12,40,Front
465 CANAL ST,1.0,-74.007555,Good,40.723461,102,106025,,4.0,PYRUS CALLERYANA,11,37,Front
31 CHAMBERS ST,2.0,-74.00472,Good,40.713435,101,23556,,4.0,GLEDITSIA TRIACANTHOS,4,31,Across
195 HUDSON ST,1.0,-74.008028,Good,40.723132,101,31826,,4.0,PLATANUS ACERIFOLIA,10,39,Front
22 KING ST,1.0,-74.003473,Good,40.727687,102,32148,,4.0,GINKGO BILOBA,5,37,Front
552 BROOME ST,1.0,-74.005662,Good,40.724343,102,110919,,4.0,PYRUS CALLERYANA,10,37,Front
275 GREENWICH ST,1.0,-74.011244,Good,40.715203,101,23242,,4.0,GLEDITSIA TRIACANTHOS,3,21,Front
38 WEST ST,1.0,-74.015628,Good,40.707402,103,105786,,4.0,GLEDITSIA TRIACANTHOS,4,13,Front
472 GREENWICH ST,1.0,-74.009365,Good,40.724588,101,31633,,4.0,PLANTING SITE,0,39,Front
138 2 AV,5.0,-73.987455,Good,40.728894,103,32911,,4.0,GLEDITSIA TRIACANTHOS,11,38,Front
290 BROADWAY,2.0,-74.005823,Good,40.714754,101,23405,,4.0,OSTRYA VIRGINIANA,4,31,Side
74 Avenue of the Amer,1.0,-74.005204,Good,40.722502,102,110915,,4.0,ULMUS AMERICANA,9,47,Adjacent
33 THOMAS ST,1.0,-74.006176,Good,40.716304,101,31772,,4.0,OSTRYA VIRGINIANA,3,33,Across
210 SPRING ST,1.0,-74.003668,Good,40.725367,102,110924,,4.0,SOPHORA JAPONICA,3,47,Front
344 E 14 ST,7.0,-73.983868,Good,40.731904,103,33129,,4.0,GINKGO BILOBA,5,40,Front
40-044 W 111 ST,,1.0,Good,1.0,0,166139,,,GINKGO BILOBA,4,186,Front
349 W BROADWAY,1.0,-74.00342,Good,40.722791,102,32103,,4.0,PLATANUS ACERIFOLIA,7,47,Front
143 1 AV,5.0,-73.984952,Good,40.72809,102,33106,,4.0,GLEDITSIA TRIACANTHOS,9,38,Front
85 KENMARE ST,2.0,-73.996688,Good,40.72121,102,32516,,4.0,GLEDITSIA TRIACANTHOS,9,41,Front
326 SPRING ST,1.0,-74.00937,Good,40.726017,102,31640,,4.0,GLEDITSIA TRIACANTHOS,8,37,Front
159 2 AV,5.0,-73.986871,Good,40.729699,103,32913,,4.0,QUERCUS PALUSTRIS,17,40,Across
4 MARINE PL,,1.0,Good,1.0,0,235597,,,PLATANUS ACERIFOLIA,14,13,Median
213 E 10 ST,5.0,-73.986122,Good,40.729487,103,32937,,4.0,CORNUS MAS,3,40,Front
94 WARREN ST,1.0,-74.010993,Good,40.71554,101,23251,,4.0,GLEDITSIA TRIACANTHOS,3,21,Front
135 WASHINGTON ST,1.0,-74.013826,Good,40.709661,101,23077,,4.0,PLANTING SITE,0,13,Front
33 HARRISON ST,1.0,-74.010636,Good,40.71883,101,164122,,4.0,TILIA CORDATA,10,39,Front
33 HARRISON ST,1.0,-74.010636,Good,40.71883,101,164122,,4.0,GLEDITSIA TRIACANTHOS,10,39,Across
159 MOTT ST,2.0,-73.996314,Good,40.719465,102,32492,,4.0,GLEDITSIA TRIACANTHOS,2,41,Front
80 N MOORE ST,1.0,-74.010532,Good,40.720159,101,31567,,4.0,ACER PLATANOIDES,4,39,Side
140 PARK PL,1.0,-74.013076,Good,40.714984,101,162338,,4.0,QUERCUS PALUSTRIS,9,21,Front
45 3 AV,5.0,-73.989059,Good,40.730715,101,32921,,4.0,PYRUS CALLERYANA,6,40,Side
81 SULLIVAN ST,1.0,-74.003648,Good,40.724928,102,32120,,4.0,SOPHORA JAPONICA,7,47,Front
290 BROADWAY,2.0,-74.005823,Good,40.714754,101,23405,,4.0,OSTRYA VIRGINIANA,4,31,Side
100 CHARLTON ST,1.0,-74.007884,Good,40.727383,102,31913,,4.0,SOPHORA JAPONICA,4,37,Front
49 W BROADWAY,1.0,-74.010369,Good,40.714086,101,257494,,4.0,GLEDITSIA TRIACANTHOS,6,21,Across
97 KENMARE ST,2.0,-73.996988,Good,40.721311,102,32516,,4.0,GLEDITSIA TRIACANTHOS,5,41,Front
38 WEST ST,1.0,-74.015628,Good,40.707402,103,105786,,4.0,GLEDITSIA TRIACANTHOS,5,13,Adjacent
260 W BROADWAY,1.0,-74.005466,Good,40.720303,103,31812,,4.0,SOPHORA JAPONICA,5,33,Across/Side
228 E 10 ST,5.0,-73.985191,Good,40.729093,102,32937,,4.0,GINKGO BILOBA,4,40,Front
9 N MOORE ST,1.0,-74.006433,Good,40.719742,101,31804,,4.0,PRUNUS SPECIES,2,33,Front
486 GREENWICH ST,1.0,-74.009282,Good,40.724982,102,31637,,4.0,GLEDITSIA TRIACANTHOS,12,37,Front
323A GREENWICH ST,1.0,-74.010694,Good,40.717461,101,31538,,4.0,GLEDITSIA TRIACANTHOS,5,39,Across
17 CHARLTON ST,1.0,-74.003901,Good,40.727001,102,32142,,4.0,GINKGO BILOBA,11,37,Front
207 HUDSON ST,1.0,-74.007946,Good,40.723513,101,164194,,4.0,ULMUS AMERICANA,6,39,Front
