estimated_gross_income_3,building_classification_2,market_value_per_sqft_1,gross_sqft,full_market_value_3,address,estimated_gross_income,estimated_gross_income_2,market_value_per_sqft_2,boro_block_lot_2,year_built
1449696.0,D1  -ELEVATOR,239.43,208241,11771000.0,230 RIVERSIDE DRIVE,8013114,1244678.0,163.93,1-01252-0038,1931
,,102.38,10000,,35 105 STREET,219600,,,,2006
625832.0,D1  -ELEVATOR,297.18,11574,3349000.0,83 1 AVENUE,597797,634788.0,409.09,1-00437-0020,1900
761987.0,D1  -ELEVATOR,394.79,19924,4829000.0,135 DIVISION STREET,1031266,778219.0,353.28,1-00344-0044,1988
2316517.0,D9  -ELEVATOR,372.81,282900,12882000.0,280 PARK AVENUE SOUTH,15867861,3729573.0,330.92,1-00818-0010,1986
3419632.0,D3  -ELEVATOR,170.49,35516,11172000.0,125 WEST 82 STREET,1425967,3919768.0,164.74,1-01216-0051,1912
1931032.0,D1  -ELEVATOR,292.5,136404,11113000.0,441 5 AVENUE,7297614,477750.0,284.41,1-00915-0056,1986
1756283.0,D9  -ELEVATOR,354.3,112888,7245000.0,133 WEST 22 STREET,6559922,875921.0,244.94,1-00772-0016,2008
5473786.0,D3  -ELEVATOR,320.64,8347,17905000.0,266 EAST 10 STREET,448818,649256.0,273.08,1-00437-0009,2007
395397.0,D3  -ELEVATOR,312.12,97000,3844000.0,124 EAST 79 STREET,4657940,7555394.0,340.73,1-01426-9035,1985
5064550.0,D1  -ELEVATOR,320.64,23605,17905000.0,85 AVENUE A,1174349,4527158.0,238.46,1-00462-0035,1991
546413.0,D1  -ELEVATOR,310.01,24059,2663000.0,16 DESBROSSES STREET,1079046,1513688.0,355.47,1-00504-0036,1940
2163108.0,D1  -ELEVATOR,83.59,32483,6921000.0,2132 2 AVENUE,1491619,1069695.0,170.92,1-01680-0019,2006
3722176.0,D1  -ELEVATOR,290.41,91143,12758000.0,333 EAST 75 STREET,4372130,2009847.0,321.28,1-01424-0029,1961
1511765.0,D1  -ELEVATOR,43.93,70316,5516000.0,150 FEATHERBED LANE,1096930,965960.0,44.29,2-02866-0091,2009
1808341.0,D3  -ELEVATOR,146.92,42273,8611000.0,1635 LEXINGTON AVENUE,1859589,1633455.0,120.49,1-01624-0021,2013
455834.0,D3  -ELEVATOR,335.35,6345,3844000.0,21 EAST 74 STREET,351259,8701902.0,340.73,1-01426-9035,1912
1282335.0,D1  -ELEVATOR,294.13,12888,6438000.0,48 EAST END AVENUE,701236,644947.0,265.01,1-01579-0011,1910
754286.0,D3  -ELEVATOR,164.74,55226,4210000.0,20 WEST 84 STREET,2457557,1657670.0,170.49,1-01211-0052,1924
1138654.0,D1  -ELEVATOR,57.98,76000,6226000.0,835 RIVERSIDE DRIVE,1482000,981540.0,72.95,1-02134-0085,1920
1292051.0,D3  -ELEVATOR,225.48,196737,7909000.0,401 EAST 89 STREET,8414441,857800.0,263.85,1-01554-0043,1963
467794.0,D5  -ELEVATOR,297.01,85234,2833000.0,184 THOMPSON STREET,3899456,1931355.0,322.37,1-00558-0044,1910
760554.0,D1  -ELEVATOR,45.38,72000,2763000.0,3044 3 AVENUE,1041120,1837253.0,39.67,2-02664-0061,2006
1741233.0,D1  -ELEVATOR,109.77,165106,5452000.0,301 WEST 108 STREET,5268532,1374993.0,119.32,1-01883-0014,1920
689218.0,C1  -WALK-UP,39.9,48023,2463000.0,2792 SEDGWICK AVENUE,875940,887194.0,28.84,2-03248-0014,2006
2412612.0,D6  -ELEVATOR,263.65,77179,7054000.0,221 WEST 77 STREET,4649263,11594162.0,161.52,1-01186-0025,2017
1842049.0,D1  -ELEVATOR,109.84,10897,8611000.0,225 EAST 111 STREET,488295,2095270.0,79.02,1-01644-0008,2008
,D9  -ELEVATOR,377.56,150994,,425 WEST 53 STREET,9485443,9771274.0,261.98,1-01492-0036,2007
446119.0,C1  -WALK-UP,315.02,20670,2341000.0,58 WEST 106 STREET,716216,449541.0,178.17,1-01840-0056,1910
908263.0,D3  -ELEVATOR,195.63,132205,4043000.0,135 EAST 54 STREET,6332620,4732903.0,198.2,1-01362-0012,1951
5924562.0,D6  -ELEVATOR,305.86,133164,38048000.0,301 EAST 50 STREET,7485148,10661893.0,313.98,1-01023-0061,2014
1340779.0,D1  -ELEVATOR,55.7,95061,5924000.0,3900 GREYSTONE AVENUE,1756727,2727000.0,55.45,2-05845-1799,1928
975442.0,D5  -ELEVATOR,397.39,24910,4611000.0,57 BOND STREET,1164044,2251028.0,292.81,1-00570-0008,2002
1158536.0,D1  -ELEVATOR,286.28,238624,5348000.0,135 WEST 52 STREET,12398903,1689739.0,177.58,1-01036-0054,1987
2277953.0,D5  -ELEVATOR,277.11,8129,14265000.0,513 HUDSON STREET,500421,3293460.0,299.36,1-00634-0047,1988
,D6  -ELEVATOR,99.67,412000,,2373 BROADWAY,22223280,15731700.0,264.74,1-01242-9055,1987
,D3  -ELEVATOR,340.73,247818,,165 EAST 66TH ST,13905068,2957078.0,332.26,1-01439-0042,1957
993050.0,D5  -ELEVATOR,325.21,18411,7561000.0,24 WEST 30 STREET,742700,2398591.0,254.47,1-00888-0031,1910
3630528.0,D1  -ELEVATOR,355.47,20752,21862000.0,116 WOOSTER STREET,812648,1711822.0,310.01,1-00506-0016,1907
,C1  -WALK-UP,264.99,7812,,715 9 AVENUE,348259,264971.0,232.93,1-01058-0104,1901
955403.0,D5  -ELEVATOR,397.39,290492,4611000.0,14 WEST 4 STREET,13295819,2203597.0,292.81,1-00570-0008,1908
2077082.0,D7  -ELEVATOR,132.13,190553,9597000.0,311 WEST 127 STREET,6276816,2403204.0,144.66,1-01932-0033,2009
1041210.0,D1  -ELEVATOR,219.03,9335,4942000.0,8 WEST 65 STREET,469551,416229.0,279.54,1-01126-0026,1983
