total_units_2,estimated_expense,gross_income_per_sqft,gross_income_per_sqft_1,net_operating_income,estimated_gross_income_1,total_units_1,full_market_value_1
28.0,2267744,38.48,38.92,5745370,867527,24,5337000
,78900,21.96,21.96,140700,327094,36,1525000
23.0,207175,51.65,51.65,390622,1063990,47,6122000
22.0,291687,51.76,51.76,739579,1361288,35,10383000
95.0,4141656,56.09,55.01,11726205,578265,23,3919000
67.0,369366,40.15,40.15,1056601,1495628,37,6351000
11.0,2232933,53.5,53.5,5064681,1899678,45,10386000
19.0,1133396,58.11,58.11,5426526,2407091,51,14676000
25.0,104922,53.77,56.58,343896,793365,13,4496000
148.0,1085430,48.02,47.03,3572510,2938058,42,19499000
86.0,396800,49.75,52.55,777549,736856,13,4496000
70.0,312045,44.85,44.37,767001,1963639,86,13720000
29.0,236801,45.92,45.67,1254818,2398588,48,4390000
52.0,1559457,47.97,46.21,2812673,1115094,35,7008000
54.0,431740,15.6,15.6,665190,1123200,65,3163000
40.0,596895,43.99,42.64,1262694,2008600,43,6921000
148.0,83627,55.36,55.01,267632,747036,20,4554000
20.0,199635,54.41,55.22,501601,1041007,30,5545000
37.0,1092370,44.5,44.94,1365187,4338777,67,15905000
39.0,652080,19.5,19.5,829920,1044869,43,3107000
28.0,3429126,42.77,42.77,4985315,1191016,35,6279000
69.0,944393,45.75,45.5,2955063,1062562,42,6936000
120.0,563760,14.46,14.46,477360,1084008,62,3402000
37.0,1748473,31.91,32.1,3520059,581652,18,1989000
38.0,394269,18.24,18.67,481671,784140,41,1676000
116.0,1193187,60.24,58.76,3456076,7725530,134,34663000
48.0,129892,44.81,45.01,358403,1916076,48,4676000
72.0,1629225,62.82,63.3,7856218,13753887,71,82036000
15.0,291860,34.65,34.49,424356,256192,16,2340000
79.0,1628766,47.9,47.38,4703854,1432061,34,5913000
217.0,2096001,56.21,56.21,5389147,8884721,145,48345000
127.0,788056,18.48,18.71,968671,2520293,127,7503000
54.0,464821,46.73,47.92,699223,1264225,43,10484000
30.0,4939517,51.96,52.92,7459386,1348507,38,7295000
62.0,109254,61.56,62.78,391167,3214336,53,14188000
295.0,5718560,53.94,53.94,16504720,7381311,76,13639000
71.0,3893221,56.11,61.52,10011847,9609424,148,53222000
71.0,251678,40.34,41.44,491022,1063226,37,8344000
86.0,300489,39.16,39.16,512159,1321650,70,11997000
11.0,125383,44.58,45.96,222876,456153,20,2630000
54.0,4784403,45.77,46.96,8511416,1238899,43,10484000
47.0,1286233,32.94,32.48,4990583,1646931,38,6700000
12.0,157201,50.3,50.45,312350,1902772,49,8261000
28.0,873500,53.37,53.37,1573675,3413332,69,16212000
24.0,565755,49.63,49.63,1673352,1005950,34,7720000
284.0,2718121,51.27,51.27,9378933,9053462,259,57355000
20.0,235752,45.12,47.12,665700,522655,24,5373000
20.0,3789455,36.97,36.97,5959756,382455,15,938000
19.0,1315640,55.6,55.65,4363678,5665170,89,17905000
25.0,335976,25.94,28.14,366298,645250,21,3025000
70.0,73795,25.68,26.5,75894,317126,35,2663000
23.0,30092,47.11,47.11,124335,886987,26,7331000
42.0,211480,27.0,27.29,405146,1431251,53,9079000
86.0,633991,40.0,40.0,929489,478680,35,2663000
123.0,1460201,50.86,51.54,4612229,2464643,70,16003000
,1265656,14.3,14.3,1223874,2585921,204,8125000
24.0,182199,53.97,55.91,387185,806110,20,5389000
55.0,276909,22.4,24.02,549024,573646,22,2868000
76.0,377117,29.48,29.21,546256,996762,41,1695000
90.0,910958,48.68,48.68,2335414,2839261,71,19379000
30.0,2017673,29.74,29.74,2775106,1276560,41,4078000
30.0,1951737,60.11,59.54,4620751,507579,12,3069000
39.0,937320,63.99,63.99,3274694,2650658,51,14676000
18.0,178626,28.07,28.31,274312,1577575,72,8008000
35.0,78660,52.76,51.84,222072,559094,24,2375000
51.0,260278,47.47,47.47,675735,1344398,28,7097000
12.0,128051,47.78,44.66,282571,423600,14,2203000
45.0,849517,46.81,46.81,1974764,1802185,43,6325000
69.0,662997,58.29,58.48,1128663,3148271,104,14687000
43.0,2856290,56.09,52.48,7106977,736032,16,3433000
71.0,1907907,53.85,53.85,5441218,2240322,39,7628000
70.0,459651,42.43,43.24,1471338,517453,35,2663000
17.0,169349,52.38,52.38,325380,711320,20,4554000
89.0,308896,46.88,49.68,703056,696613,13,4496000
16.0,496485,35.45,33.04,673755,974680,35,4140000
125.0,2070363,39.42,38.62,3648888,6234118,116,29417000
309.0,3867277,42.34,42.91,9025676,10461544,217,82124000
25.0,327308,48.16,51.07,603769,569941,11,3569000
16.0,400111,38.9,38.08,1002078,1670608,35,8925000
38.0,1098430,55.04,55.04,2677809,771936,16,3433000
70.0,3220992,59.38,59.38,10658727,4401246,72,14256000
25.0,370830,49.42,49.42,1278711,2047125,51,14676000
42.0,1373815,50.94,51.04,2454530,2730640,62,16016000
170.0,9193317,57.18,57.18,29890242,16467840,302,106883000
56.0,2438220,51.33,50.69,6894652,1064490,25,6713000
146.0,254249,35.24,35.24,280342,792900,50,6636000
45.0,1886137,48.15,48.01,4304557,448509,11,2657000
40.0,144414,38.6,38.43,927585,3302751,38,11172000
87.0,520077,19.19,19.19,845215,1823050,92,5216000
123.0,238070,22.47,22.47,327410,3026776,127,7503000
142.0,297907,19.85,19.56,430350,608805,37,3514000
19.0,210828,47.77,47.83,465547,4869094,89,17905000
