objectid,globalid,woequipment,geometry,bin,longitude,:@computed_region_efsh_h5xi,citycouncil,wocontract,:@computed_region_f5dn_yrer,statesenate,congressional,woproject,inspectionglobalid,parkzone,wostatus,buildingnumber,location,crossstreet1,zipcode
22852303,B4C93A11-84C5-4659-9DB8-760B86C180BF,,POINT(-73.97758652619916 40.73393375224168),,,11729.0,4.0,BP-M24,71,27.0,12.0,Block Pruning,A5CB1DE1-6C18-4E09-A2DC-5EC7F86BE9A5,,Open,510,"{'type': 'Point', 'coordinates': [-73.97758652619916, 40.73393375224168]}",20 ST LOOP,10010.0
22212833,F635C9F8-558D-4625-9607-732C3939643C,,POINT(-73.78066737946939 40.67564917241486),,,24669.0,28.0,BP-Q24,41,10.0,5.0,Block Pruning,54633BEC-2032-4A7E-B8AA-AECAFB455822,,Open,160-07,"{'type': 'Point', 'coordinates': [-73.78066737946939, 40.67564917241486]}",129 AV,11434.0
23544366,AF5FE957-E4DA-4C82-81B1-67732B2C06D4,,POINT(-73.86366182319846 40.8287334836229),,,11610.0,18.0,BP-X24,58,34.0,14.0,Block Pruning,47152B6E-864A-471C-8BB2-6835E848E561,,Open,1118,"{'type': 'Point', 'coordinates': [-73.86366182319846, 40.8287334836229]}",THIERIOT AV,10472.0
11138759,17883164-F13C-4EBE-B196-B091A89BD639,,POINT(-73.90560137415326 40.813778933819286),,,10933.0,,BP-X23,49,,,,7F449350-57AF-497F-AC8F-E3BB4EC38BE9,,Open,*,"{'type': 'Point', 'coordinates': [-73.90560137415326, 40.813778933819286]}",,
11157745,16608AA6-BAA5-4334-9795-88DEB17820D4,,POINT(-73.79513809326946 40.668176225046224),,,24671.0,,BP-Q20,41,,,,E9ECCC54-7194-4804-9257-409EFE2BF492,,Open,*,"{'type': 'Point', 'coordinates': [-73.79513809326946, 40.668176225046224]}",,
11160792,0125E4DA-22D4-4C59-BCE4-8EBD1D5FF6E3,,POINT(-73.79542878102342 40.66869754917428),,,24671.0,,BP-Q20,41,,,,52FE114C-0A11-4582-88D8-7D28078BDCA9,,Open,*,"{'type': 'Point', 'coordinates': [-73.79542878102342, 40.66869754917428]}",,
21290329,6FC38E78-2BC1-4A46-93B9-7020467A3C4F,,POINT(-73.76894073375422 40.668157940474636),,,24669.0,31.0,BP-Q23,41,10.0,5.0,Block Pruning,C08A7B27-3903-4EDA-886F-21471D1E160D,,Open,169-49,"{'type': 'Point', 'coordinates': [-73.76894073375422, 40.668157940474636]}",144 AV,11434.0
26113544,4AE696AB-6CF8-44FB-862A-25671684C55C,,POINT(-74.01181475787514 40.63045257256114),,,18180.0,,TRS-B25,10,,,,A75D9E77-C1CA-4D48-91C6-44D823417794,,Open,,"{'type': 'Point', 'coordinates': [-74.01181475787514, 40.63045257256114]}",,
13552597,CADA357D-BDC5-4B17-A3E2-854E09C0790A,,POINT(-73.8845280234447 40.90778915371097),,,25286.0,,,27,,,,EC1AFADC-36B6-4DFA-AD60-B8FFBDCF10C2,X092-ZN20,Open,/,"{'type': 'Point', 'coordinates': [-73.8845280234447, 40.90778915371097]}",,
13933150,B0D0E90C-67CC-493E-8D6B-8F3944598BDA,,POINT(-73.77691105174742 40.73613299320304),,,14507.0,,TRS-Q21,25,,,,712C750D-5AB1-432E-A81B-B8CD949F54E5,,Open,/,"{'type': 'Point', 'coordinates': [-73.77691105174742, 40.73613299320304]}",,
