acquisition,material,secondary_artist_first,location_name,subject_keyword,secondary_architect_first
"Gift of Daniel Willis James and Theodore Roosevelt, Sr.","Bronze, granite",,Union Square Park,"Fountain, Temperance Movement",
Gift of the Red Cross,Granite,,Central Park,"World War I, World War II, Women, woman, War, Healthcare, Medical Service",
Gift of the New York Joint Legislative Committee for the American Jewish Tercentenary Committee,"Bronze, granite, steel",,Peter Minuit Plaza,"Immigration, Immigrants, Jewish",
Gift of Bronx Venture Corporation,Cor-Ten Steel,,Fox Playground,"Puerto Rico, Puerto Rican, Latinx, Latin American, Nature, West Indies",
Gift of The Hungarian American Memorial Committee,Granite,,Riverside Park,"Hungarian, Hungary, Revolution, Hungarian Revolution of 1956",
Commissioned through Department of Cultural Affairs Percent for Art Program,Vermilion granite,,,Flight 587,
Gift of the New England Society,"Bronze, granite",,Central Park,"Colonial, English",
Gift of John C. Hamilton,Granite,,Central Park,"Politician, Public Servant, American Revolutionary War",
"Gift of the city of Naples, Italy","Marble, bronze",,Central Park,Musician,
Gift of National Maine Monument Fund,"Bronze, granite",Charles,Central Park,"Allegorical, Maritime, Spanish-American War, equestrian, War",
Gift of the son and daughters of Samuel and Minnie Untermeyer,"Bronze, limestone",,Central Park,"Dance, Fountain, German",
Gift of Estate of Julia L. Butterfield,"Bronze, granite",,Sakura Park,"Military, American Civil War, War, Businessman",
Commissioned by The City of New York through The Temporary Emergency Relief Administration,Indiana limestone,,Prospect Park Zoo,"Children, Literary Character, WPA",
Gift of Saint Andrew's Society and Scottish-Americans,"Bronze, granite",,Central Park,"Poet, Scottish, Author",
Commissioned through Department of Cultural Affairs Percent for Art Program,Brick,,Police Plaza Path,Mosaic,
Gifted by The City of Brooklyn,Bronze,William,Soldiers' and Sailors' Arch,"American Civil War, President of the United States, War",
Gift of the Sons of the Revolution and the New York Historical Society,Granite,,City Hall Park,"American Revolutionary War, Colonial, War",
Gift of the Sons of the Revolution,"Bronze, gray granite",,City Hall Park,"Declaration of Independence, American Revolutionary War, Colonial, War",
Gift of the Department of Parks and Recreation,Deer Isle granite,,Riverside Park,Landmark,
Gift of French Residents in New York,"Bronze, granite",,Union Square Park,"American Revolutionary War, Colonial, French, Military, War",
Gift of the New York Times,Stainless steel,,Theodore Roosevelt Park,"Abstract, Time Capsule",
Gift of Westinghouse Electric Corporation,Granite,,Flushing Meadows Corona Park,"1939-40 World's Fair, 1964-65 World's Fair, World's Fair, Time Capsule",
Gift of G.A.R. (Grand Army of the Republic),Granite,,Flushing Greens,"American Civil War, War",
Gift of Dr. Louis and Berta E. Dreyfus,Bronze,,Hero Park,"World War I, War",
Commissioned through Department of Cultural Affairs Percent for Art Program,"Paving, concrete, terrazzo",,East River Playground,Pier,
Gift of Albert and Mary Lasker Foundation,Bronze,,,"Politician, Mayor, Veteran, World War II, Public Servant, Ambassador, War",
Gift of the Chamber of Commerce of the State of New York,"Bronze, granite",,Bryant Park,"Abolitionist, Christian, Philanthropist, Politician, Reformer, Temperance Movement",
Gift of the American Society of Civil Engineers,"Bronze, granite",,City Hall Park,"Engineering, Museum",
Gift of the Yosians,"Bronze, granite",,Van Cortlandt Park,"Naturalist, Environmentalist, preservationist, journalist",
Gift of The Brooklyn Bridge Plaza Association,"Bronze, natural boulder",,Brooklyn Bridge Park,"American Revolutionary War, Colonial, War",
Gift of the Henry Cogswell and the Moderation Society,"Bronze, granite",,Tompkins Square Park,"Fountain, Mythology, Temperance",
Gift of The Seawanhaka Democratic Club,"Limestone, granite",,McLaughlin Park,"World War I, War",
Gift of The National Society Colonial Daughter's of The Seventeenth Century,"Bronze, natural boulder",,Old Gravesend Cemetery,"Woman, Colonial",
Gift of American Legion Post 517,"Bronze, natural boulder",,Staats Circle,"World War I, War",
Gift of Sigel Monument Association,"Bronze, granite",,Riverside Park,"Military, Equestrian, Immigrant, American Civil War, War, Veteran, German American",
Gift of the American Legion,Marble,,Memorial Gore,"World War I, War",
Gift of People of Glendale,"Bronze, Georgia Granite",,Glendale Veterans Triangle,"World War I, War",
Purchased with T.E.R.A. Funds,Indiana limestone,,Central Park Zoo,"Animals, WPA",
Gift by Act of the New York State legislature,Marble,,Riverside Park,"American Civil War, Soldier, Sailor",
Commissioned through Department of Cultural Affairs Percent for Art Program,Granite,,Xu Bing Park,"Asian, East Asian, Benches, Chinese, Poetry",
Gift of The Andrew H. Green Memorial Association,Marble,,Central Park,"Philanthropist, Politician",
Gift of Scottish Americans,"Bronze, Aberdeen granite",,Central Park,"Author, Poet, Scottish",
Gift of Holy Cross Church & The Neighborhood Opportunity Center,"Granite, bronze",,McCaffrey Playground,"Religious leader, Catholic, NYPD, Veteran, World War I, War",
"Gift of the Jamaica Estates Association, Inc.","Bronze, granite, natural stone",,Midland Malls,"World War II, War",
Gift of Grand Lodge F. & A. Masons,"Bronze, North Carolina pink Granite",,Flushing Meadows Corona Park,"President of the United States, American Revolutionary War, War, Colonial",
Gift of Frederick W. MacMonnies,"Bronze, pink granite",,Prospect Park Zoo,Animals,
"Gift of St. Marks Avenue Independent Block Association Inc., Friends of Brower Park",Bronze,,Brower Park,"Women, African American, Black American, Black History, Politician, woman",
Commissioned through Department of Cultural Affairs Percent for Art Program,"Bronze, marble, granite",K.O.S.,Horizon Juvenile Center,Mythology,
Commissioned through Department of Cultural Affairs Percent for Art Program,Bronze,,Frederick Douglass Circle,"Abolitionist, African American, Black American, Black History, author",
Gift of Citizens of the Fifth Ward (original); City of New York (replacement),"Bronze, black granite",Diane and Glenn,Pleasant Plains Plaza,"Allegorical, World War I, War",
Gift of Citizens of New Dorp,"Bronze, natural stones",,,"World War I, War",
Gift of The Robert F. Kennedy Ad Hoc Memorial Committee,"Bronze, granite",,Columbus Park,"Politician, public servant, Reformer, United States Attorney General, lawyer, Senator",
Commissioned through Department of Cultural Affairs Percent for Art Program,"LEDS, structural steel, stainless steel, reflectors",,Hamilton Avenue Bridge,Abstract,
Commissioned through Department of Cultural Affairs Percent for Art Program,Bronze,,Staten Island Zoo,Animals,
Gift of American Legion Association,"Concrete, bronze",,Mall Eighteen,"World War I, War",
Gift of the Association for a Better New York,Cor-ten steel,,Bellevue South Park,Abstract,
Gift of the Chelsea Memorial Committee,"Bronze, granite",,Chelsea Park,"Doughboy, World War I, War",
Commissioned through Department of Cultural Affairs Percent for Art Program,"Stainless steel, tempered glass",,Staten Island Courthouse,"Abstract, Immigration, Immigrants",
Purchased with Works Progress Administration Funds,Stone,,Crotona Pool Bath House,"Animals, WPA, Bathhouse",
"Gift of Federation of Jewish Women's Organizations, Inc.","Bronze, Israel limestone",,Battery Park,"Writer, Patriot, Jewish, Woman",
Purchased with Works Progress Administration Funds,"Bronze, cast stone",,Columbus Square,"Explorer, Italian, Colonialism",
"Gift of The American Society of Mechanical Engineers (ASME); The Institute of Mining, Metallurgical and Petroleum Engineers (AIME); and the American Society of Civil Engineers (ASCE)",Bronze on limestone,,Washington Square Park,"Inventor, Engineer",
Gift of Roscoe Conkling's Friends,"Bronze, Quincy granite",,Madison Square Park,"Politician, public servant, lawyer, Congressman, Senator",
Gift of C.K.G. Billings and the American Scenic and Historic Preservation Society,"Bronze, granite",,Fort Tryon Park,American Revolutionary War,
Gift of The City of Brooklyn,"Bronze, granite",,Fowler Square,"American Civil War, War",
Gift of Ukrainian-Americans of New York,Granite,,Abe Lebewohl Park,"Ukrainian, World War II, War",
Gift of Friends of Chester Alan Arthur,"Bronze, granite",,Madison Square Park,"President of the United States, Vice President of the United States, politician, lawyer",
,Bronze,,Rockaway Beach Boulevard at Beach 94th Street,"War, Veterans, Vietnam War",
Commissioned by The City of Brooklyn,"Bronze, granite",,Prospect Park,"Equestrian, animals",
Gift of Louise Nevelson,Cor-Ten steel,,Park Avenue Malls,Abstract,
"Gift of George T. Delacorte, George Delacorte Fund","Bronze, iron, brick, limestone",,Central Park,"Children, animals, philanthropist, clock",
"Gift of Corporal Walter J. Fufido Post No. 38, American Veterans of World War II and Korea (AMVETS)",Granite,Dominick,Corporal Fufidio Square,"World War II, Korean War, Vietnam War, War",
Gift of Eagle Fire Company and Friends,Marble,,James J. Walker Park,Firefighters,
