borough,staten_island_condominium_property_full_market_value,comparable_rental_2_gross_income_per_sqft,comparable_rental_1_building_classification,staten_island_condominium_property_gross_sqft,comparable_rental_2_full_market_value,comparable_rental_1_neighborhood,comparable_rental_1_full_market_value
5,1312004,,C9-WALK-UP,35212,,NEW SPRINGVILLE,2070000
5,1471000,11.98,D1-ELEVATOR,38700,3070000.0,ROSEBANK,2670000
5,3696014,,D5-ELEVATOR,78903,,GRASMERE,3070000
5,1677995,,D5-ELEVATOR,51552,,GRASMERE,3070000
5,1922658,,C9-WALK-UP,47880,,NEW SPRINGVILLE,2070000
