dbn,school_name,fax_number,program2,directions4,seats108,grade9geapplicantsperseat10,girls,grade9swdapplicantsperseat3,nta,school_10th_seats,seats9swd6,seats3specialized,seats9ge2,seats9swd9,graduation_rate,council_district,requirement3_7,seats9ge4,auditioninformation1,grade9swdapplicants4,requirement3_3,latitude,requirement4_2,appperseat2specialized,grade9swdfilledflag4,seats9ge10,program5,appperseat5specialized,admissionspriority15,admissionspriority36,diplomaendorsements,grade9gefilledflag8,grade9swdfilledflag1,admissionspriority13,admissionspriority54,applicants1specialized,program1,program9,grade9swdapplicantsperseat2,seats9swd4,offer_rate1,admissionspriority52,common_audition1,admissionspriority19,requirement5_1,applicants3specialized,admissionspriority61,admissionspriority25,seats2specialized,longitude,offer_rate6,applicants5specialized,seats9swd8
29Q259,Pathways College Preparatory School: A College Board School,718-454-4892,Pathways College Preparatory School: A College Board School,,,,,,Hollis                                                                     ,,,,69.0,,0.700999975,27.0,,,,,,40.70599,,,,,,,,,,,,,,,Continuing Eighth Grade Program,,1.0,,,,,,,,,,,-73.7529,,,
05M369,Urban Assembly School for the Performing Arts,212-234-4975,,,,,,,Manhattanville                                                             ,1.0,,,,,0.76700002,7.0,,,,,,40.81575,,,,,,,,,Arts,,Y,,,,Urban Assembly School for the Performing Arts,,,,Â—67% of offers went to this group,,,,,,,,,-73.9555,,,
24Q560,"Robert F. Wagner, Jr. Secondary School for Arts and Technology",718-472-9117,Arts and Technology for Current Students,,,,,,Hunters Point-Sunnyside-West Maspeth                                       ,1.0,,,,,0.825999975,26.0,,,,,,40.74222,,,,,,,,,,,Y,,,,Arts and Technology for New Students,,,,Â—97% of offers went to this group,,,,,,,,,-73.9364,,,
12X521,The Metropolitan Soundview High School,718-860-8232,,,,,,,West Farms-Bronx River                                                     ,,,,,,0.75999999,18.0,,,,,,40.83251,,,,,,,,,,,N,,,,The Metropolitan Soundview High School,,,,Â—17% of offers went to this group,,,,,,,,,-73.8782,,,
31R605,Staten Island Technical High School,718-987-5872,,,,,,,New Dorp-Midland Beach                                                     ,1.0,,,,,0.99000001,50.0,,,,,,40.5683,,,,,,,,,"Math, Science",,,,,15490.0,Engineering,,,,,,,,,,,,,-74.1171,,,
19K683,"The School for Classics: An Academy of Thinkers, Writers and Performers",718-277-1873,Production,,,,,,East New York                                                              ,1.0,,,45.0,,0.805999994,42.0,,,,,,40.67002,,,,,,,,,,,Y,,,,Performance,,3.0,,Â—15% of offers went to this group,,,,,,,,,-73.8745,,,
26Q415,Benjamin N. Cardozo High School,718-631-7880,School of Journalism and Media Studies,,,,,38.0,Oakland Gardens                                                            ,1.0,,,84.0,,0.906000018,23.0,,56.0,,36.0,Attendance,40.75234,,,N,,Zoned,,Guaranteed offer to students who apply and live in the zoned area,,,,Y,,,,Mentor Law and Humanities Institute,,5.0,4.0,,,,,,,,,,-73.7573,,,
17K531,The School for Human Rights,718-771-4815,,,,,,,Prospect Lefferts Gardens-Wingate                                          ,1.0,,,,,0.81099999,40.0,,,,,,40.65867,,,,,,,,,Science,,N,,,,The School for Human Rights,,,,Â—36% of offers went to this group,,,,,,,,,-73.9438,,,
24Q296,Pan American International High School,718-271-4041,,,,,,,Elmhurst                                                                   ,1.0,,,,,0.758000016,25.0,,,,,,40.74323,,,,,,,,,,,N,,,,Pan American International High School,,,,,,,,,,,,,-73.8715,,,
03M417,Frank McCourt High School,212-362-5926,,,,,,,Upper West Side                                                            ,1.0,,,,,0.921000004,6.0,,,,,,40.78613,,,,,,,,,,,Y,,,,Frank McCourt High School,,,,,,,,Online essay submission,,,,,-73.9745,,,
