source_relation,date_day,organization_id,organization_name,campaign_id,campaign_name,ad_group_id,ad_group_name,keyword_id,keyword_text,match_type,currency,keyword_status,taps,new_downloads,tap_new_downloads,redownloads,tap_redownloads,total_downloads,tap_total_downloads,conversions,tap_installs,impressions,spend
"",2025-02-11,3219110,Tip Tap Cat,973923054,Tap Away,976005125,Kitty Cat Tap,983951504,game,BROAD,USD,ACTIVE,16,4,4,0,0,4,4,4,4,187,8.18
"",2022-06-15,3219110,Tip Tap Cat,973923054,Tap Away,983960446,Premium Users,983951517,kids,EXACT,USD,PAUSED,20,6,6,0,0,6,6,6,6,199,5.56
"",2024-01-25,3219110,Tip Tap Cat,973923054,Tap Away,983960442,Bored Ad Group,983951491,im bored,BROAD,USD,ACTIVE,1,0,0,0,0,0,0,0,0,15,17.25
"",2024-02-22,3219110,Tip Tap Cat,973923054,Tap Away,983960442,Bored Ad Group,983951499,photo,EXACT,USD,PAUSED,3,0,0,0,0,0,0,0,0,35,1.04
"",2025-04-10,3162550,Joseph Markiewicz,973923055,Summer Special,983960448,High Value,983951524,music,EXACT,USD,ACTIVE,12,4,4,0,0,4,4,4,4,100,5.85
"",2024-05-11,3219110,Tip Tap Cat,973923054,Tap Away,983960443,Retargeting,983951508,family,EXACT,USD,PAUSED,1,1,1,0,0,1,1,1,1,104,9.4
"",2025-09-22,3219110,Tip Tap Cat,973923054,Tap Away,983960447,Retargeting,983951520,fun,BROAD,USD,ACTIVE,3,1,1,0,0,1,1,1,1,97,11.84
"",2023-09-05,3219111,Gaming Studio,973923061,New Feature,983960463,Budget Segment,983951565,play,EXACT,USD,PAUSED,1,1,1,0,0,1,1,1,1,37,2.39
"",2024-05-23,3162550,Joseph Markiewicz,973923055,Summer Special,983960448,High Value,983951523,puzzle,BROAD,USD,PAUSED,3,1,1,0,0,1,1,1,1,87,6.22
"",2021-12-13,3219110,Tip Tap Cat,973923054,Tap Away,976005125,Kitty Cat Tap,976093309,cat games for cats,BROAD,USD,ACTIVE,0,0,0,0,0,0,0,0,0,35,0
