total_elderly_single_person_families,total_fixed_income_families,total_families_1_or_more_employed,total_families_on_welfare_as_percent_of_families,total_single_parent_grandparent_families_with_minors,residents_50_to_61
10,28,2800,37.35,20,19
336,799,72400,21.8,405,619
100,288,30600,20.91,169,217
37851,64488,5416100,15.3,28329,39262
35343,60097,5053500,15.37,26428,36556
2508,4391,362600,14.37,1901,2706
