residents_14_to_17,program,total_minors_as_percent_of_population,residents_under_4,total_male_headed_hoh_62_years_and_over,total_families_1_or_more_employed_as_percent_of_families
36,STATEN ISLAND,36.94,8,7,33.73
633,STATEN ISLAND,27.36,186,409,33.65
6916,BROOKLYN,23.66,2268,4704,39.5
1970,QUEENS,23.65,807,1689,39.22
454,FORMER NEW YORK CITY,24.12,187,300,37.28
