bldgav_org,actabtpyr,leasearea,max_abt,bldgsqft,tenant,assess_val,calcb4phs,basetxbxrt,adjtaxchg,leaseenddt,appstat,newbldgtax,actabtpcyc,tenantstat
0,0.0,0,0.0,0,,0,0.0,0.0,0.0,,,0.0,0.0,
0,0.0,0,0.0,0,,0,0.0,0.0,0.0,,,0.0,0.0,
0,0.0,0,0.0,0,,0,0.0,0.0,0.0,,,0.0,0.0,
0,0.0,0,0.0,0,,0,0.0,0.0,0.0,,,0.0,0.0,
0,0.0,0,0.0,0,,0,0.0,0.0,0.0,,,0.0,0.0,
0,0.0,0,0.0,0,,0,0.0,0.0,0.0,,,0.0,0.0,
0,0.0,0,0.0,0,,0,0.0,0.0,0.0,,,0.0,0.0,
0,0.0,0,0.0,0,,0,0.0,0.0,0.0,,,0.0,0.0,
0,0.0,0,0.0,0,,0,0.0,0.0,0.0,,,0.0,0.0,
0,0.0,0,0.0,0,,0,0.0,0.0,0.0,,,0.0,0.0,
0,0.0,0,0.0,0,,0,0.0,0.0,0.0,,,0.0,0.0,
0,0.0,0,0.0,0,,0,0.0,0.0,0.0,,,0.0,0.0,
0,0.0,0,0.0,0,,0,0.0,0.0,0.0,,,0.0,0.0,
0,0.0,0,0.0,0,,0,0.0,0.0,0.0,,,0.0,0.0,
0,0.0,0,0.0,0,,0,0.0,0.0,0.0,,,0.0,0.0,
0,0.0,0,0.0,0,,0,0.0,0.0,0.0,,,0.0,0.0,
0,0.0,0,0.0,0,,0,0.0,0.0,0.0,,,0.0,0.0,
0,0.0,0,0.0,0,,0,0.0,0.0,0.0,,,0.0,0.0,
0,0.0,0,0.0,0,,0,0.0,0.0,0.0,,,0.0,0.0,
0,0.0,0,0.0,0,,0,0.0,0.0,0.0,,,0.0,0.0,
0,0.0,0,0.0,0,,0,0.0,0.0,0.0,,,0.0,0.0,
0,0.0,0,0.0,0,,0,0.0,0.0,0.0,,,0.0,0.0,
0,0.0,0,0.0,0,,0,0.0,0.0,0.0,,,0.0,0.0,
0,0.0,0,0.0,0,,0,0.0,0.0,0.0,,,0.0,0.0,
0,0.0,0,0.0,0,,0,0.0,0.0,0.0,,,0.0,0.0,
0,0.0,0,0.0,0,,0,0.0,0.0,0.0,,,0.0,0.0,
