account_id,remote_ip,server_name,timestamp,user_agent,visitor_id,_fivetran_synced,app_id,num_events,num_minutes,page_id,_fivetran_id
month_train,2804:18:8b7:a18:1:0:d9e8:45d5,fivetran.com,2021-07-28 11:00:00,Mozilla/5.0 (Android 10; Mobile; rv:90.0) Gecko/90.0 Firefox/90.0,psychosis_skeptical,2021-07-28 20:14:19.861,-323232,21,4,allevents,
1sk7ccaeau_acc,37.19.197.209,fivetran.com,2021-07-18 14:00:00,Mozilla/5.0 (Android 11; Mobile; rv:89.0) Gecko/89.0 Firefox/89.0,do_over,2021-07-18 20:10:36.803,-323232,12,2,allevents,
billy_idol,97.118.51.167,fivetran.com,2021-07-21 04:00:00,Mozilla/5.0 (Android 11; Mobile; rv:90.0) Gecko/90.0 Firefox/90.0,foots_stool,2021-07-21 08:17:20.908,-323232,16,3,allevents,
good_day,97.118.51.167,fivetran.com,2021-07-21 02:00:00,Mozilla/5.0 (Android 11; Mobile; rv:90.0) Gecko/90.0 Firefox/90.0,foots_stool,2021-07-21 08:17:20.908,-323232,1,1,allevents,
white_wedding,97.118.51.167,fivetran.com,2021-07-22 12:00:00,Mozilla/5.0 (Android 11; Mobile; rv:90.0) Gecko/90.0 Firefox/90.0,foots_stool,2021-07-22 20:12:27.583,-323232,4,2,allevents,
ant_who,45.123.67.89,fivetran.com,2021-07-29 10:00:00,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,commemoration_salient,2021-07-29 20:15:30.234,-323232,18,5,allevents,
ant_who,45.123.67.89,fivetran.com,2021-07-28 09:00:00,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,commemoration_salient,2021-07-28 20:13:25.123,-323232,22,6,allevents,
ant_who,45.123.67.89,fivetran.com,2021-07-27 08:00:00,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,commemoration_salient,2021-07-27 20:11:20.012,-323232,15,4,allevents,
month_train,2804:18:8b7:a18:1:0:d9e8:45d5,fivetran.com,2021-07-29 12:00:00,Mozilla/5.0 (Android 10; Mobile; rv:90.0) Gecko/90.0 Firefox/90.0,psychosis_skeptical,2021-07-29 20:16:35.456,-323232,25,7,allevents,
month_train,2804:18:8b7:a18:1:0:d9e8:45d5,fivetran.com,2021-07-27 10:00:00,Mozilla/5.0 (Android 10; Mobile; rv:90.0) Gecko/90.0 Firefox/90.0,psychosis_skeptical,2021-07-27 20:12:30.345,-323232,19,5,allevents,
comedy_cras,192.168.1.100,fivetran.com,2020-12-26 11:00:00,Mozilla/5.0 (Macintosh; Intel Mac OS X 11_1_0) AppleWebKit/537.36,straddle_cloud,2020-12-26 20:10:15.234,-323232,14,3,allevents,
comedy_cras,192.168.1.100,fivetran.com,2020-12-27 12:00:00,Mozilla/5.0 (Macintosh; Intel Mac OS X 11_1_0) AppleWebKit/537.36,straddle_cloud,2020-12-27 21:18:20.345,-323232,17,4,allevents,
_etc_acc,10.20.30.40,fivetran.com,2020-12-12 10:00:00,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/537.36,confident_face,2020-12-12 20:30:25.456,-323232,11,2,allevents,
