location_name,community_district,location_category_description,x_coordinate,field_support_center_name,geographical_district_code,grades_final_text,borough_block_lot,primary_building_code
P.S. 008 Isaac Varian,207,Elementary,1016514.0,Field Support Center - Bronx,10,"0K,01,02,03,04,05",2032990060,X008
P.S. 115 Daniel Mucatel School,318,Elementary,1012589.0,Field Support Center - Brooklyn South,18,"PK,0K,01,02,03,04,05",3082560001,K115
Richard R. Green High School of Teaching,101,High school,980671.0,Field Support Center - Manhattan,2,"09,10,11,12",1000220013,M282
P.S. 043 Jonas Bronck,201,Elementary,1005956.0,Field Support Center - Bronx,7,"PK,0K,01,02,03,04,05",2022800040,X043
Brooklyn Theatre Arts High School,318,High school,1007307.0,Field Support Center - Brooklyn South,18,"09,10,11,12",3079980005,K515
Alfred E. Smith Career and Technical Education Hig,201,High school,1006407.0,Affinity Group,7,"09,10,11,12",2024110022,X600
J.H.S. 167 Robert F. Wagner,108,Junior High-Intermediate-Middle,995931.0,Field Support Center - Manhattan,2,"06,07,08",1014300005,M167
P.S. X114 - Luis Llorens Torres Schools,204,Elementary,1005475.0,Field Support Center - Bronx,9,"0K,01,02,03,04",2024950100,X114
P.S. 77 Lower Lab School,108,Elementary,997980.0,Field Support Center - Manhattan,2,"0K,01,02,03,04,05",1015240023,M198
P.S. 115 Alexander Humboldt,112,Elementary,1002195.0,Field Support Center - Manhattan,6,"0K,01,02,03,04,05",1021330040,M115
The Hunts Point School,202,Junior High-Intermediate-Middle,1016003.0,Field Support Center - Bronx,8,"06,07,08",2027630279,X074
Success Academy Charter School - Bronx 4 - New Yor,209,Elementary,1022998.0,,8,"0K,01,02,03,04,05",2036440001,X131
Bronx Center for Science and Mathematics,203,High school,1011149.0,Affinity Group,9,"09,10,11,12",2029250056,X002
P.S. 155 William Paca,111,Elementary,1001999.0,Field Support Center - Manhattan,4,"PK,0K,01,02,03,04,05",1016890005,M155
Forsyth Satellite Academy,103,High school,986892.0,Affinity Group,1,"09,10,11,12",1004220072,M510
South Bronx Preparatory: A College Board School,201,Secondary School,1006159.0,Field Support Center - Bronx,7,"06,07,08,09,10,11,12",2023060054,X149
WHIN Music Community,112,Elementary,1001610.0,,6,"0K,01,02,03,04,05",1021110024,M164
High School for Medical Professions,318,High school,1012391.0,Field Support Center - Brooklyn South,18,"09,10,11,12",3082220001,K500
P.S. 181 Brooklyn,317,K-8,999267.0,Field Support Center - Brooklyn South,17,"PK,0K,01,02,03,04,05,06,07,08",3049040010,K181
"H.E.R.O. High (Health, Education, and Research Occ",201,High school,1009848.0,Affinity Group,7,"09,10,11,12,13,14",2025760026,X655
P.S. 024,307,Elementary,982992.0,Field Support Center - Brooklyn North,15,"PK,0K,01,02,03,04,05",3007010001,K024
New York French American Charter School,110,Elementary,996921.0,,3,"0K,01,02,03,04,05,06,07,08,09,10,11,12",1019470023,MAVC
Soundview Academy for Culture and Scholarship,209,Junior High-Intermediate-Middle,1022998.0,Field Support Center - Bronx,8,"06,07,08",2036440001,X131
J.H.S. 218 James P. Sinnott,305,Junior High-Intermediate-Middle,1019054.0,Field Support Center - Brooklyn North,19,"06,07,08",3042780001,K218
