system_code,principal_name,status_descriptions,census_tract,highschool_network,principal_phone_number,geocoded_column
321000010008,CLAUDIA TAHIRAJ-SADRIJA,Open,41500.0,,718-584-3043,"{'type': 'Point', 'coordinates': [40.87225900000001, -73.883339]}"
331800010115,JONATHAN LEE,Open,100800.0,,718-241-1000,"{'type': 'Point', 'coordinates': [40.634861, -73.897896]}"
310200011580,Joan Weaver,Open,900.0,"ORLEN, VIVIAN",646-826-8174,"{'type': 'Point', 'coordinates': [40.705688, -74.013303]}"
320700010043,DR. GIOVANNA DELUCCHI,Open,2500.0,,718-292-4502,"{'type': 'Point', 'coordinates': [40.806452, -73.92159300000002]}"
331800011567,DAVID WARD,Open,95000.0,"PRAYOR, MICHAEL",718-968-1072,"{'type': 'Point', 'coordinates': [40.634451, -73.916927]}"
320700011600,Evan Schwartz,Open,6700.0,"CINTRON, RICHARD",718-993-5000,"{'type': 'Point', 'coordinates': [40.818645, -73.919949]}"
310200010167,Jennifer Rehn,Open,13400.0,,212-535-8610,"{'type': 'Point', 'coordinates': [40.771541, -73.957827]}"
320900010114,OLIVIA FRANCIS WEBBER,Open,6300.0,,718-681-7507,"{'type': 'Point', 'coordinates': [40.834979, -73.923297]}"
310200010077,Sandra Miller,Open,15801.0,,212-427-2798,"{'type': 'Point', 'coordinates': [40.785018, -73.95042]}"
310600010115,Boris Consuegra,Open,26100.0,,212-927-9233,"{'type': 'Point', 'coordinates': [40.846116, -73.93514]}"
320800010424,DAVID VAZQUEZ,Open,11700.0,,718-328-1972,"{'type': 'Point', 'coordinates': [40.815827, -73.885284]}"
320800861074,Shea Reeder,Open,4200.0,,646-558-0043,"{'type': 'Point', 'coordinates': [40.822925, -73.859998]}"
320900011260,EDWARD TOM,Open,14701.0,"CINTRON, RICHARD",718-992-7089,"{'type': 'Point', 'coordinates': [40.833884, -73.902794]}"
310400010155,MARCIA SULIT,Open,18800.0,,212-860-5885,"{'type': 'Point', 'coordinates': [40.797507, -73.935895]}"
310100011458,Patrick Reimer,Open,3601.0,"ROTONDO, PAUL",212-677-8900,"{'type': 'Point', 'coordinates': [40.722415, -73.990468]}"
320700011221,ELLEN FLANAGAN,Open,4300.0,"STAPLE, CARRON",718-292-2211,"{'type': 'Point', 'coordinates': [40.813612, -73.920851]}"
