bin,comparable_rental_1_total_units,comparable_rental_1_gross_sqft,comparable_rental_2_building_classification,comparable_rental_1_neighborhood,community_council
2083245.0,86,103392,D1-ELEVATOR,RIVERDALE,11.0
,36,43099,D1-ELEVATOR,KINGSBRIDGE HTS/UNIV HTS,
2005745.0,16,14355,C1-WALK-UP,MELROSE/CONCOURSE,17.0
2005804.0,25,21995,C7-WALK-UP,MORRISANIA/LONGWOOD,17.0
,19,11550,C7-WALK-UP,MOTT HAVEN/PORT MORRIS,
,118,94208,C1-WALK-UP,SOUNDVIEW,
2008370.0,42,40800,D1-ELEVATOR,HIGHBRIDGE/MORRIS HEIGHTS,14.0
2091875.0,96,87510,D1-ELEVATOR,KINGSBRIDGE/JEROME PARK,11.0
2002954.0,60,66162,D1-ELEVATOR,MELROSE/CONCOURSE,16.0
2004128.0,41,35814,,HIGHBRIDGE/MORRIS HEIGHTS,8.0
2008369.0,80,97000,D1-ELEVATOR,HIGHBRIDGE/MORRIS HEIGHTS,14.0
2083275.0,78,92782,,RIVERDALE,11.0
2003002.0,16,11425,C1-WALK-UP,MELROSE/CONCOURSE,16.0
,65,55780,C1-WALK-UP,BELMONT,
2091925.0,176,237000,D1-ELEVATOR,RIVERDALE,11.0
,56,69595,D3-ELEVATOR,KINGSBRIDGE/JEROME PARK,
,29,19950,C7-WALK-UP,MELROSE/CONCOURSE,
2095200.0,281,286346,D1-ELEVATOR,CROTONA PARK,11.0
2091858.0,204,222060,D3-ELEVATOR,EAST TREMONT,11.0
2084204.0,138,128500,D1-ELEVATOR,KINGSBRIDGE/JEROME PARK,11.0
2072463.0,216,257718,D1-ELEVATOR,MELROSE/CONCOURSE,12.0
,54,66368,D7-ELEVATOR,BRONXDALE,18.0
,25,17270,C1-WALK-UP,MORRISANIA/LONGWOOD,17.0
,84,76009,D1-ELEVATOR,RIVERDALE,
2019775.0,54,67084,D1-ELEVATOR,KINGSBRIDGE/JEROME PARK,11.0
2007497.0,31,21600,D9-ELEVATOR,MOUNT HOPE/MOUNT EDEN,15.0
2047874.0,73,81456,D1-ELEVATOR,MORRIS PARK/VAN NEST,15.0
2085774.0,123,134000,D3-ELEVATOR,RIVERDALE,11.0
2056289.0,256,255000,D1-ELEVATOR,BRONXDALE,15.0
2012615.0,40,39285,C1-WALK-UP,FORDHAM,17.0
,73,76000,D1-ELEVATOR,MOUNT HOPE/MOUNT EDEN,11.0
2005762.0,31,32710,C1-WALK-UP,WILLIAMSBRIDGE,17.0
,40,39285,C1-WALK-UP,FORDHAM,
2055700.0,78,82320,D1-ELEVATOR,BRONXDALE,12.0
2008611.0,33,29655,C1-WALK-UP,MOUNT HOPE/MOUNT EDEN,14.0
2045913.0,142,112000,,SCHUYLERVILLE/PELHAM BAY,13.0
2078259.0,123,134000,D1-ELEVATOR,RIVERDALE,13.0
2048801.0,73,81456,,MORRIS PARK/VAN NEST,13.0
,67,70704,D1-ELEVATOR,PELHAM PARKWAY SOUTH,15.0
,60,55000,C7-WALK-UP,MELROSE/CONCOURSE,
2015481.0,158,154656,D3-ELEVATOR,MOUNT HOPE/MOUNT EDEN,11.0
,27,20250,C1-WALK-UP,BELMONT,
2093522.0,142,125075,D3-ELEVATOR,BELMONT,12.0
2005981.0,14,11000,C7-WALK-UP,MORRISANIA/LONGWOOD,17.0
,26,26556,C7-WALK-UP,KINGSBRIDGE HTS/UNIV HTS,
