bronx_cooperatives_comparable_properties_boro_block_lot,bronx_cooperatives_comparable_properties_address,latitude,longitude,postcode,comparable_rental_1_boro_block_lot,comparable_rental_2_gross_income_per_sqft,borough,comparable_rental_2_address,comparable_rental_2_year_built,comparable_rental_2_total_units,bronx_cooperatives_comparable_properties_full_market_value,nta,bronx_cooperatives_comparable_properties_market_value_per_sqft,comparable_rental_2_gross_sqft
2-05716-0500,"{'latitude': '40.877230807923', 'longitude': '-73.917899032971', 'human_address': '{""address"": ""2500 JOHNSON AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.877162,-73.917861,10463.0,2-05792-0430,13.47,2,"{'latitude': '40.889952051174', 'longitude': '-73.915197373288', 'human_address': '{""address"": ""699 239 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1962.0,132.0,22800000,Spuyten Duyvil-Kingsbridge                                                 ,48.9,160000.0
2-03218-0074,"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""2265 DR"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",,,,2-03209-0065,8.06,2,"{'latitude': '40.861083442631', 'longitude': '-73.90884951969', 'human_address': '{""address"": ""2300 LORING PLACE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1927.0,47.0,1120000,,24.12,48500.0
2-02721-0042,"{'latitude': '40.816607228367', 'longitude': '-73.89665312146', 'human_address': '{""address"": ""1019 LONGWOOD AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.816566,-73.896621,10459.0,2-02426-0002,9.94,2,"{'latitude': '40.852074704658', 'longitude': '-73.889315714902', 'human_address': '{""address"": ""2220 ADAMS PLACE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1931.0,16.0,624000,Hunts Point                                                                ,34.1,14652.0
2-02727-0039,"{'latitude': '40.825929563903', 'longitude': '-73.891991861798', 'human_address': '{""address"": ""1111 SOUTHERN BOULEVARD"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.826341,-73.891926,10459.0,2-02699-0048,8.15,2,"{'latitude': '40.819030143579', 'longitude': '-73.889531627131', 'human_address': '{""address"": ""887 HUNT\'S POINT AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1925.0,25.0,504000,Hunts Point                                                                ,23.0,22120.0
2-02301-0004,"{'latitude': '40.810692987625', 'longitude': '-73.924626342746', 'human_address': '{""address"": ""330 139 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",,,,2-02301-0023,8.68,2,"{'latitude': '40.809352473685', 'longitude': '-73.92275747647', 'human_address': '{""address"": ""245 WILLIS AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1931.0,12.0,319000,,33.9,8735.0
2-05797-0213,"{'latitude': '40.888291972044', 'longitude': '-73.908047846175', 'human_address': '{""address"": ""525 238 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",,,,2-03737-0018,9.99,2,"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""4568 MANHATTAN COLLEGE PK"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1925.0,61.0,3960000,,33.6,63600.0
2-02861-0119,"{'latitude': '40.84872487509', 'longitude': '-73.912729781876', 'human_address': '{""address"": ""1780 DAVIDSON AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.848937,-73.912612,10453.0,2-02505-0046,8.44,2,"{'latitude': '40.837197076689', 'longitude': '-73.923269772104', 'human_address': '{""address"": ""1214 SHAKESPEARE AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1926.0,43.0,827000,University Heights-Morris Heights                                          ,19.48,39816.0
2-05778-0879,"{'latitude': '40.888634689386', 'longitude': '-73.903146797717', 'human_address': '{""address"": ""3875 WALDO AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.888544,-73.90316,10463.0,2-05754-0090,9.92,2,"{'latitude': '40.901548992376', 'longitude': '-73.901753307327', 'human_address': '{""address"": ""5400 FIELDSTON ROAD"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1939.0,127.0,5020000,North Riverdale-Fieldston-Riverdale                                        ,33.5,151500.0
2-02479-0001,"{'latitude': '40.833798555414', 'longitude': '-73.921043810762', 'human_address': '{""address"": ""85 MC CLELLAN STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.833765,-73.92099,10452.0,2-02455-0006,7.96,2,"{'latitude': '40.830836135402', 'longitude': '-73.914552194044', 'human_address': '{""address"": ""1115 COLLEGE AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1929.0,44.0,1260000,West Concourse                                                             ,22.34,42732.0
2-02603-0024,"{'latitude': '40.812545732512', 'longitude': '-73.902603237709', 'human_address': '{""address"": ""590 SOUTHERN BOULEVARD"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.812556,-73.902624,10455.0,2-02505-0011,,2,,,,793000,Longwood                                                                   ,29.7,
2-02861-0114,"{'latitude': '40.848609151379', 'longitude': '-73.912813102948', 'human_address': '{""address"": ""1770 DAVIDSON AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.848772,-73.912724,10453.0,2-02506-0010,10.54,2,"{'latitude': '40.835716420463', 'longitude': '-73.923051183973', 'human_address': '{""address"": ""1161 JEROME AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1927.0,96.0,1840000,University Heights-Morris Heights                                          ,22.58,84018.0
2-05725-0767,"{'latitude': '40.879047623611', 'longitude': '-73.916693498923', 'human_address': '{""address"": ""609 KAPPOCK STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.879571,-73.916802,10463.0,2-05746-0567,,2,,,,2930000,Spuyten Duyvil-Kingsbridge                                                 ,35.5,
2-02488-0036,"{'latitude': '40.834743862967', 'longitude': '-73.920728376782', 'human_address': '{""address"": ""1175 GERARD AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",40.834706,-73.920721,10452.0,2-02400-0023,6.49,2,"{'latitude': '40.819715888151', 'longitude': '-73.917044592141', 'human_address': '{""address"": ""378 154 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1916.0,39.0,1160000,West Concourse                                                             ,22.75,31875.0
2-03326-0045,"{'latitude': '40.878456957937', 'longitude': '-73.881613428952', 'human_address': '{""address"": ""91 208 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",,,,2-03089-0026,9.28,2,"{'latitude': '40.857837266065', 'longitude': '-73.905355931737', 'human_address': '{""address"": ""2234 DAVIDSON AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1923.0,65.0,1710000,,30.5,51000.0
