bronx_cooperatives_comparable_properties_address,comparable_rental_1_year_built,census_tract,comparable_rental_1_dist_from_coop_in_miles,community_board,comparable_rental_2_boro_block_lot,bronx_cooperatives_comparable_properties_est_gross_income,comparable_rental_2_full_market_value,bbl,comparable_rental_1_full_market_value,comparable_rental_2_dist_from_coop_in_miles,bronx_cooperatives_comparable_properties_gross_sqft,comparable_rental_1_market_value_per_sqft
"{'latitude': '40.864867217898', 'longitude': '-73.890568406957', 'human_address': '{""address"": ""2661 MARION AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1965,40502.0,0.6,7.0,2-03281-0040,843453,2130000.0,2032870100.0,3680000,0.55,81730,38.9
"{'latitude': '40.842179548527', 'longitude': '-73.880188950171', 'human_address': '{""address"": ""998 179 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",2001,,0.35,,2-03143-0001,1045350,3030000.0,,2460000,1.15,90900,29.9
"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""2471 GRAND AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1942,263.0,0.45,7.0,2-03218-0007,354750,713000.0,2032130033.0,893000,0.25,43000,29.8
"{'latitude': '40.82237304147', 'longitude': '-73.908309573848', 'human_address': '{""address"": ""902 EAGLE AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1923,185.0,0.7,3.0,,212950,,2026270005.0,395000,,21295,35.7
"{'latitude': '40.848267885988', 'longitude': '-73.919415392994', 'human_address': '{""address"": ""1641 ANDREWS AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1925,21501.0,0.35,5.0,2-02879-0080,490600,1530000.0,2028780061.0,1620000,0.35,55750,27.0
"{'latitude': '40.822923625866', 'longitude': '-73.919965668369', 'human_address': '{""address"": ""773 CONCOURSE VILLAGE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1965,,0.8,,,10290110,,,4920000,,876500,35.7
"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""1015 GRAND"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1930,,0.6,,2-02510-0040,600000,4520000.0,,11700000,0.45,75000,34.9
"{'latitude': '40.826159116255', 'longitude': '-73.915578141666', 'human_address': '{""address"": ""943 TELLER AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1929,173.0,0.6,4.0,,363605,,2024220030.0,209000,,33055,28.2
"{'latitude': '40.888435686198', 'longitude': '-73.913060215948', 'human_address': '{""address"": ""3720 INDEPENDENCE AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1956,30701.0,0.1,8.0,2-05907-0352,863868,3560000.0,2059060331.0,4180000,0.05,72594,42.4
"{'latitude': '40.861731752566', 'longitude': '-73.902956656266', 'human_address': '{""address"": ""2410 DAVIDSON AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1910,253.0,0.3,7.0,2-03214-0082,420000,1020000.0,2031990066.0,1140000,0.3,40000,29.0
"{'latitude': '40.848083178563', 'longitude': '-73.91721947173', 'human_address': '{""address"": ""1713 NELSON AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1924,21502.0,0.5,5.0,2-02870-0020,460965,1060000.0,2028760131.0,1230000,0.5,58350,24.4
"{'latitude': '40.833442676336', 'longitude': '-73.899993294453', 'human_address': '{""address"": ""625 JEFFERSON PLACE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1905,149.0,1.85,3.0,2-03335-0142,185364,624000.0,2029350001.0,810000,3.05,17100,63.0
"{'latitude': '40.849700660634', 'longitude': '-73.88726549386', 'human_address': '{""address"": ""2167 CROTONA AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1930,373.0,0.45,6.0,2-03128-0029,194250,870000.0,2030830045.0,2470000,0.5,21000,33.5
"{'latitude': '40.898939297048', 'longitude': '-73.862227754106', 'human_address': '{""address"": ""4295 WEBSTER AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1998,45102.0,0.8,12.0,2-04999-0068,618888,2030000.0,2033980097.0,1870000,0.5,57840,29.6
"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""800 GRAND"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1965,,0.95,,,268331,,,4920000,,252105,35.7
"{'latitude': '40.878717052318', 'longitude': '-73.898605510419', 'human_address': '{""address"": ""3311 GILES PLACE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1938,279.0,3.95,8.0,2-03249-0010,824180,4550000.0,2032580013.0,2970000,0.7,98000,27.7
"{'latitude': '40.853344856539', 'longitude': '-73.864888411996', 'human_address': '{""address"": ""2105 WALLACE AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1960,22404.0,1.25,11.0,,2288000,,2042910014.0,6450000,,220000,35.0
