bronx_cooperatives_comparable_properties_address,comparable_rental_1_year_built,census_tract,comparable_rental_1_dist_from_coop_in_miles,community_board,comparable_rental_2_boro_block_lot,bronx_cooperatives_comparable_properties_est_gross_income,comparable_rental_2_full_market_value,bbl,comparable_rental_1_full_market_value,comparable_rental_2_dist_from_coop_in_miles,bronx_cooperatives_comparable_properties_gross_sqft,comparable_rental_1_market_value_per_sqft
"{'latitude': '40.879602192154', 'longitude': '-73.836663182984', 'human_address': '{""address"": ""3410 DE REIMER AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1983,46202.0,6.1,12.0,2-03895-0001,2739200,7380000.0,2052590016.0,8760000,3.5,256000,34.0
"{'latitude': '40.847569538062', 'longitude': '-73.910185559477', 'human_address': '{""address"": ""1770 WALTON AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1923,22701.0,0.35,5.0,2-02829-0042,279424,873000.0,2028260011.0,923000,0.35,29600,31.1
"{'latitude': '40.856384615706', 'longitude': '-73.868679391149', 'human_address': '{""address"": ""2191 BOLTON STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1931,22401.0,0.65,11.0,,332910,,2043170037.0,1150000,,44270,23.11
"{'latitude': '40.88138078936', 'longitude': '-73.91969540753', 'human_address': '{""address"": ""735 KAPPOCK STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1954,301.0,0.4,8.0,2-05845-1799,692302,5080000.0,2057500357.0,4070000,1.65,61538,40.5
"{'latitude': '40.826379540089', 'longitude': '-73.890280082608', 'human_address': '{""address"": ""1096 FARMS ROAD"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1910,,0.6,,2-02427-0052,126802,392000.0,,269000,1.15,14575,26.4
"{'latitude': '40.873984218343', 'longitude': '-73.901694440926', 'human_address': '{""address"": ""2875 SEDGWICK AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1926,273.0,0.2,8.0,2-04320-0005,1086138,2920000.0,2032530255.0,2710000,2.35,107220,24.98
"{'latitude': '40.87808240935', 'longitude': '-73.902398859164', 'human_address': '{""address"": ""3119 BAILEY AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1942,277.0,1.85,8.0,2-04348-0005,659100,1750000.0,2032670060.0,2230000,2.3,65000,34.3
"{'latitude': '40.842471366382', 'longitude': '-73.882824399829', 'human_address': '{""address"": ""940 178 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1974,,3.1,,2-02282-0075,240570,813000.0,,686000,3.1,17820,32.2
"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""6645 BROADWAY"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1961,343.0,0.2,8.0,2-05907-0348,702059,2310000.0,2058811088.0,2980000,1.6,54635,47.6
"{'latitude': '40.904351291388', 'longitude': '-73.906294899245', 'human_address': '{""address"": ""5600 NETHERLAND AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1959,323.0,1.15,8.0,2-05909-0825,5451000,33300000.0,,9500000,1.15,395000,40.1
"{'latitude': '40.811096799957', 'longitude': '-73.906142026939', 'human_address': '{""address"": ""823 147 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1920,,0.75,,,168870,,,343000,,25980,27.4
"{'latitude': '40.817723033952', 'longitude': '-73.89473420663', 'human_address': '{""address"": ""850 SOUTHERN BOULEVARD"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1917,89.0,2.3,2.0,2-02427-0001,318242,395000.0,2027320021.0,1550000,1.35,41874,23.34
"{'latitude': '40.879381097671', 'longitude': '-73.877965561603', 'human_address': '{""address"": ""3388 WAYNE AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1928,421.0,1.9,7.0,2-04286-0013,1487400,3270000.0,2033430260.0,4380000,1.9,148000,34.0
"{'latitude': '40.888278067491', 'longitude': '-73.904940414837', 'human_address': '{""address"": ""3810 GREYSTONE AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1937,335.0,0.25,8.0,2-05791-0388,474335,2690000.0,2057790815.0,2820000,0.2,41068,39.7
"{'latitude': '40.882672795822', 'longitude': '-73.895012697895', 'human_address': '{""address"": ""3850 SEDGWICK AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1967,409.0,2.5,8.0,2-05903-0283,1385288,6560000.0,2032460056.0,4180000,1.2,141055,28.6
"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""4525 HENRY HUDSON PARKWAY"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1959,30701.0,0.0,8.0,2-05920-0687,2450373,8100000.0,2059090977.0,9500000,0.2,201511,40.1
"{'latitude': '40.884244380439', 'longitude': '-73.911409761735', 'human_address': '{""address"": ""3260 NETHERLAND AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1951,297.0,0.45,8.0,2-05787-0137,561000,4070000.0,2057870148.0,3580000,0.0,51000,38.6
"{'latitude': '40.835732215568', 'longitude': '-73.891405855244', 'human_address': '{""address"": ""1574 BOSTON ROAD"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1938,153.0,1.25,3.0,2-03197-0001,550000,2080000.0,2029670006.0,2470000,1.8,50000,46.6
"{'latitude': '40.880534961738', 'longitude': '-73.922380747459', 'human_address': '{""address"": ""2501 PALISADE AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1926,29301.0,0.8,8.0,2-05776-0605,271092,2150000.0,2057450290.0,1690000,1.15,28536,25.9
"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""3530 HENRY HUDSON PARKWAY"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",1955,297.0,0.4,8.0,2-05798-0086,3042000,3620000.0,2057950518.0,3750000,0.15,312000,34.4
