property_id,property_name,address_1,difference_from_national_2,strip_mall_gross_floor_area,estimated_data_flag_1,difference_from_national_1,hospital_general_medical_8,alert_meter_has_overlaps,office_gross_floor_area_ft,estimated_values,data_center_pdu_output_meter,electricity_use_grid_purchase,office_number_of_workers,medical_office_mri_machine,municipally_supplied_potable,primary_property_type_self,data_quality_checker_date,hospital_general_medical_15,financial_office_number_of,electricity_use_grid_purchase_1,estimated_data_flag_fuel_1,fuel_oil_5_6_use_kbtu,hospital_general_medical_14,metered_areas_energy,energy_cost,performing_arts_gross_floor,convention_center_gross_floor,costar_property_id,fitness_center_health_club,direct_ghg_emissions_metric,hotel_worker_density_number,energy_star_certification_3,college_university_gross,multifamily_housing_number_6,weather_normalized_site_energy,medical_office_number_of_1,data_center_it_equipment,natural_gas_cost,data_quality_checker_run,multifamily_housing_total_1,restaurant_gross_floor_area,multifamily_housing_total,other_number_of_workers_on,weather_normalized_site_1,energy_star_certification_1,medical_office_number_of,hospital_general_medical_2,nyc_building_identification,k_12_school_gross_floor_area,release_date,ambulatory_surgical_center,office_percent_that_can_be,energy_star_certification_2,community_board,fuel_oil_4_use_kbtu,office_worker_density_number,national_median_energy_cost,retail_store_open_or_closed,national_median_site_eui,electricity_use_generated_2,estimated_savings_from_energy,default_values,district_steam_use_kbtu,hospital_general_medical_11,bank_branch_number_of,difference_from_national,county,multifamily_housing_number,data_center_ups_system
1463326,Eleven Penn Plaza,Eleven Penn Plaza,Not Available,Not Available,Not Available,-33.9,Not Available,Ok,1160271,No,Not Available,55094424.2,3214,Not Available,Not Available,Office,Not Available,Not Available,Not Available,55094417,Not Available,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,No,Not Available,Not Available,91125334.7,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,8,Not Available,07/13/2011,Not Available,Not Available,1015175,Not Available,2015-04-30T19:15:21.000,Not Available,100,05/31/2012,,Not Available,2.77004,Not Available,Not Available,120.1,Not Available,0,Yes,38018455.7,Not Available,7,-33.9,Not Available,Not Available,Not Available
2615091,Park Murray Building,11 Park Place,Not Available,Not Available,Not Available,-19.3,Not Available,Ok,213484,No,Not Available,8392792.4,300,Not Available,Not Available,Office,2015-04-28,Not Available,Not Available,8392793.2,Not Available,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,527.3,Not Available,No,Not Available,Not Available,14544986.7,Not Available,Not Available,0,Yes,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,1001399,Not Available,2015-04-28T11:15:22.000,Not Available,0,Not Available,101.0,Not Available,1.40526,Not Available,0,87.3,Not Available,0,Yes,Not Available,Not Available,Not Available,-19.3,Not Available,Not Available,Not Available
2598427,Leonori Condominium,26 East 63rd Street,Not Available,Not Available,Not Available,88.1,Not Available,Ok,Not Available,No,Not Available,3449819.3,Not Available,Not Available,Not Available,Multifamily Housing,2015-03-26,Not Available,Not Available,3449818.6,Not Available,Not Available,Not Available,Whole Building,3032.19,Not Available,Not Available,Not Available,Not Available,352.7,Not Available,No,Not Available,0,9705816.8,Not Available,Not Available,3032.19,Yes,1.18888,Not Available,63,Not Available,1,Not Available,Not Available,Not Available,1040935,Not Available,2015-04-29T13:01:16.000,Not Available,Not Available,Not Available,108.0,Not Available,Not Available,1611.91,Not Available,81.7,Not Available,0,No,Not Available,Not Available,Not Available,88.1,New York,91,Not Available
2638822,5 TCP,5 Tudor City Place,Not Available,Not Available,Not Available,-14.2,Not Available,Ok,Not Available,No,Not Available,8430068.7,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,8430069.3,Not Available,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,2342,Not Available,No,Not Available,0,41902274.1,Not Available,Not Available,0,No,1.95444,Not Available,799,Not Available,0.3,Not Available,Not Available,Not Available,1038647,Not Available,2015-04-30T14:18:35.000,Not Available,Not Available,Not Available,106.0,Not Available,Not Available,Not Available,Not Available,120.4,Not Available,0,No,Not Available,Not Available,Not Available,-14.2,Not Available,799,Not Available
2637917,2 Beekman,2 Beekman Place,Not Available,Not Available,Not Available,-6,Not Available,Ok,Not Available,No,Not Available,1926210.1,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,1926210.1,Not Available,Not Available,Not Available,Whole Building,0,Not Available,Not Available,Not Available,Not Available,394.4,Not Available,No,Not Available,0,9010770.3,Not Available,Not Available,0,No,0.696,Not Available,87,Not Available,0.6,Not Available,Not Available,Not Available,1040078,Not Available,2015-04-30T14:18:35.000,Not Available,Not Available,Not Available,106.0,Not Available,Not Available,0,Not Available,79.6,Not Available,0,No,Not Available,Not Available,Not Available,-6,Not Available,122,Not Available
2473663,Imperial House,150 E 69th Street,Not Available,Not Available,Not Available,-22,Not Available,Ok,Not Available,No,Not Available,20622950.7,Not Available,Not Available,Not Available,Multifamily Housing,2015-04-18,Not Available,Not Available,20622950.3,No,Not Available,Not Available,Whole Building,1732689.47,Not Available,Not Available,Not Available,Not Available,1185.3,Not Available,No,Not Available,0,40353548.3,Not Available,Not Available,392529.63,Yes,0.44921,Not Available,378,Not Available,0.2,Not Available,Not Available,Not Available,1042479,Not Available,2015-05-01T23:57:19.000,Not Available,Not Available,Not Available,108.0,5893581.2,Not Available,2220275.22,0.11487,58.6,Not Available,205000,No,Not Available,Not Available,Not Available,-22,Not Available,686,Not Available
2364085,620 Fifth Avenue (Bld 3),620 Fifth Avenue,Not Available,Not Available,Not Available,65.8,Not Available,Ok,97900,No,Not Available,12758942.3,61,Not Available,Not Available,Office,Not Available,Not Available,Not Available,12758942,Not Available,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,No,Not Available,Not Available,29429955.7,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1075692,Not Available,2015-04-30T10:33:52.000,Not Available,100,Not Available,105.0,Not Available,0.62308,Not Available,0.10063,122.1,Not Available,0,No,7299877.7,Not Available,Not Available,65.8,Not Available,Not Available,Not Available
2397412,12 East 97th Street Tenants,12 East 97th Street,Not Available,Not Available,Not Available,-22.2,Not Available,Ok,Not Available,No,Not Available,1606585,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,1606584.9,Not Available,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,339.1,Not Available,No,Not Available,0,7994049.5,2,Not Available,Not Available,No,0.90592,Not Available,106,Not Available,0.5,Not Available,Not Available,Not Available,1051456,Not Available,2015-05-01T14:55:11.000,Not Available,Not Available,Not Available,111.0,Not Available,Not Available,Not Available,Not Available,87,Not Available,0,No,Not Available,Not Available,Not Available,-22.2,Not Available,157,Not Available
2636866,29 West 38th Street,29 West 38th Street,Not Available,Not Available,Not Available,-37.1,Not Available,Ok,151040,No,Not Available,5896764.6,331,Not Available,Not Available,Office,Not Available,Not Available,Not Available,5896765.1,Not Available,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,354,Not Available,Yes,Not Available,Not Available,10155220.6,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,1015997,Not Available,2015-04-29T12:02:19.000,Not Available,100,Not Available,105.0,Not Available,2.19147,Not Available,Not Available,112.6,Not Available,0,No,Not Available,Not Available,Not Available,-37.1,Not Available,Not Available,Not Available
2591912,Fifth at 42nd LLC,505 Fifth Avenue,Not Available,Not Available,Not Available,6.4,Not Available,Ok,256200,No,Not Available,20508825.1,524.43,Not Available,Not Available,Office,Not Available,Not Available,Not Available,20508825.7,Not Available,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,No,Not Available,Not Available,27866088.5,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1035408,Not Available,2015-05-01T00:37:25.000,Not Available,100,Not Available,105.0,Not Available,2.04694,Not Available,0,95.1,Not Available,0,Yes,7992656.4,Not Available,Not Available,6.4,Not Available,Not Available,Not Available
2601646,79 Fifth Avenue LLC,79 Fifth Avenue,Not Available,Not Available,Not Available,68,Not Available,Ok,Not Available,No,Not Available,17021567.2,Not Available,Not Available,Not Available,Other - Education,Not Available,Not Available,Not Available,17021567.2,Not Available,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,560.1,Not Available,No,Not Available,Not Available,26220548,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,0.3,Not Available,Not Available,Not Available,1016079,Not Available,2015-04-30T16:54:50.000,Not Available,Not Available,Not Available,105.0,Not Available,Not Available,Not Available,Not Available,60.4,Not Available,0,No,Not Available,Not Available,Not Available,68,New York,Not Available,Not Available
