property_name,movie_theater_gross_floor,transportation_terminal,estimated_savings_from_energy_1,estimated_data_flag,restaurant_worker_density,data_center_pue,alert_data_center_does_not,alert_property_has_no_uses,estimated_data_flag_natural,other_gross_floor_area_ft,energy_star_score,multifamily_housing_number_7,wholesale_club_supercenter,self_storage_facility_gross,multifamily_housing_percent,source_energy_use_kbtu,medical_office_percent_that_1,alert_meter_has_less_than,district_steam_cost,alert_individual_monthly,multifamily_housing_government,site_energy_use_kbtu,automobile_dealership_gross,food_sales_gross_floor_area,alert_no_meters_are_associated,electricity_grid_purchase,council_district,water_wastewater_estimated,investment_in_energy_projects,office_percent_that_can_be_1,national_median_site_energy,liquid_propane_use_kbtu,weather_normalized_site_3,natural_gas_use_kbtu,nta,urgent_care_clinic_other,multifamily_housing_resident,parent_property_name,multifamily_housing_number_4,parking_open_parking_lot,bank_branch_gross_floor_area,national_median_reference,weather_normalized_source,financial_office_number_of_1,hospital_general_medical_7,convenience_store_with_gas,hospital_general_medical_5,medical_office_percent_that,leed_us_project_id,repair_services_vehicle_shoe,investment_in_energy_projects_1,energy_star_certification,year_ending,retail_store_number_of_walk,data_center_gross_floor_area,temporary_values,data_center_cooling_equipment,distribution_center_gross,parent_property_id,hotel_percent_that_can_be,race_track_gross_floor_area,hotel_room_density_number,hospital_general_medical_13,library_gross_floor_area
Empire House,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,1,0,Not Available,Not Available,90,153925072,Not Available,Possible Issue,Not Available,Ok,No,131512708.6,Not Available,Not Available,Ok,Not Available,4.0,Not Available,0,Not Available,41360564.7,Not Available,2231905.6,123935326.9,Lenox Hill-Roosevelt Island,Not Available,No specific resident population,Not Applicable: Standalone Property,191,0,Not Available,Fannie Mae Industry Survey - Multifamily,409.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,2,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
120 Fifth,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,41,Not Available,Not Available,Not Available,Not Available,18782307,Not Available,Ok,Not Available,Ok,Not Available,7190564.9,Not Available,Not Available,Ok,Not Available,3.0,Not Available,0,100,6576582.1,Not Available,1575106.8,1816299.9,Hudson Yards-Chelsea-Flatiron-Union Square,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,CBECS - Office & Bank/Financial,270.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,0,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
31 West 21st Street - 36542,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,Not Available,0,Not Available,Not Available,100,10045506.5,Not Available,Ok,Not Available,Ok,No,5225942.7,Not Available,Not Available,Ok,Not Available,3.0,Not Available,0,Not Available,4945932.3,Not Available,634436,3044953.9,Hudson Yards-Chelsea-Flatiron-Union Square,Not Available,No specific resident population,Not Applicable: Standalone Property,12,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,132.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
175 W. 175th Associates,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,3,0,Not Available,Not Available,100,7791769.3,Not Available,Ok,Not Available,Ok,Not Available,6372046.9,Not Available,Not Available,Ok,Not Available,10.0,Not Available,0,Not Available,4131572.8,Not Available,185418.2,224900,Washington Heights South,Not Available,Not Available,Not Applicable: Standalone Property,0,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,184.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,Yes,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
Eger Harbor House,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,77,Not Available,Not Available,Not Available,Not Available,9164016.6,Not Available,Ok,Not Available,Ok,Not Available,5340283.5,Not Available,Not Available,Ok,101469.01,50.0,Not Available,0,Not Available,6564723.7,Not Available,499372.8,3638504.1,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,CBECS - Nursing,168.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
250 Park Avenue,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,Not Available,Not Available,79,Not Available,Not Available,Not Available,Not Available,87848359.7,Not Available,Possible Issue,Not Available,Ok,Not Available,38501429.1,Not Available,Not Available,Ok,Not Available,4.0,Not Available,0,100,56105494.8,Not Available,6283879.2,Not Available,Midtown-Midtown South,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,17139,CBECS - Office & Bank/Financial,160.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,"2012, 2011, 2010, 2009, 2008",2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
Walter & Samuels - 240 West End Ave,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,74,0,Not Available,Not Available,100,7195647.4,Not Available,Ok,Not Available,Ok,Not Available,5004013.2,Not Available,Not Available,Ok,Not Available,6.0,Not Available,0,Not Available,5923504.5,Not Available,293498,122229.4,Lincoln Square,Not Available,Not Available,Not Applicable: Standalone Property,57,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,111.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
"Pelican: Webb Avenue Company, LLC",Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,70,0.94937,Not Available,Not Available,90,9790133.8,Not Available,Ok,Not Available,Ok,No,6524783.3,Not Available,Not Available,Ok,Not Available,14.0,Not Available,0,Not Available,7449460.4,Not Available,408777,5118509.9,Kingsbridge Heights,Not Available,Not Available,Not Applicable: Standalone Property,0,0,Not Available,Fannie Mae Industry Survey - Multifamily,117.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
40 East 52nd Street LP,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,3085,82,Not Available,Not Available,Not Available,Not Available,115318361.5,Not Available,Ok,Not Available,Ok,Not Available,40872746.1,Not Available,Not Available,Ok,Not Available,4.0,Not Available,0,100,56797604.8,Not Available,10035857.3,1171288.3,Midtown-Midtown South,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,CBECS - Office & Bank/Financial,309,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,0,5604,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
345 East 81st Street,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,75,0,Not Available,Not Available,100,26220940.1,Not Available,Possible Issue,Not Available,Possible Issue,No,13458634.6,Not Available,Not Available,Ok,Not Available,5.0,Not Available,0,Not Available,16086867.7,Not Available,1709960.7,7674245.3,Yorkville,Not Available,No specific resident population,Not Applicable: Standalone Property,215,0,Not Available,Fannie Mae Industry Survey - Multifamily,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
