_fivetran_id,_fivetran_synced,carousel_album_engagement,carousel_album_reach,carousel_album_saved,carousel_album_shares,carousel_album_views,comment_count,id,like_count,story_exits,story_reach,story_replies,story_taps_back,story_taps_forward,story_shares,story_views,video_photo_engagement,video_photo_reach,video_photo_saved,video_photo_shares,video_photo_views,reel_comments,reel_likes,reel_reach,reel_shares,reel_total_interactions,reel_views,carousel_album_impressions,carousel_album_video_views,story_impressions,video_photo_impressions,video_views,reel_plays
HHKa3JBGx1RRxWfgqqMXC6ewgc4=,2021-10-27 14:22:01.906,4,47,2,1,22,1,17875951606801054,3,1,33,0,0,1,2,25,4,43,0,1,56,1,2,4,5,6,78,68,0,88,56,54,11
zzVHxeqeogmAzEWFVvBrhOwm5w0=,2021-10-27 14:22:01.901,5,52,1,0,12,1,17846746730324230,7,0,29,0,1,2,3,28,8,57,0,0,79,1,2,4,5,6,82,61,0,84,79,67,10
E3Z4FOw/J3joWUdHoLL1FXIGrXE=,2021-10-27 14:22:01.904,3,49,3,1,18,0,17912811451468757,5,1,31,1,1,3,4,31,5,60,0,2,96,1,2,4,5,6,91,59,0,83,96,60,9
3SGiNeVHbYUzwaX/VLXQArKHOl0=,2021-10-27 14:22:01.896,2,46,0,0,15,0,17927058817426962,10,0,35,0,0,2,1,30,10,53,0,0,68,1,2,4,5,6,85,62,0,87,68,47,8
15mSp2H5q1GUJYqTXy8Z2ln+3eY=,2021-10-27 14:22:01.899,4,47,0,0,14,0,17866678285999550,4,1,32,0,0,0,2,27,9,51,0,1,72,1,2,4,5,6,88,63,0,85,72,49,7
aeNewInsight001=,2021-10-28 10:00:00,6,85,3,2,45,12,18159174778061901,28,0,0,0,0,0,0,0,34,92,4,3,120,2,5,95,8,15,135,90,25,0,150,98,20
afNewInsight002=,2021-10-28 11:00:00,8,120,5,4,67,18,18159174778061902,42,0,0,0,0,0,0,0,50,135,7,6,178,3,8,142,12,23,195,125,38,0,185,165,28
agNewInsight003=,2021-10-28 12:00:00,12,95,4,3,52,15,18159174778061903,35,0,0,0,0,0,0,0,47,105,5,4,145,4,7,110,10,21,160,102,30,0,140,132,25
ahNewInsight004=,2021-10-28 13:00:00,15,180,8,6,98,25,18159174778061904,68,0,0,0,0,0,0,0,83,215,12,9,285,6,12,225,18,36,320,195,55,0,298,248,45
aiNewInsight005=,2021-10-28 14:00:00,20,250,12,8,145,35,18159174778061905,95,0,0,0,0,0,0,0,115,298,18,12,398,8,18,315,25,51,425,268,78,0,425,365,62
ajNewInsight006=,2021-10-29 15:00:00,9,110,4,3,58,14,18159174778061906,32,0,0,0,0,0,0,0,41,125,6,4,168,3,6,132,9,18,178,118,32,0,152,155,22
akNewInsight007=,2021-10-28 16:00:00,11,135,6,4,72,19,18159174778061907,45,0,0,0,0,0,0,0,56,165,8,6,215,5,9,175,14,28,235,148,42,0,195,198,35
alNewInsight008=,2021-10-28 17:00:00,18,195,10,7,115,28,18159174778061908,72,0,0,0,0,0,0,0,90,245,14,10,325,7,14,258,20,41,365,215,62,0,348,295,52
amNewInsight009=,2021-10-28 18:00:00,14,165,7,5,88,22,18159174778061909,58,0,0,0,0,0,0,0,72,198,10,7,268,6,11,215,16,33,295,182,48,0,275,245,42
anNewInsight010=,2021-10-29 10:00:00,7,92,3,2,48,13,18159174778061910,30,0,0,0,0,0,0,0,37,98,5,3,132,2,6,105,9,17,145,95,28,0,162,145,24
aoNewInsight011=,2021-10-29 11:00:00,10,128,5,4,65,17,18159174778061911,40,0,0,0,0,0,0,0,50,142,8,5,185,4,8,152,13,25,205,132,36,0,195,172,30
apNewInsight012=,2021-10-29 12:00:00,13,145,6,4,78,20,18159174778061912,48,0,0,0,0,0,0,0,61,168,9,6,225,5,10,182,15,30,248,158,45,0,238,205,38
aqNewInsight013=,2021-10-29 13:00:00,16,172,8,6,92,24,18159174778061913,62,0,0,0,0,0,0,0,78,205,11,8,275,7,13,218,18,38,308,188,52,0,285,258,48
arNewInsight014=,2021-10-29 14:00:00,22,235,13,9,128,32,18159174778061914,88,0,0,0,0,0,0,0,110,285,16,11,385,9,17,295,23,49,425,252,68,0,398,345,58
asNewInsight015=,2021-10-29 15:00:00,12,142,5,4,68,18,18159174778061915,42,0,0,0,0,0,0,0,54,165,7,5,218,4,9,178,12,25,242,145,38,0,228,198,32
atNewInsight016=,2021-10-29 16:00:00,14,158,6,5,82,21,18159174778061916,52,0,0,0,0,0,0,0,66,188,9,6,248,6,11,198,15,32,275,168,44,0,265,228,40
auNewInsight017=,2021-10-29 17:00:00,17,185,9,6,105,26,18159174778061917,68,0,0,0,0,0,0,0,85,225,12,8,305,8,14,242,19,41,342,198,56,0,325,285,50
avNewInsight018=,2021-10-29 18:00:00,19,208,11,7,118,29,18159174778061918,78,0,0,0,0,0,0,0,97,258,14,9,345,9,16,275,21,46,385,225,62,0,368,315,55
awNewInsight019=,2021-10-30 10:00:00,24,268,15,10,152,38,18159174778061919,102,0,0,0,0,0,0,0,126,325,19,13,445,11,20,342,28,59,485,295,78,0,465,398,68
axNewInsight020=,2021-10-30 11:00:00,11,138,5,4,72,16,18159174778061920,38,0,0,0,0,0,0,0,49,152,7,5,202,4,8,162,11,23,225,142,35,0,212,188,28
ayNewInsight021=,2021-10-30 12:00:00,15,168,7,5,88,22,18159174778061921,55,0,0,0,0,0,0,0,70,195,10,7,265,6,12,208,17,35,292,178,48,0,278,248,42
azNewInsight022=,2021-10-30 13:00:00,18,195,9,7,108,27,18159174778061922,72,0,0,0,0,0,0,0,90,238,13,9,322,8,15,252,20,43,365,212,58,0,342,298,52
baNewInsight023=,2021-10-30 14:00:00,21,228,12,8,132,31,18159174778061923,85,0,0,0,0,0,0,0,106,278,15,11,385,10,18,298,24,52,425,248,68,0,398,355,62
bbNewInsight024=,2021-10-30 15:00:00,25,285,16,11,168,42,18159174778061924,118,0,0,0,0,0,0,0,143,352,21,15,495,13,23,375,32,68,548,325,88,0,525,458,78
bcNewInsight025=,2021-10-30 16:00:00,13,152,6,4,78,19,18159174778061925,48,0,0,0,0,0,0,0,61,178,8,6,238,5,10,192,13,28,268,165,42,0,252,225,38
bdNewInsight026=,2021-10-30 17:00:00,20,218,11,8,125,30,18159174778061926,82,0,0,0,0,0,0,0,102,268,14,10,368,9,17,285,22,48,398,238,65,0,385,342,58
beNewInsight027=,2021-10-30 18:00:00,17,192,9,6,112,26,18159174778061927,68,0,0,0,0,0,0,0,85,235,12,8,322,8,14,258,19,41,365,212,55,0,348,298,52
bfNewInsight028=,2021-10-31 10:00:00,16,178,8,6,98,24,18159174778061928,62,0,0,0,0,0,0,0,78,218,11,7,295,7,13,238,18,38,332,195,52,0,315,278,48
bgNewInsight029=,2021-10-31 11:00:00,14,165,7,5,88,21,18159174778061929,55,0,0,0,0,0,0,0,69,198,9,6,268,6,12,218,16,34,305,182,48,0,285,252,42
bhNewInsight030=,2021-10-31 12:00:00,19,205,10,7,115,28,18159174778061930,75,0,0,0,0,0,0,0,94,248,13,9,342,8,16,268,21,45,385,225,62,0,368,325,55
