latitude,longitude,parcel_name,coordinates,overlay_1,bsmt_code,census_tract,community_district,lot_type_code,residential_floor_area,police_prct,total_area,retail_floor_area,open_petroleum_spill,potential_urban_ag,health_ctr,lot,lot_front,exempt_land,proximity_code
40.711291,-74.0016556,MURRAY BERGTRAUM HS (ECF),983791/198419,,0,29.0,101,5,0,5.0,53675,0,,,15.0,100,325.5,38470500,0
40.794768,-73.9472346,PLAYGROUND FOR PS 108 (JOP),998860/228837,,0,174.009,111,3,0,23.0,36329,0,,,12.0,30,201.83,825300,0
40.711312,-73.9862822,CHERRY CLINTON PLAYGROUND,988053/198427,,0,2.00999,103,3,0,7.0,18548,0,,,14.0,28,161.0,640800,0
40.802701,-73.9380792,MCNAIR PARK,1001393/231729,C2-5,5,196.0,111,5,0,25.0,2573,0,,,11.0,49,25.5,255600,0
40.755487,-73.9562281,FUTURE CORNELL TECH CAMPUS,996377/214524,,2,238.009,108,3,0,114.0,71699,0,,,13.0,35,447.91,28621530,1
40.780652,-73.947856,TEMPORARY PRIMARY SCHOOL SITE,998691/223694,,2,154.0,108,5,0,19.0,10070,0,,,12.0,15,100.0,3825900,2
40.722025,-74.0061113,CAVALA PARK,982556/202330,,0,33.0,101,1,0,1.0,9648,0,,,15.0,8,149.0,759600,0
40.741653,-74.0020099,DR. GERTRUDE B. KELLY PLAYGRND,983693/209481,,0,83.0,104,4,0,10.0,23370,0,,,15.0,24,127.0,2587050,0
40.727625,-73.9962838,,985280/204370,,5,55.0099,102,3,0,6.0,18591,0,,,15.0,30,476.86,11151900,0
40.707983,-73.9991162,L.U.W. FOOT OF DOVER STREET,984495/197214,,5,25.0,103,5,0,,9650,0,,,,28,183.5,2366100,0
40.777389,-73.9889045,,987323/222501,,5,155.0,107,4,0,20.0,35147,0,,Not Suitable,15.0,173,268.0,450,0
40.722493,-73.9803598,THE SECRET GARDEN,989694/202501,C2-5,5,26.01,103,3,0,9.0,2160,0,,,14.0,40,24.0,343350,0
40.722317,-73.97896,EL JARDIN DEL PARAISO PARK,990082/202437,,5,26.01,103,5,0,9.0,2404,0,,,14.0,17,25.0,346500,0
40.715668,-74.002352,HEALTH BUILDING-125 WORTH ST,983598/200014,,2,31.0,101,3,0,5.0,41040,0,,,15.0,32,227.25,27792900,0
40.793646,-73.9484888,JHS 13,998513/228428,,2,174.009,111,1,0,23.0,80732,0,,,12.0,50,201.83,15682500,1
40.733646,-73.9887855,NEW TECH HUB,987358/206564,,2,42.0,103,4,0,9.0,15450,22112,,,14.0,16,150.0,60109200,3
40.795703,-73.9439655,PS 101 & PLAYGROUND,999765/229178,C1-5,5,172.0,111,3,0,23.0,2882,0,,Not Suitable,12.0,17,25.0,323550,0
40.743154,-73.9987296,WOMEN'S LIBERATION CENTER,984602/210028,,0,87.0,104,5,0,10.0,1875,0,,,15.0,17,25.0,523350,3
40.784696,-73.9745637,ENG 74,991294/225164,C2-5,2,169.0,107,5,0,20.0,2554,0,,,16.0,41,25.0,548100,0
40.727668,-73.9921238,,986433/204386,,5,57.0,102,5,0,9.0,9835,0,,Not Suitable,15.0,68,75.0,3719250,0
40.770384,-73.942001,COLER MEMORIAL HOSP,1000315/219954,,0,238.02,108,5,0,114.0,490397,0,,,13.0,50,465.58,111799800,0
40.718907,-73.9929979,FORSYTH GARDEN CONSERVANCY,986191/201194,,2,18.0,103,3,0,5.0,75584,0,,,14.0,1,125.33,5471100,0
40.782925,-73.9428749,,1000070/224523,,5,162.0,111,5,0,,89800,0,,,,10,283.42,383850,0
40.748451,-73.9857116,EMPIRE STATE BUILDING,988209/211958,,2,76.0,105,3,0,14.0,91351,127256,,,15.0,41,197.5,0,3
40.772828,-73.9448186,,999534/220844,,0,136.0,108,8,0,19.0,504,0,,,13.0,55,3.0,144450,0
40.785081,-73.9503442,PS 198 & JOP (JUDGE SEABURY),998001/225307,C1-5,0,158.009,108,3,0,19.0,61432,0,,,12.0,23,201.0,23836050,1
40.722551,-73.9813771,GENERATION X GARDEN,989412/202522,,5,26.01,103,5,0,9.0,2380,0,,,14.0,22,24.75,342900,0
40.763888,-73.9928199,,986239/217582,C2-5,5,129.0,104,0,0,18.0,25104,0,,Not Suitable,15.0,35,200.83,0,0
40.722485,-73.9793568,EL JARDIN DE PARAISO PARK,989972/202498,,5,26.01,103,5,0,9.0,2404,0,,,14.0,12,25.0,346500,0
40.814654,-73.9375442,,1001538/236084,,0,212.0,110,5,16122,32.0,3997,0,,,11.0,27,40.0,619650,3
40.714542,-73.9887202,WILLIAM H SEWARD PARK PLGD,987377/199604,,0,14.01,103,5,0,7.0,12600,0,,,14.0,35,60.0,971550,0
40.709015,-74.0093131,VENTILATION SHAFT,981668/197590,,5,15.02,101,8,0,1.0,66,0,,,15.0,106,3.5,1350,0
40.704096,-74.0040936,PIER 14,983115/195798,,0,7.0,101,2,0,1.0,169425,0,,,15.0,30,273.58,6281100,1
40.715384,-73.9777646,DOT WBURG BRG STORAGE/MAINTEN,990414/199911,,0,10.01,103,1,0,7.0,16050,0,Yes,,14.0,8,199.0,637650,1
40.759453,-73.9586692,TWENTY FOUR SYCAMORES PARK,995700/215969,,0,106.02,108,1,0,19.0,22500,0,,,13.0,21,134.92,4446000,0
40.721675,-73.9820196,PEACHTREE GARDEN,989234/202203,,5,22.02,103,5,0,9.0,2674,0,,,14.0,52,25.25,958050,0
40.726451,-73.9817151,TOMPKINS SQUARE PARK,989318/203943,,0,32.0,103,1,0,9.0,457788,0,,,14.0,1,687.33,19332450,0
40.750941,-74.0049446,HRA OFFICE OF FACILITIES OPR,982880/212865,,2,99.0,104,3,0,10.0,34198,0,,,15.0,1,198.0,0,2
40.722261,-73.9900573,FORSYTH ALT HS-OUTDOOR SPACE,987006/202416,,5,36.0099,103,5,0,5.0,980,0,,,14.0,65,18.5,240750,0
40.716126,-73.9908266,PS 42,986793/200181,,2,16.0,103,3,0,7.0,21919,0,,,14.0,1,125.08,6217200,2
40.750351,-74.0055473,,982713/212650,,2,99.0,104,3,0,10.0,19750,20600,,,15.0,1,197.5,0,1
40.748493,-73.9911613,"ENG 1, LAD 24",986699/211973,,2,101.0,105,5,0,14.0,7417,0,,,15.0,66,75.0,1777950,1
40.755011,-73.9717851,,992067/214349,,2,92.0,106,3,0,17.0,22083,3931,,,13.0,33,200.83,0,2
40.756156,-73.987937,42ND ST DEV/TIMES SQUARE,987592/214765,,2,113.0,105,5,0,14.0,2234,2231,,,15.0,41,22.62,7463250,3
40.759864,-73.9967802,STRATEGIC RSPNSE GRP 1/BORO UN,985142/216116,,2,117.0,104,5,0,10.0,5802,0,,,15.0,44,58.75,0,3
40.775242,-73.9829655,,988968/221719,,2,153.0,107,5,0,20.0,9417,0,,,15.0,8,100.0,7945200,2
40.723693,-73.9816186,PS 64 (OLD JHS 71),989345/202938,C1-5,2,26.01,103,3,2526,9.0,94000,0,,,14.0,1,446.42,20922750,3
40.730591,-73.9843046,DHS SRO/AGING-SIROVICH CTR,988600/205451,,2,40.0,103,5,0,9.0,8260,0,,,14.0,52,80.0,3081600,3
40.795118,-73.9437853,FAMILY COMMUNIY GARDEN,999815/228965,C1-5,5,172.0,111,5,0,23.0,1892,0,,,12.0,50,18.75,166950,0
40.797886,-73.9364223,DIAMANTE GARDEN,1001853/229975,,5,188.0,111,5,0,25.0,4112,0,,,12.0,47,40.75,361350,0
40.717321,-73.9999315,WALKER ST CHUNG PAK LDC,984269/200616,,2,29.0,101,4,56768,5.0,8900,13635,,,15.0,126,191.58,12048300,1
40.785487,-73.9391533,,1001100/225457,,5,162.0,111,5,0,,59125,0,,,,51,262.75,265050,0
40.74651,-73.9810745,,989494/211251,,5,72.0,105,0,0,14.0,46740,21141,,,14.0,7501,197.5,39470598,0
40.749006,-74.0002309,PS 33,984186/212160,,2,97.0,104,3,0,10.0,65600,0,,,15.0,23,257.5,16354350,1
40.707272,-74.0033003,SOUTH ST SEAPORT MUSEUM,983335/196955,,0,15.01,101,3,0,1.0,24165,20000,,,15.0,5,62.08,8476650,0
40.752034,-73.9763375,GRAND HYATT HOTEL,990806/213264,,2,92.0,105,3,0,14.0,57282,33782,,,13.0,30,275.0,112108950,3
40.714241,-74.0040003,,983141/199494,,0,31.0,101,3,0,5.0,9721,9100,,,15.0,3,102.0,0,0
40.73966,-74.0083647,WHITNEY MUSEUM/HIGH LINE,981932/208755,,0,79.0,102,3,0,6.0,17436,0,,,15.0,10,130.0,4914450,1
40.79565,-73.9331124,,1002770/229161,,2,178.0,111,5,14880,25.0,3752,0,,,12.0,27,39.92,857700,3
40.748371,-73.9692146,ROBERT MOSES PLAYGROUND,992780/211930,,0,86.01,106,3,0,17.0,47325,0,,,13.0,1,197.5,9398250,0
40.773059,-73.9900154,BED OF 61 STREET,987015/220923,,5,151.0,107,0,0,20.0,15840,0,,Not Suitable,15.0,260,66.0,11,0
40.728605,-73.9982645,,984731/204727,,5,55.0099,102,3,0,6.0,23704,0,,,15.0,20,474.08,7091100,0
40.703808,-74.007693,"ENG 4, LAD 15",982117/195693,,2,7.0,101,1,0,1.0,42176,479,,,15.0,1,216.0,0,1
40.708773,-74.0067449,,982380/197502,,2,15.02,101,3,0,1.0,32511,20737,,,15.0,8,188.25,0,3
40.748295,-74.0022196,CHELSEA RECREATION CENTER,983635/211901,,0,93.0,104,5,0,10.0,16787,0,,,15.0,57,170.0,3799350,0
40.725161,-73.9789628,EARTH PEOPLE GARDEN,990081/203473,,5,26.02,103,5,0,9.0,2325,0,,,14.0,43,24.75,832950,0
40.718657,-73.9983261,PS 130,984714/201103,,2,41.0,102,3,0,5.0,19816,0,,,15.0,38,199.5,8492850,1
40.784848,-73.9774814,SAINT AGNES BRANCH LIBRARY,990486/225219,,2,167.0,107,5,0,20.0,5000,0,,,16.0,31,50.0,3591000,3
40.747842,-73.9957304,FASHION INSTITUTE OF TECH,985433/211736,,0,95.0,105,3,0,10.0,66700,0,,,15.0,1,197.5,67790700,0
