latitude,longitude,parcel_name,coordinates,overlay_1,bsmt_code,census_tract,community_district,lot_type_code,residential_floor_area,police_prct,total_area,retail_floor_area,open_petroleum_spill,potential_urban_ag,health_ctr,lot,lot_front,exempt_land,proximity_code
40.710969,-74.0056775,SPRUCE STREET SCHOOL (M971),982676/198302,,5,15.01,101,0,773169,1.0,41370,0,,,15.0,7502,210.37,132976827,1
40.763928,-73.9794018,CITY CENTER THEATER,989956/217597,,2,137.0,105,4,0,18.0,25154,0,,,15.0,15,151.0,17595450,3
40.744426,-73.9779281,PS 116,990366/210492,,2,70.0,106,4,0,17.0,43203,51210,,,14.0,7,218.75,6621750,3
40.773843,-73.9901844,BED OF FREEDOM PLACE SOUTH,986969/221209,,5,151.0,107,3,0,20.0,33724,0,,Not Suitable,15.0,274,98.84,23,0
40.796562,-73.934047,,1002511/229493,,5,178.0,111,5,0,25.0,2523,0,,,12.0,8,25.0,175050,0
40.78015,-73.9902689,RIVERSIDE PARK SOUTH,986945/223507,,5,155.0,107,9,0,,94375,0,,,,5,578.71,7431750,0
40.728979,-73.9804806,,989660/204864,,2,34.0,103,5,7650,9.0,2581,800,,,14.0,58,25.0,1026000,3
40.757133,-73.9888356,42ND ST DEV/TIMES SQUARE,987343/215121,,0,119.0,105,3,0,14.0,40200,60000,,,15.0,1,400.0,0,0
40.743363,-74.0025262,BAYARD RUSTIN HS HUMANITIES,983550/210104,,2,89.0,104,5,0,10.0,43240,0,,,15.0,7,295.0,19218150,0
40.715166,-73.994921,MANHATTAN BRIDGE APPROACH,985658/199831,,5,16.0,103,3,0,5.0,93360,0,,Not Suitable,14.0,50,122.92,55580850,0
40.728364,-73.9790555,COMMUNITY GARDEN ASSOCOCIATION,990055/204640,C1-5,0,34.0,103,5,0,9.0,1100,0,,Existing GreenThumb Garden,14.0,37,18.33,59850,0
40.746591,-73.9947056,FASHION INSTITUTE OF TECH,985717/211280,,2,95.0,105,4,0,10.0,11071,0,,,15.0,33,57.92,11592000,2
40.704101,-74.0180333,PIER A / MARINE UNIT #1,979250/195800,,0,317.04,101,5,0,1.0,83100,28732,,,15.0,1,77.0,6234300,1
40.719354,-73.9882864,DELANCEY-ESSEX GARAGE,987497/201357,,0,18.0,103,4,0,7.0,22402,0,,,14.0,38,126.33,5845950,0
40.736701,-74.0055208,ABINGDON PARK,982720/207677,,0,77.0,102,1,0,6.0,483,0,,,15.0,70,38.66,121950,0
40.762391,-73.9617827,QUEENSBORO BRIDGE CONNECTION,994837/217039,,5,110.0,108,4,0,19.0,10142,0,,Not Suitable,13.0,10,51.0,1988100,0
40.796065,-73.975791,RIVERSIDE PARK,990953/229306,,0,175.0,107,5,0,24.0,1052500,0,,,16.0,1,25.0,52863300,0
40.719208,-73.9837914,PS 140 & PLAYGROUND (JOP),988743/201304,,2,22.01,103,3,0,7.0,94040,0,,,14.0,1,275.08,13771800,1
40.779941,-73.9877161,BED OF RIVERSIDE BOULEVARD,987652/223431,C2-5,5,159.0,107,5,0,20.0,20514,0,,Not Suitable,15.0,11,80.25,450,0
40.802452,-73.93826,MCNAIR PARK,1001343/231638,C2-5,5,196.0,111,5,0,25.0,2523,0,,Not Suitable,11.0,24,25.0,243450,0
40.720151,-73.9953426,,985541/201647,,5,41.0,102,8,0,5.0,55,0,,,15.0,50,0.5,450,0
40.704903,-74.010784,DEPARTMENT OF SANITATION,981260/196092,,2,9.0,101,4,0,1.0,9010,0,,,15.0,73,98.75,5612400,0
40.809169,-73.9395578,,1000982/234085,,5,206.0,111,5,0,25.0,1665,0,,Not Suitable,11.0,68,16.67,154350,0
40.764842,-73.9796362,CARNEGIE HALL CORPORATION,989891/217930,,2,137.0,105,4,0,18.0,12552,5000,,,15.0,5,50.0,105496650,3
40.728136,-73.9824291,,989120/204557,C2-5,2,34.0,103,3,0,9.0,9067,0,,,14.0,32,119.0,0,3
40.713289,-73.9943042,SOPHIE IRENE LOEB PLYG,985829/199147,,0,8.0,103,3,0,5.0,5250,0,,,14.0,1,175.08,630900,0
40.774891,-73.9856084,MARTIN LUTHER KING HS,988236/221591,C2-5,2,151.0,107,3,0,20.0,103000,0,,,15.0,25,201.0,70075800,1
40.747362,-73.9947381,FASHION INSTITUTE OF TECH,985708/211561,,0,95.0,105,5,0,10.0,59350,0,,,15.0,18,406.83,40243500,0
40.79631,-73.945034,PS 101 & PLAYGROUND,999469/229399,C2-4,5,172.0,111,3,0,23.0,10147,0,,Not Suitable,12.0,1,47.88,880200,0
40.71126,-73.993803,COLEMAN SQUARE PLAYGROUND,985968/198408,,0,8.0,103,3,0,5.0,29250,0,,,14.0,51,151.33,1044450,0
40.802678,-73.9399683,CAROLINA GARDEN,1000870/231720,,5,196.0,111,5,0,25.0,2002,0,,,11.0,67,19.83,176850,0
40.70919,-73.9899726,FORMER PIERS 33 & 34,987030/197654,,5,6.0,103,5,0,7.0,292250,0,,,14.0,10,691.92,10183500,0
40.747008,-73.9960805,,985336/211432,,2,95.0,105,5,0,10.0,6300,800,,,15.0,12,63.75,0,0
40.788437,-73.9500529,100TH STREET BUS DEPOT,998081/226530,C1-5,2,166.0,111,1,0,23.0,81741,0,,,12.0,1,201.83,2621250,1
