address,zip_code,fire_comp,date_created,zone_dist_2,irr_lot_code,zone_dist_1,exempt_tot,year_alter_1,bldg_depth,council_district,current_uses,storage_floor_area,land_use_category,health_area,num_floors,pluto_version,lot_depth,garage_floor_area,commercial_floor_area
1472 BROADWAY,10036.0,E026,2025-03-14T00:00:00.000,,Y,C6-7,363103650,2016.0,256.0,4.0,IN USE-TENANTED;LONG-TERM AGREEMENT,0,5.0,5200.0,51.0,24v31,256.27,0,1642675
2158 1 AVENUE,10029.0,L026,2025-03-14T00:00:00.000,,Y,PARK,13180950,,250.0,8.0,PARK,0,9.0,2100.0,1.0,24v31,668.42,0,23357
159 EAST 85 STREET,10028.0,L013,2025-03-14T00:00:00.000,,Y,R8B,2161800,2020.0,102.0,4.0,FIREHOUSE,0,8.0,3600.0,2.0,24v31,102.17,0,8355
331 EAST 15 STREET,10003.0,E005,2025-03-14T00:00:00.000,,Y,R8A,11983050,,206.5,2.0,ACADEMIC HIGH SCHOOL,0,8.0,5900.0,5.0,24v31,206.5,0,171080
215 WEST 42 STREET,10036.0,E026,2025-03-14T00:00:00.000,,Y,C6-7,7764300,2020.0,81.92,3.0,IN USE-TENANTED;LONG-TERM AGREEMENT,0,5.0,5200.0,3.0,24v31,100.42,0,12176
520 EAST 13 STREET,10009.0,L011,2025-03-14T00:00:00.000,,N,R8B,852300,,0.0,2.0,COMMUNITY GARDEN,0,9.0,6200.0,0.0,24v31,103.25,0,0
394 1 AVENUE,10010.0,E016,2025-03-14T00:00:00.000,,N,R8,4628250,1981.0,81.5,4.0,SPECIAL EDUC SCHOOL,0,8.0,6000.0,8.0,24v31,81.5,0,66370
2005 MADISON AVENUE,10035.0,L030,2025-03-14T00:00:00.000,,N,R7-2,11371950,2011.0,329.0,9.0,ACADEMIC HIGH SCHOOL,0,8.0,1600.0,3.0,24v31,400.0,0,200600
EAST 83 STREET,10028.0,E022,2025-03-14T00:00:00.000,,Y,R10A,439650,,10.0,5.0,IN USE-TENANTED;LONG-TERM AGREEMENT;NO USE;FINAL COMMITMNT-DISP,0,,3800.0,1.0,24v31,97.08,0,350
741 1 AVENUE,10017.0,E021,2025-03-14T00:00:00.000,R10,N,PARK,4036950,,0.0,4.0,PARK,0,9.0,5000.0,0.0,24v31,50.0,0,0
320 EAST 96 STREET,10128.0,L043,2025-03-14T00:00:00.000,R10A,N,R8,10129950,1989.0,200.0,8.0,VOCATION HIGH SCHOOL,0,8.0,3300.0,4.0,24v31,201.42,0,83962
200 CENTRAL PARK WEST,10024.0,L025,2025-03-14T00:00:00.000,,N,PARK,463981500,2013.0,300.0,6.0,MUSEUM/GALLERY;PARK,0,8.0,3500.0,7.0,24v31,960.0,126580,1360264
STANTON STREET,10002.0,L018,2025-03-14T00:00:00.000,,Y,R7A,178200,,0.0,1.0,COMMUNITY GARDEN,0,9.0,7600.0,0.0,24v31,63.33,0,0
EAST 9 STREET,10009.0,L011,2025-03-14T00:00:00.000,,N,R7A,216000,,0.0,2.0,COMMUNITY GARDEN,0,9.0,6300.0,0.0,24v31,58.17,0,0
2098 BROADWAY,10023.0,L025,2025-03-14T00:00:00.000,,Y,C4-6A,1452150,,0.0,6.0,PARK,0,9.0,3900.0,0.0,24v31,172.08,0,0
119 AMSTERDAM AVENUE,10023.0,L035,2025-03-14T00:00:00.000,,N,C4-7,81688500,2009.0,301.33,6.0,SPECIALIZED LIBRARY;THEATER,0,5.0,4000.0,4.0,24v31,303.17,0,223553
AVENUE OF THE FINEST,10038.0,E006,2025-03-14T00:00:00.000,,Y,C6-4,12995550,,0.0,1.0,ROAD/HIGHWAY,0,7.0,7700.0,0.0,24v31,104.67,0,0
106 WEST 11 STREET,10011.0,Q018,2025-03-14T00:00:00.000,C1-6,Y,R6,11123550,1967.0,130.75,3.0,ELEMENTARY SCHOOL,0,8.0,6100.0,4.0,24v31,159.58,0,81947
MARGINAL STREET WHARF,10002.0,E015,2025-03-14T00:00:00.000,R7-2,Y,M1-4,10015200,,152.0,1.0,NO USE,0,7.0,8000.0,2.0,24v31,200.83,0,111125
223 EAST 26 STREET,10010.0,E016,2025-03-14T00:00:00.000,,N,R8B,378000,,58.0,2.0,SECTION STATION,0,7.0,5800.0,2.0,24v31,98.75,0,3788
952 BROADWAY,10010.0,E001,2025-03-14T00:00:00.000,,N,C5-2,4435650,,0.0,3.0,OTH WATER SUPPLY FAC;PARK,900,,5700.0,0.0,24v31,162.0,0,900
18 MT MORRIS PARK WEST,10027.0,L014,2025-03-14T00:00:00.000,,N,PARK,6358050,,150.0,9.0,PARK,0,9.0,1600.0,1.0,24v31,895.0,0,22800
35 WEST 138 STREET,10037.0,E059,2025-03-14T00:00:00.000,,N,R7-2,459450,1987.0,86.0,9.0,IN USE-RES STRUCTURE;FINAL COMMITMNT-DISP,0,2.0,1300.0,6.0,24v31,99.92,0,0
109 LEONARD STREET,10013.0,L001,2025-03-14T00:00:00.000,,Y,C6-4A,44793450,,108.0,1.0,OFFICE,0,8.0,7700.0,12.0,24v31,198.17,0,400975
215 WEST 58 STREET,10019.0,E023,2025-03-14T00:00:00.000,,N,C5-1,858600,,100.0,6.0,FIREHOUSE,0,8.0,4700.0,3.0,24v31,100.42,6450,6450
306 WEST 54 STREET,10019.0,E040,2025-03-14T00:00:00.000,C6-4,Y,R8,5096700,1989.0,106.0,3.0,POLICE STATION,0,8.0,4700.0,4.0,24v31,175.5,0,30000
PARK AVENUE,10035.0,E035,2025-03-14T00:00:00.000,,Y,R10,450,,0.0,9.0,NO USE-VACANT LAND,0,11.0,1600.0,0.0,24v31,90.0,0,0
122 WEST 89 STREET,10024.0,E074,2025-03-14T00:00:00.000,,N,R7-2,6942600,,68.5,6.0,ELEMENTARY SCHOOL;PLAYGROUND,0,8.0,3220.0,5.0,24v31,100.67,0,74700
424 WEST 33 STREET,10001.0,L021,2025-03-14T00:00:00.000,,N,C6-4,0,,0.0,3.0,OFFICE,0,5.0,5500.0,13.0,24v31,98.75,0,178460
356 CHERRY STREET,10002.0,E015,2025-03-14T00:00:00.000,,Y,PARK,1215000,,0.0,1.0,PARK,0,9.0,8000.0,0.0,24v31,194.17,0,0
7 NORTH MOORE STREET,10013.0,E007,2025-03-14T00:00:00.000,,N,C6-2A,423000,,75.0,1.0,SECTION STATION,0,7.0,7700.0,3.0,24v31,75.0,0,3393
1458 YORK AVENUE,10075.0,E044,2025-03-14T00:00:00.000,R8B,N,R10,11719350,,202.0,5.0,ELEMENTARY SCHOOL,0,8.0,4300.0,5.0,24v31,173.0,0,102068
EAST 109 STREET,10029.0,E091,2025-03-14T00:00:00.000,,Y,R7A,314550,,0.0,8.0,COMMUNITY GARDEN,0,9.0,2600.0,0.0,24v31,100.0,0,0
61 BROADWAY,10006.0,E010,2025-03-14T00:00:00.000,,Y,C5-5,0,,202.0,1.0,OFFICE,2000,5.0,7700.0,33.0,24v31,202.21,0,650740
108 EAST 19 STREET,10003.0,E014,2025-03-14T00:00:00.000,,Y,R8B,0,,0.0,2.0,TRANSIT SUBSTATION,0,7.0,5300.0,0.0,24v31,92.0,0,0
90 TRINITY PLACE,10006.0,E010,2025-03-14T00:00:00.000,,Y,C5-5,0,,73.0,1.0,ACADEMIC HIGH SCHOOL,0,8.0,7700.0,15.0,24v31,74.42,0,83362
409 WEST 49 STREET,10019.0,E054,2025-03-14T00:00:00.000,,Y,R8,46015650,,194.0,3.0,PARK;VOCATION HIGH SCHOOL,0,8.0,4700.0,7.0,24v31,200.83,0,560000
323 EAST 5 STREET,10003.0,E028,2025-03-14T00:00:00.000,,N,R8B,6039900,,96.0,2.0,POLICE STATION,0,8.0,6500.0,6.0,24v31,97.0,0,42235
437 EAST 114 STREET,10029.0,L026,2025-03-14T00:00:00.000,R7A,N,R7B,391050,,0.0,8.0,COMMUNITY GARDEN,0,9.0,2100.0,0.0,24v31,100.92,0,0
182 EAST 101 STREET,10029.0,E053,2025-03-14T00:00:00.000,,N,R7A,259200,,0.0,8.0,IN USE-TENANTED;SHORT-TERM AGREEMENT,0,10.0,2810.0,0.0,24v31,100.92,0,0
422 EAST 99 STREET,10029.0,L043,2025-03-14T00:00:00.000,,Y,R7-2,1409400,,0.0,8.0,OTHER HEALTH FACILTY,0,10.0,2600.0,0.0,24v31,132.09,0,0
HUDSON STREET,10013.0,E007,2025-03-14T00:00:00.000,,Y,PARK,884250,,0.0,1.0,PARK,0,9.0,7700.0,0.0,24v31,60.83,0,0
HARLEM RIVER DRIVE,10039.0,E059,2025-03-14T00:00:00.000,,Y,R7-2,3580650,,0.0,9.0,NO USE-WFT (ANY AGY);FINAL COMMITMNT-DISP,0,11.0,800.0,0.0,24v31,30.0,0,0
EAST 8 STREET,10009.0,L011,2025-03-14T00:00:00.000,,N,R8B,344700,,0.0,2.0,COMMUNITY GARDEN,0,9.0,6700.0,0.0,24v31,97.5,0,0
13 WEST 3 STREET,10012.0,L009,2025-03-14T00:00:00.000,,N,R7-2,26200350,,0.0,2.0,ROAD/HIGHWAY,0,,5700.0,0.0,24v31,209.0,0,0
243 LAFAYETTE STREET,10012.0,L020,2025-03-14T00:00:00.000,,N,C6-2,953550,,0.0,1.0,OUTDR PKNG-EMPLOYEES,0,10.0,6800.0,0.0,24v31,99.33,0,0
105 WEST 62 STREET,10023.0,L035,2025-03-14T00:00:00.000,,Y,C4-7,76347900,,263.08,6.0,THEATER,0,5.0,4000.0,6.0,24v31,264.58,0,260453
725 1 AVENUE,10017.0,E021,2025-03-14T00:00:00.000,,N,PARK,1374750,,0.0,4.0,PARK,0,9.0,5000.0,0.0,24v31,21.0,0,0
446 AVENUE D,10009.0,E028,2025-03-14T00:00:00.000,,Y,R7-2,9600300,1986.0,206.0,2.0,ELEMENTARY SCHOOL,0,8.0,7600.0,5.0,24v31,214.0,0,139000
155 EAST 123 STREET,10035.0,L014,2025-03-14T00:00:00.000,,N,R7D,275850,,0.0,8.0,OUTDOOR STRG-EQUIP,0,10.0,1600.0,0.0,24v31,100.92,0,0
F D R DRIVE,,,2025-03-14T00:00:00.000,,N,M1-1,8793450,,0.0,4.0,NO USE;FINAL COMMITMNT-DISP;NO USE-WFT (ANY AGY);FINAL COMMITMNT-DISP,0,7.0,,0.0,24v31,631.0,0,0
42 GREAT JONES STREET,10012.0,L009,2025-03-14T00:00:00.000,,Y,M1-5/R7X,445050,,90.0,2.0,FIREHOUSE,0,8.0,5700.0,4.0,24v31,90.42,0,13308
506 LENOX AVENUE,10037.0,E059,2025-03-14T00:00:00.000,,Y,R7-2,205870493,,830.0,9.0,AMBULANCE STATION;HOSPITAL,0,8.0,1300.0,10.0,24v31,895.0,12600,2291032
154 CHRISTOPHER STREET,10014.0,E024,2025-03-14T00:00:00.000,,Y,C6-2,99351000,1987.0,240.0,3.0,IN USE-TENANTED;LONG-TERM AGREEMENT,0,4.0,6400.0,11.0,24v31,213.67,12000,80000
MILLER HIGHWAY,10069.0,L035,2025-03-14T00:00:00.000,,Y,PARK,15229350,,0.0,6.0,PARK,0,9.0,3900.0,0.0,24v31,0.0,0,0
2058 MADISON AVENUE,10037.0,L030,2025-03-14T00:00:00.000,,N,R7-2,447300,,0.0,9.0,PLAYGRND/SPORTS AREA;PLAYGROUND,0,9.0,1600.0,0.0,24v31,166.92,0,0
328 EAST 67 STREET,10065.0,L016,2025-03-14T00:00:00.000,,N,R8B,2124900,1987.0,75.0,5.0,BRANCH LIBRARY,0,8.0,4400.0,3.0,24v31,100.42,0,12813
1651 MADISON AVENUE,10029.0,E091,2025-03-14T00:00:00.000,,N,R7-2,200250,,0.0,8.0,COMMUNITY GARDEN,0,9.0,2500.0,0.0,24v31,75.0,0,0
12 WEST 12 STREET,10011.0,L003,2025-03-14T00:00:00.000,R6,Y,R10,12391200,,90.0,2.0,SPECIAL EDUC SCHOOL,0,8.0,5700.0,4.0,24v31,175.0,0,339320
167 EAST 122 STREET,10035.0,L014,2025-03-14T00:00:00.000,,Y,R7-2,643950,,0.0,8.0,PARK,0,11.0,1600.0,0.0,24v31,201.83,0,0
13 WEST 119 STREET,10026.0,E058,2025-03-14T00:00:00.000,,Y,R7-2,138600,,0.0,9.0,COMMUNITY GARDEN,0,9.0,1500.0,0.0,24v31,69.17,0,0
305 EAST 117 STREET,10035.0,L026,2025-03-14T00:00:00.000,,Y,R7B,5772150,2005.0,158.0,8.0,ELEMENTARY SCHOOL;PLAYGROUND,0,8.0,2100.0,4.0,24v31,201.83,0,91267
55 MULBERRY STREET,10013.0,E009,2025-03-14T00:00:00.000,,Y,PARK,14766750,1987.0,53.0,1.0,PARK,0,9.0,7700.0,1.0,24v31,232.0,0,3183
EAST 8 STREET,10009.0,L011,2025-03-14T00:00:00.000,,N,R8B,619650,,0.0,2.0,COMMUNITY GARDEN,0,9.0,6700.0,0.0,24v31,97.5,0,0
401 SOUTH END AVENUE,10282.0,L010,2025-03-14T00:00:00.000,,Y,BPC,169735500,,100.0,1.0,PARK;ROAD/HIGHWAY,0,,8900.0,27.0,24v31,873.67,0,4000
1 CENTRE STREET,10007.0,E006,2025-03-14T00:00:00.000,,Y,C6-4,90997650,2004.0,182.0,1.0,AGCY EXECUTVE OFFICE;AGCY OFFICE;OFFICE,0,5.0,7700.0,39.0,24v31,182.11,0,1056600
1000 5 AVENUE,10065.0,E039,2025-03-14T00:00:00.000,,N,PARK,3296988450,,0.0,4.0,CULTURAL FACILITY;PARK;POLICE STATION,0,9.0,4100.0,0.0,24v31,0.0,0,0
EAST 111 STREET,10029.0,L026,2025-03-14T00:00:00.000,,N,R9,645750,,0.0,8.0,COMMUNITY GARDEN,0,9.0,2500.0,0.0,24v31,112.41,0,0
201 FRONT STREET,10038.0,E006,2025-03-14T00:00:00.000,,Y,C6-2A,1154250,,99.0,1.0,IN USE-TENANTED;FINAL COMMITMNT-DISP;LONG-TERM AGREEMENT;NO USE;FINAL COMMITMNT-DISP,0,4.0,7700.0,4.0,24v31,83.0,0,11500
1680 LEXINGTON AVENUE,10029.0,E091,2025-03-14T00:00:00.000,R7-2,Y,R7D,5722650,2002.0,105.0,8.0,IN USE-TENANTED;FINAL COMMITMNT-DISP;SHORT-TERM AGREEMENT;IN USE-TENANTED;LONG-TERM AGREEMENT;OTHER SCHOOL,0,8.0,2500.0,5.0,24v31,138.33,0,61030
505 WEST 52 STREET,10019.0,E040,2025-03-14T00:00:00.000,,Y,C6-3,0,,0.0,3.0,COMMUNITY GARDEN,0,,4500.0,0.0,24v31,75.0,0,0
133 CENTRE STREET,10013.0,L001,2025-03-14T00:00:00.000,,Y,C6-4,3595950,,54.0,1.0,AGCY OFFICE;PUB SAFETY FACILITY,0,5.0,7700.0,8.0,24v31,54.5,0,41000
440 WEST 57 STREET,10019.0,E040,2025-03-14T00:00:00.000,,Y,R8,0,,201.0,6.0,TRANSL HSG - FAMILY,0,5.0,4600.0,17.0,24v31,200.83,55000,58000
198 MONROE STREET,10002.0,E015,2025-03-14T00:00:00.000,,Y,R7-2,1980000,1988.0,118.0,1.0,ACADEMIC HIGH SCHOOL,0,8.0,8000.0,6.0,24v31,122.58,0,53815
48 EAST 1 STREET,10003.0,E028,2025-03-14T00:00:00.000,,N,R8B,344250,,0.0,2.0,COMMUNITY GARDEN,0,9.0,6500.0,0.0,24v31,100.08,0,0
680 LENOX AVENUE,10037.0,E059,2025-03-14T00:00:00.000,,Y,PARK,2181600,,0.0,9.0,PARK,0,9.0,800.0,0.0,24v31,809.17,0,1100
EAST 5 STREET,10009.0,E028,2025-03-14T00:00:00.000,,N,R8B,346500,,0.0,2.0,COMMUNITY GARDEN,0,9.0,6700.0,0.0,24v31,96.17,0,0
361 AMSTERDAM AVENUE,10024.0,L025,2025-03-14T00:00:00.000,R8B,Y,C2-7A,5715450,,0.0,6.0,PLAYGRND/SPORTS AREA;PLAYGROUND,0,9.0,3500.0,0.0,24v31,150.0,0,0
1269 PARK AVENUE,10029.0,E053,2025-03-14T00:00:00.000,,N,R7-2,874800,,71.0,8.0,NO USE-RES STRUCTURE;FINAL COMMITMNT-DISP,0,2.0,2820.0,5.0,24v31,75.0,0,0
86 AVENUE B,10009.0,E028,2025-03-14T00:00:00.000,,N,R7A,774450,,0.0,2.0,COMMUNITY GARDEN,0,9.0,6600.0,0.0,24v31,76.0,0,0
580 HUDSON STREET,10014.0,L005,2025-03-14T00:00:00.000,,Y,PARK,2262600,,12.0,3.0,PARK,0,9.0,6100.0,1.0,24v31,121.17,0,2640
YORK AVENUE,10022.0,L016,2025-03-14T00:00:00.000,,N,M3-2,2641950,,0.0,5.0,IN USE-TENANTED;SHORT-TERM AGREEMENT;ROAD/HIGHWAY,0,,4900.0,0.0,24v31,80.0,0,0
180 MAIDEN LANE,10005.0,E004,2025-03-14T00:00:00.000,,Y,C5-3,0,2015.0,189.0,1.0,AGCY EXECUTVE OFFICE;OFFICE,0,5.0,7700.0,41.0,24v31,212.0,0,1079361
285 BOWERY,10003.0,L020,2025-03-14T00:00:00.000,C6-2A,Y,R8X,670500,,0.0,2.0,COMMUNITY GARDEN,0,9.0,6500.0,0.0,24v31,313.75,0,0
MARGINAL STREET,,,2025-03-14T00:00:00.000,C4-6,Y,C2-8,3478500,,258.0,1.0,NO USE-WFT (ANY AGY);FINAL COMMITMNT-DISP,0,7.0,,1.0,24v31,500.0,0,23240
DELANCEY STREET,10002.0,L018,2025-03-14T00:00:00.000,,N,R8,95400,,0.0,1.0,NO USE-VACANT LAND;FINAL COMMITMENT,0,11.0,7400.0,0.0,24v31,220.67,0,0
EAST 59 STREET,10065.0,E008,2025-03-14T00:00:00.000,R8B,Y,R10,44550,,0.0,4.0,NO USE;FINAL COMMITMNT-DISP;WATERFRONT PROPERTY;NO USE-WFT (ANY AGY),0,7.0,4900.0,0.0,24v31,27.0,0,0
RIVERSIDE PARK,10024.0,E074,2025-03-14T00:00:00.000,PARK,Y,R10A,26271450,,0.0,6.0,OTHER TRANS FACILITY;PARK,0,9.0,3400.0,0.0,24v31,202.42,0,0
1367 5 AVENUE,10029.0,E058,2025-03-14T00:00:00.000,,N,R7-2,608850,,100.0,8.0,FIREHOUSE,0,8.0,2000.0,2.0,24v31,100.0,0,12000
84 AVENUE B,10009.0,E028,2025-03-14T00:00:00.000,,N,R7A,763650,,0.0,2.0,COMMUNITY GARDEN,0,9.0,6600.0,0.0,24v31,75.0,0,0
421 EAST 106 STREET,10029.0,E091,2025-03-14T00:00:00.000,,Y,R7-2,7906050,1989.0,198.0,8.0,ELEMENTARY SCHOOL;PLAYGROUND,0,8.0,2600.0,3.0,24v31,622.67,0,93300
9 WEST 124 STREET,10027.0,L014,2025-03-14T00:00:00.000,,N,R6A,205650,,78.0,9.0,BRANCH LIBRARY,0,8.0,1500.0,3.0,24v31,100.92,0,11409
MARGINAL STREET,,,2025-03-14T00:00:00.000,,Y,M2-3,1465650,,85.0,4.0,FERRY TERMINAL;FERRY TERMINAL;FINAL COMMITMNT-DISP;NO USE;FINAL COMMITMNT-DISP,0,7.0,,1.0,24v31,85.0,5950,5950
EAST 6 STREET,10009.0,E028,2025-03-14T00:00:00.000,,N,R7B,652950,,0.0,2.0,COMMUNITY GARDEN,0,9.0,6600.0,0.0,24v31,97.0,0,0
120 EAST 138 STREET,,,2025-03-14T00:00:00.000,,Y,PARK,43200,,0.0,9.0,MAINTENANCE;NO USE-WFT (ANY AGY);PARK,0,7.0,,0.0,24v31,1.0,0,0
1 PIER 11,,L015,2025-03-14T00:00:00.000,,N,C4-6,6304500,1989.0,34.0,1.0,FERRY TERMINAL;IN USE-TENANTED;FINAL COMMITMNT-DISP;SHORT-TERM AGREEMENT;IN USE-TENANTED;FINAL COMMITMNT-DISP;WATERFRONT PROPERTY,0,7.0,7700.0,1.0,24v31,547.17,0,199625
238 EAST 29 STREET,10016.0,E016,2025-03-14T00:00:00.000,,N,R8B,884250,,92.0,2.0,FIREHOUSE,0,8.0,5800.0,2.0,24v31,98.75,6534,6534
134 COLUMBUS AVENUE,10023.0,L035,2025-03-14T00:00:00.000,,Y,PARK,1168200,,0.0,6.0,PARK,0,9.0,4000.0,0.0,24v31,91.75,0,0
501 EAST 23 STREET,10016.0,L007,2025-03-14T00:00:00.000,,Y,C4-6,6010650,2011.0,20.0,4.0,FERRY TERMINAL;IN USE-TENANTED;FINAL COMMITMNT-DISP;SHORT-TERM AGREEMENT;NO USE;FINAL COMMITMNT-DISP,0,7.0,5000.0,1.0,24v31,90.0,0,200
EAST 56 STREET,10022.0,E008,2025-03-14T00:00:00.000,,Y,PARK,15750,,0.0,4.0,NO USE-WFT (ANY AGY);FINAL COMMITMNT-DISP,0,7.0,4900.0,0.0,24v31,2.0,0,0
90 EAST 42 STREET,10017.0,E021,2025-03-14T00:00:00.000,,Y,C5-3,2414700,,170.0,4.0,IN USE-TENANTED;LONG-TERM AGREEMENT;ROAD/HIGHWAY,0,5.0,5200.0,1.0,24v31,170.0,0,7650
145 BAXTER STREET,10013.0,E055,2025-03-14T00:00:00.000,,Y,C6-2G,11123550,,90.0,1.0,ELEMENTARY SCHOOL,0,8.0,6800.0,5.0,24v31,100.83,0,44350
F D R DRIVE,,,2025-03-14T00:00:00.000,,N,M1-1,8794800,,0.0,4.0,NO USE;FINAL COMMITMNT-DISP;NO USE-WFT (ANY AGY);FINAL COMMITMNT-DISP,0,7.0,,0.0,24v31,604.25,0,0
145-125 WHITE STREET,10013.0,L001,2025-03-14T00:00:00.000,,Y,C6-4,100658250,,224.0,1.0,AGCY OFFICE;COURTHOUSE;JAIL,0,8.0,7700.0,24.0,24v31,302.48,0,1106962
NORTH LOOP ROAD,10044.0,E260,2025-03-14T00:00:00.000,,Y,C4-5,13388850,2018.0,103.0,5.0,NO USE;OTHER COLLEGE/UNIV;LONG-TERM AGREEMENT,0,8.0,8300.0,4.0,24v31,280.0,0,37626
25-00 FDR DRIVE,10010.0,E016,2025-03-14T00:00:00.000,,Y,C2-7,135090900,,131.0,4.0,IN USE-RES STRUCTURE;FINAL COMMITMNT-DISP;SHORT-TERM AGREEMENT,3375,4.0,6000.0,40.0,24v31,465.0,294656,432453
234 WEST 42 STREET,10036.0,E026,2025-03-14T00:00:00.000,C6-6.5,Y,C6-7,59519700,,198.0,3.0,IN USE-TENANTED;LONG-TERM AGREEMENT,0,4.0,5200.0,15.0,24v31,197.5,0,275345
1245 1 AVENUE,10065.0,L016,2025-03-14T00:00:00.000,,N,PARK,12973950,,35.0,5.0,PARK,0,9.0,4400.0,1.0,24v31,200.83,0,7500
1967 3 AVENUE,10029.0,E091,2025-03-14T00:00:00.000,,Y,R7-2,547200,,0.0,8.0,PLAYGRND/SPORTS AREA;PLAYGROUND,400,9.0,2600.0,0.0,24v31,110.0,0,400
SUTTON SQUARE,10022.0,E008,2025-03-14T00:00:00.000,,Y,R8B,18900,,0.0,4.0,NO USE-WFT (ANY AGY);FINAL COMMITMNT-DISP,0,7.0,4900.0,0.0,24v31,1.0,0,0
AVENUE C,10009.0,L011,2025-03-14T00:00:00.000,,N,R7A,227700,,0.0,2.0,COMMUNITY GARDEN,0,9.0,6300.0,0.0,24v31,58.0,0,0
WEST 48 STREET,10036.0,E054,2025-03-14T00:00:00.000,,N,R8,2282850,,0.0,3.0,COMMUNITY GARDEN,0,9.0,4700.0,0.0,24v31,100.42,0,0
229 WEST 42 STREET,10036.0,E026,2025-03-14T00:00:00.000,,Y,C6-7,9976500,,100.0,3.0,IN USE-TENANTED;LONG-TERM AGREEMENT,0,5.0,5200.0,10.0,24v31,100.5,0,84000
AVENUE B,10009.0,E028,2025-03-14T00:00:00.000,,N,R7A,1704150,,0.0,2.0,COMMUNITY GARDEN,0,9.0,6600.0,0.0,24v31,100.0,0,0
222 EAST 2 STREET,10009.0,E028,2025-03-14T00:00:00.000,,N,R8B,728550,,81.0,2.0,FIREHOUSE,0,8.0,7600.0,2.0,24v31,105.92,0,7789
522 WEST 37 STREET,10018.0,E034,2025-03-14T00:00:00.000,C2-8,N,M1-5,917100,2024.0,90.0,3.0,NO USE,0,5.0,5500.0,3.0,24v31,98.75,0,6957
EAST 59 STREET,10065.0,E008,2025-03-14T00:00:00.000,,Y,R10,15750,,0.0,4.0,NO USE-WFT (ANY AGY);FINAL COMMITMNT-DISP,0,7.0,4900.0,0.0,24v31,2.0,0,0
120 BROADWAY,10271.0,E004,2025-03-14T00:00:00.000,,Y,C5-5,9091342,,0.0,1.0,OFFICE,0,5.0,7700.0,41.0,24v31,310.08,0,1491817
724 EAST 5 STREET,10009.0,E028,2025-03-14T00:00:00.000,,Y,R8B,7151850,1980.0,80.0,2.0,ELEMENTARY SCHOOL,0,8.0,6700.0,5.0,24v31,192.33,0,73224
EAST 8 STREET,10009.0,L011,2025-03-14T00:00:00.000,,N,R8B,337500,,0.0,2.0,COMMUNITY GARDEN,0,9.0,6700.0,0.0,24v31,97.5,0,0
