property_name,green_power_onsite_kwh,electricity_use_grid_purchase,number_of_active_energy_meters_2,parking_gross_floor_area,energy_power_station_gross,estimated_data_flag_2,alert_property_has_no_uses,electricity_use_generated,laboratory_gross_floor_area,property_gfa_calculated_1,estimated_data_flag_fuel_3,indirect_location_based_ghg_1,propane_use_kbtu,indirect_location_based_ghg,self_storage_facility_gross,medical_office_number_of,other_gross_floor_area_ft,indoor_water_use_all_water,alert_data_center_issue_with,hospital_general_medical_3,annual_maximum_demand_meter,multifamily_housing_government,last_modified_date_non,food_sales_gross_floor_area,hospital_general_medical_5,nyc_borough_block_and_lot,metered_areas_water,third_party_certification_2,data_center_energy_estimates,municipally_supplied_potable_1,primary_property_type_self,total_location_based_ghg_1,multifamily_housing_total,number_of_active_energy_meters,fitness_center_health_club,supermarket_grocery_number,automobile_dealership_gross,hospital_general_medical_4,financial_office_number_of,estimated_data_flag_district,outpatient_rehabilitation,percent_of_total_electricity,data_center_it_equipment,manufacturing_industrial,supermarket_grocery_gross,medical_office_weekly,outdoor_water_use_all_water,estimated_data_flag_diesel,data_center_pdu_output_meter,data_center_gross_floor_area,alert_energy_meter_has,mailing_center_post_office,hospital_general_medical_10
Maverick: 165-25 Jamaica Ave,Not Available,1985964.9,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,66000,Not Available,2.5,Not Available,167.9,Not Available,Not Available,Not Available,616.4,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,4-09795-0001,Whole Property,Not Available,Not Available,616.4,Office,4.8,Not Available,11,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
23-25 31 Street,Not Available,3711191.8,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,75191,Not Available,4.2,Not Available,313.7,Not Available,32,Not Available,1299.4,Ok,Not Available,Not Available,Not Available,2023-03-15T00:00:00.000,Not Available,Not Available,4008350027,Whole Property,Not Available,Not Available,1299.4,Medical Office,4.3,Not Available,4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,65,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
Living - 131 West 35th Street,Not Available,2866468.8,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,91777,Not Available,2.6,Not Available,242.3,Not Available,Not Available,Not Available,671.5,Ok,Not Available,Not Available,Not Available,2023-03-14T00:00:00.000,Not Available,Not Available,1008110016,Whole Property,Not Available,Not Available,671.5,Office,4.7,Not Available,6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
Red Group:  382 Willoughby Ave,Not Available,1497284.6,0,9975,Not Available,Not Available,Ok,Not Available,Not Available,76923,Not Available,1.6,Not Available,126.6,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,No,,Not Available,Not Available,3-01762-7502,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,3.1,51,7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
Indus - 42-37 Hampton Street,Not Available,730509.2,0,5000,Not Available,Not Available,Ok,Not Available,Not Available,67898,Not Available,0.9,Not Available,61.8,Not Available,Not Available,Not Available,3408.6,Ok,Not Available,Not Available,100.0% Yes,2023-03-10T00:00:00.000,Not Available,Not Available,4015560033,Whole Property,Not Available,Not Available,3408.6,Multifamily Housing,4.2,66,4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
Lower East Side I Associates-355,Not Available,664009.3,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,38520,Not Available,1.5,Not Available,56.1,Not Available,Not Available,Not Available,3224.9,Ok,Not Available,Not Available,100.0% Yes,,Not Available,Not Available,1-00393-0056,Whole Property,Not Available,Not Available,3224.9,Multifamily Housing,5.9,33,5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
Beth Jacob Teachers Seminary,Not Available,1749407.4,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,65792,Not Available,2.2,Not Available,147.9,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,3-05612-0040,Whole Property,Not Available,Not Available,Not Available,K-12 School,5.3,Not Available,3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
Fodera Enterprises,Not Available,4491812.6,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,93065,Not Available,4.1,Not Available,379.7,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,4018330215,Whole Property,Not Available,Not Available,Not Available,Distribution Center,4.5,Not Available,10,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
Prime: 4315 Webster Ave,Not Available,792798.6,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,61819,Not Available,1.1,Not Available,67,Not Available,Not Available,Not Available,3215.5,Ok,Not Available,Not Available,No,2023-04-07T00:00:00.000,Not Available,Not Available,2-03398-0087,Whole Property,Not Available,Not Available,3215.5,Multifamily Housing,1.3,78,4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
326 East 201 Street,Not Available,351674.8,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,28555,Not Available,1,Not Available,29.7,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,2023-07-20T00:00:00.000,Not Available,Not Available,2032920034,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,3.8,32,8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
ABC: 409 Edgecombe Ave,Not Available,1209328.9,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,169147,Not Available,0.6,Not Available,102.2,Not Available,Not Available,Not Available,4947.6,Ok,Not Available,Not Available,No,2023-04-08T00:00:00.000,Not Available,Not Available,1-02054-0062,Whole Property,Not Available,Not Available,4947.6,Multifamily Housing,5.7,123,6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
105 Jersey Street,Not Available,0,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,38915,Not Available,0,Not Available,0,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,5000510080,Not Available,Not Available,Not Available,Not Available,Manufacturing/Industrial Plant,0,Not Available,2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,38915,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
Fairfield: 35-20 147th Street,Not Available,1920157.6,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,95423,Not Available,1.7,Not Available,162.3,Not Available,Not Available,Not Available,4617.7,Ok,Not Available,Not Available,No,,Not Available,Not Available,4-05004-7501,Whole Property,Not Available,Not Available,4617.7,Multifamily Housing,5.1,82,5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
CQ- 841 7 Avenue,Not Available,2214736.1,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,85309,Not Available,2.2,Not Available,187.2,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,2022-03-01T00:00:00.000,Not Available,Not Available,1-01007-0001,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,4.8,41,13,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
Trenkmann - 241-245 Centre Street,Not Available,628667.8,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,26065,Not Available,2,Not Available,53.1,Not Available,Not Available,Not Available,893.1,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,1004720019,Whole Property,Not Available,Not Available,893.1,Office,2.1,Not Available,7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
3214 Beverly Road,Not Available,286761.5,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,25675,Not Available,0.9,Not Available,24.2,Not Available,Not Available,Not Available,2238.2,Ok,Not Available,Not Available,Not Available,2023-07-26T00:00:00.000,Not Available,Not Available,3049320006,Whole Property,Not Available,Not Available,2238.2,Multifamily Housing,2.9,27,3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
Feldco 1029,Not Available,1150990.4,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,33750,Not Available,2.9,Not Available,97.3,Not Available,Not Available,Not Available,411.1,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,2027240190,Whole Property,Not Available,Not Available,411.1,Office,30.3,Not Available,11,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
52-15 Metropolitan Avenue,Not Available,18302,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,41300,Not Available,0,Not Available,1.5,Not Available,Not Available,Not Available,120.5,Ok,Not Available,Not Available,Not Available,,Not Available,Not Available,4026320012,Whole Property,Not Available,Not Available,120.5,Non-Refrigerated Warehouse,0.6,Not Available,5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
141 West 28th street,Not Available,945372.1,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,63791,Not Available,1.3,Not Available,79.9,Not Available,Not Available,Not Available,266.1,Ok,Not Available,Not Available,Not Available,2022-04-11T00:00:00.000,Not Available,Not Available,1008040013,Whole Property,Not Available,Not Available,266.1,Office,3.9,Not Available,4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available
